gene,gene_ID,chrom,strand,gene_start,gene_end,name
Cr2,NM_001368765,chr1,-,195136811,195176719,chr1-7678
Fam171a1,NM_001310434,chr2,+,3114223,3227801,chr2-3
Nmt2,NM_001290368,chr2,+,3284211,3328877,chr2-10
Acbd7,NM_030063,chr2,+,3336167,3340997,chr2-12
Rpp38,NM_001013376,chr2,-,3328948,3332628,chr2-12
Olah,NM_145921,chr2,-,3341987,3366569,chr2-13
Dclre1c,NM_175683,chr2,+,3424130,3461116,chr2-15
Meig1,NM_008579,chr2,-,3409042,3422648,chr2-15
Suv39h2,NM_022724,chr2,-,3455814,3474986,chr2-17
Cdnf,NM_177647,chr2,+,3513064,3526376,chr2-19
Hspa14,NM_015765,chr2,-,3488853,3512814,chr2-19
Fam107b,NM_025626,chr2,+,3713457,3782134,chr2-27
Frmd4a,NM_001347086,chr2,+,4017682,4614043,chr2-39
1700080N15Rik,NR_040500,chr2,-,4132064,4141141,chr2-44
Prpf18,NM_001356451,chr2,-,4622057,4652135,chr2-65
Bend7,NM_001190400,chr2,+,4717830,4802146,chr2-67
Sephs1,NM_175400,chr2,+,4881563,4910556,chr2-74
Phyh,NM_010726,chr2,+,4918995,4938743,chr2-75
Ucma,NM_001311208,chr2,+,4976121,4985748,chr2-78
Mcm10,NM_027290,chr2,-,4990723,5012791,chr2-79
Optn,NM_001356487,chr2,-,5020641,5064117,chr2-81
Ccdc3,NM_028804,chr2,+,5137775,5230866,chr2-84
Mir466d,NR_030601,chr2,+,5379389,5483389,chr2-94
Camk1d,NM_001290374,chr2,-,5293456,5714762,chr2-107
Nudt5,NM_016918,chr2,+,5845033,5868736,chr2-112
Cdc123,NM_001356502,chr2,-,5794293,5845177,chr2-112
Gm13199,NR_152181,chr2,-,5862079,5862934,chr2-113
Sec61a2,NM_001356411,chr2,-,5870976,5895432,chr2-114
Dhtkd1,NM_001081131,chr2,-,5898059,5942792,chr2-116
Upf2,NM_001081132,chr2,+,5951468,6056703,chr2-117
Gm10857,NR_033471,chr2,+,6132882,6140570,chr2-124
Proser2,NM_001159657,chr2,-,6098499,6130185,chr2-124
A230108P19Rik,NR_040333,chr2,+,6193250,6321611,chr2-126
Echdc3,NM_024208,chr2,-,6188464,6212994,chr2-127
Usp6nl,NM_001080548,chr2,+,6322756,6443820,chr2-131
5031426D15Rik,NR_027890,chr2,-,6922701,6928722,chr2-156
Celf2,NM_001110231,chr2,-,6539698,7396198,chr2-174
1700061F12Rik,NR_038180,chr2,+,9189514,9197484,chr2-246
4930412O13Rik,NR_024257,chr2,+,9881245,9886767,chr2-274
Gata3,NM_001355111,chr2,-,9857077,9878600,chr2-274
9230102O04Rik,NR_040511,chr2,-,9883040,9889540,chr2-274
Gm13262,NR_152218,chr2,+,9906148,9915582,chr2-275
Taf3,NM_027748,chr2,-,9914551,10048609,chr2-280
Kin,NM_025280,chr2,+,10080611,10092701,chr2-282
Atp5c1,NM_020615,chr2,-,10056030,10080510,chr2-282
Itih2,NM_010582,chr2,-,10094590,10130683,chr2-284
Itih5,NM_172471,chr2,+,10153542,10256529,chr2-285
Sfmbt2,NM_001198808,chr2,+,10370450,10595253,chr2-293
Mir297a-4,NR_030552,chr2,+,10472253,10472340,chr2-297
Mir466b-1,NR_130319,chr2,+,10474218,10474300,chr2-297
Mir297a-3,NR_030551,chr2,+,10472253,10511772,chr2-297
Mir669e,NR_035426,chr2,+,10467494,10467613,chr2-297
Mir669b,NR_030469,chr2,+,10467789,10467886,chr2-297
Mir466m,NR_130333,chr2,+,10466662,10466746,chr2-297
Mir669l,NR_130330,chr2,+,10468970,10469068,chr2-297
Mir669a-3,NR_030471,chr2,+,10474432,10474541,chr2-297
Mir297a-2,NR_029648,chr2,+,10472253,10472343,chr2-297
Mir466b-4,NR_130336,chr2,+,10474214,10474304,chr2-297
Mir466b-5,NR_130337,chr2,+,10474216,10474304,chr2-297
Mir466b-7,NR_130339,chr2,+,10474216,10474304,chr2-297
Mir466b-6,NR_130338,chr2,+,10474214,10474304,chr2-297
Mir669d-2,NR_130334,chr2,+,10471643,10471729,chr2-297
Mir467c,NR_030571,chr2,+,10473930,10474027,chr2-297
Mir669f,NR_130324,chr2,+,10467228,10467349,chr2-297
Mir669d,NR_130323,chr2,+,10468342,10468463,chr2-297
Mir467a-4,NR_037254,chr2,+,10493509,10493592,chr2-298
Mir466c-2,NR_130335,chr2,+,10491335,10491425,chr2-298
Mir467a-7,NR_037261,chr2,+,10476341,10476423,chr2-298
Mir467a-10,NR_037267,chr2,+,10491047,10491130,chr2-298
Mir669a-2,NR_030470,chr2,+,10484189,10484284,chr2-298
Mir467a-5,NR_037256,chr2,+,10478797,10478880,chr2-298
Mir466c-1,NR_130320,chr2,+,10491338,10491422,chr2-298
Mir467a-9,NR_037265,chr2,+,10488598,10488681,chr2-298
Mir467a-1,NR_035406,chr2,+,10476345,10476418,chr2-298
Mir467a-8,NR_037263,chr2,+,10476341,10476423,chr2-298
Mir467a-2,NR_037249,chr2,+,10498392,10498475,chr2-298
Mir466b-2,NR_030564,chr2,+,10498684,10498766,chr2-298
Mir467a-6,NR_037258,chr2,+,10483677,10483760,chr2-298
Mir467a-3,NR_037252,chr2,+,10491047,10491130,chr2-298
Gm25285,NR_130344,chr2,+,10481530,10481620,chr2-298
Mir466b-8,NR_130341,chr2,+,10476627,10476713,chr2-298
Mir669k,NR_035410,chr2,+,10475299,10475426,chr2-298
Mir669a-1,NR_035408,chr2,+,10484191,10484288,chr2-298
Mir466e,NR_130321,chr2,+,10476629,10476713,chr2-298
Mir669j,NR_035416,chr2,+,10477909,10478030,chr2-298
Mir669g,NR_035411,chr2,+,10477149,10477272,chr2-298
Mir467b,NR_030472,chr2,+,10481247,10481320,chr2-298
Mir466n,NR_037269,chr2,+,10513740,10513834,chr2-299
Mir466l,NR_130322,chr2,+,10516096,10516217,chr2-299
Mir466g,NR_030569,chr2,+,10514594,10514674,chr2-299
Mir297b,NR_030474,chr2,+,10511666,10511775,chr2-299
Mir669h,NR_035418,chr2,+,10518154,10518279,chr2-299
Mir466,NR_030150,chr2,+,10507917,10507990,chr2-299
Mir467d,NR_030572,chr2,+,10507629,10507714,chr2-299
Mir669m-2,NR_035475,chr2,+,10513433,10513531,chr2-299
Mir669i,NR_035417,chr2,+,10517603,10517730,chr2-299
Mir466b-3,NR_030565,chr2,+,10503564,10503645,chr2-299
Mir669m-1,NR_035474,chr2,+,10512789,10512887,chr2-299
Mir669o,NR_130331,chr2,+,10514299,10514395,chr2-299
Prkcq,NM_008859,chr2,+,11172381,11301226,chr2-325
Gm13293,NR_040369,chr2,+,11339488,11344106,chr2-332
8030442B05Rik,NR_040615,chr2,-,11338365,11398500,chr2-334
Pfkfb3,NM_001177758,chr2,-,11471430,11553929,chr2-341
Rbm17,NM_152824,chr2,-,11585438,11603199,chr2-343
Il2ra,NM_008367,chr2,+,11642791,11693194,chr2-344
Il15ra,NM_001271498,chr2,+,11705292,11733985,chr2-347
Ankrd16,NM_177268,chr2,+,11777752,11790323,chr2-350
Fbh1,NM_001348237,chr2,-,11742572,11777585,chr2-350
E030013I19Rik,NR_040353,chr2,+,12301245,12312315,chr2-371
Itga8,NR_138462,chr2,-,12106633,12301944,chr2-371
Mindy3,NR_149730,chr2,-,12347263,12419460,chr2-375
Pter,NM_008961,chr2,+,12924040,13003454,chr2-395
C1ql3,NM_153155,chr2,-,13001886,13010864,chr2-399
Rsu1,NM_009105,chr2,-,13076966,13271415,chr2-409
Cubn,NM_001081084,chr2,-,13276337,13491876,chr2-418
Trdmt1,NM_010067,chr2,-,13510160,13544664,chr2-420
Vim,NM_011701,chr2,+,13574310,13582826,chr2-421
St8sia6,NM_145838,chr2,-,13654935,13793520,chr2-430
Stam,NM_011484,chr2,+,14074099,14148330,chr2-441
Stamos,NR_038162,chr2,-,14070332,14073934,chr2-441
Hacd1,NM_013935,chr2,-,14026830,14056035,chr2-441
Tmem236,NM_001081310,chr2,+,14174523,14221993,chr2-445
Mrc1,NM_008625,chr2,+,14229413,14332023,chr2-448
Mir511,NR_030609,chr2,+,14261002,14261081,chr2-449
Slc39a12,NM_001012305,chr2,+,14388397,14494977,chr2-454
Cacnb2,NM_023116,chr2,+,14604305,14987908,chr2-463
Gm13315,NR_028497,chr2,+,14720641,14722622,chr2-467
Arl5b,NM_029466,chr2,+,15055319,15082456,chr2-481
Nsun6,NM_001165943,chr2,-,14990443,15054872,chr2-481
Malrd1,NM_001310455,chr2,+,15526478,16255557,chr2-500
Plxdc2,NM_026162,chr2,+,16356303,16755839,chr2-533
4930515L03Rik,NR_040632,chr2,-,16918677,17013726,chr2-559
Mir6419,NR_105847,chr2,+,17563513,17563626,chr2-581
Nebl,NR_156123,chr2,-,17724755,17731134,chr2-588
H2al2a,NM_026627,chr2,-,17996416,17996958,chr2-598
Gm17762,NR_028378,chr2,+,18027248,18030577,chr2-600
A930004D18Rik,NR_028376,chr2,-,18025188,18037741,chr2-600
Skida1,NM_028317,chr2,-,18044086,18048449,chr2-600
Mllt10,NM_001252560,chr2,+,18064584,18212390,chr2-601
Mir7655,NR_106115,chr2,+,18057845,18057903,chr2-601
Dnajc1,NM_001190817,chr2,-,18206332,18392830,chr2-614
Commd3,NM_147778,chr2,+,18672434,18676231,chr2-625
Bmi1,NM_007552,chr2,+,18677017,18686629,chr2-626
Spag6,NM_001001334,chr2,+,18699021,18749605,chr2-626
Gm3363,NR_126079,chr2,-,18742708,18760862,chr2-629
Carlr,NR_131254,chr2,-,18799247,18801818,chr2-631
4930426L09Rik,NR_024323,chr2,+,18998318,18999804,chr2-638
Pip4k2a,NM_001355148,chr2,-,18842255,18998121,chr2-638
Armc3,NM_001271564,chr2,+,19199117,19310243,chr2-646
4930447M23Rik,NR_126563,chr2,+,19344316,19352251,chr2-652
Msrb2,NM_029619,chr2,+,19371635,19394971,chr2-653
Ptf1a,NM_018809,chr2,+,19445662,19447501,chr2-656
Ptf1aos,NR_131924,chr2,-,19441507,19446674,chr2-656
4921504E06Rik,NM_027600,chr2,-,19462836,19553910,chr2-661
Otud1,NM_027715,chr2,+,19657730,19661279,chr2-665
Gm3230,NR_033642,chr2,-,19655805,19657897,chr2-665
Etl4,NM_001081006,chr2,+,20289912,20810535,chr2-690
Gm13375,NR_033225,chr2,+,20968873,20970348,chr2-717
Arhgap21,NM_001128084,chr2,-,20847918,20967721,chr2-717
Thnsl1,NM_177588,chr2,+,21205723,21215009,chr2-727
Enkur,NM_027728,chr2,-,21180730,21205365,chr2-727
Gpr158,NM_001004761,chr2,+,21367566,21830542,chr2-733
Myo3a,NM_148413,chr2,+,22227502,22423370,chr2-768
Gad2,NM_008078,chr2,+,22622326,22693877,chr2-780
Mir3967,NR_039548,chr2,+,22654282,22654350,chr2-782
Apbb1ip,NM_019456,chr2,+,22774326,22875653,chr2-786
Pdss1,NM_019501,chr2,+,22895521,22940259,chr2-791
Abi1,NM_007380,chr2,-,22940073,23040241,chr2-797
Acbd5,NR_149742,chr2,+,23068200,23114512,chr2-798
Yme1l1,NM_013771,chr2,+,23156504,23199260,chr2-802
Mastl,NM_025979,chr2,-,23116543,23156024,chr2-802
Fem1al,NM_027635,chr2,+,23207475,23267129,chr2-804
Nxph2,NM_008752,chr2,+,23321245,23401973,chr2-808
Spopl,NM_029773,chr2,-,23510053,23572104,chr2-818
Hnmt,NM_080462,chr2,-,24002912,24049379,chr2-837
Tbpl2,NR_110359,chr2,-,24071365,24096595,chr2-839
Il1f8,NM_027163,chr2,+,24153171,24160103,chr2-842
Il1f9,NM_153511,chr2,+,24186475,24193567,chr2-843
Il1f6,NM_019450,chr2,+,24215416,24225701,chr2-844
Il1f5,NM_001146088,chr2,+,24276953,24282432,chr2-847
Il1f10,NM_153077,chr2,+,24291195,24293820,chr2-847
Il1rn,NM_001159562,chr2,+,24345290,24351491,chr2-849
Psd4,NM_001355231,chr2,+,24367674,24409181,chr2-850
Pax8,NM_011040,chr2,-,24420550,24475599,chr2-855
Cacna1b,NM_007579,chr2,-,24603888,24763152,chr2-866
Ehmt1,NM_001109686,chr2,-,24790768,24919609,chr2-872
Zmynd19,NM_026021,chr2,+,24949776,24960870,chr2-873
Arrdc1,NR_027876,chr2,-,24925354,24935281,chr2-873
Dph7,NM_026044,chr2,+,24962421,24972186,chr2-874
Pnpla7,NM_146251,chr2,+,24976032,25054072,chr2-875
Mrpl41,NM_001031808,chr2,-,24972469,24975098,chr2-875
Nsmf,NM_020276,chr2,+,25054378,25062881,chr2-878
Mir7664,NR_106124,chr2,+,25059810,25059873,chr2-878
Entpd8,NM_028093,chr2,+,25080322,25085719,chr2-879
Noxa1,NM_172204,chr2,-,25085669,25095205,chr2-879
Nrarp,NM_025980,chr2,+,25180757,25183332,chr2-883
Tor4a,NM_146115,chr2,-,25192719,25196813,chr2-883
Fam166a,NM_026624,chr2,+,25218744,25222281,chr2-884
Nelfb,NM_021393,chr2,-,25199711,25211489,chr2-884
Stpg3,NM_028961,chr2,-,25212558,25214630,chr2-884
Tubb4b,NM_146116,chr2,-,25222157,25224702,chr2-884
Rnf208,NM_176834,chr2,+,25242928,25244261,chr2-885
Slc34a3,NM_080854,chr2,-,25228896,25234234,chr2-885
Cysrt1,NM_026415,chr2,-,25238818,25239897,chr2-885
Rnf224,NM_001033410,chr2,-,25234475,25236787,chr2-885
Tprn,NM_175286,chr2,+,25262597,25269886,chr2-886
Anapc2,NM_175300,chr2,+,25272465,25285916,chr2-886
Tmem203,NM_177344,chr2,+,25255438,25256352,chr2-886
Ssna1,NM_023464,chr2,-,25271038,25272418,chr2-886
Ndor1,NM_001082476,chr2,-,25244812,25255414,chr2-886
Grin1os,NM_001242940,chr2,+,25291219,25298928,chr2-887
Tmem210,NM_030055,chr2,+,25288144,25289187,chr2-887
Lrrc26,NM_146117,chr2,+,25289910,25291193,chr2-887
Grin1,NM_001372560,chr2,-,25291180,25319187,chr2-888
Man1b1,NM_001029983,chr2,+,25332742,25352213,chr2-889
AA543186,NR_027448,chr2,-,25327449,25332571,chr2-889
Sapcd2,NM_001290407,chr2,+,25372034,25378213,chr2-890
Dpp7,NM_031843,chr2,-,25352289,25356332,chr2-890
Uap1l1,NR_149315,chr2,-,25361489,25365663,chr2-890
Entpd2,NM_009849,chr2,+,25395873,25401323,chr2-891
Fut7,NM_001177367,chr2,+,25423693,25426373,chr2-892
Npdc1,NM_008721,chr2,+,25403049,25409494,chr2-892
Mir3087,NR_037270,chr2,+,25442778,25442834,chr2-893
Abca2,NM_001368624,chr2,+,25428598,25448540,chr2-893
Clic3,NM_027085,chr2,+,25456842,25458772,chr2-894
Ptgds,NM_008963,chr2,-,25466711,25469749,chr2-894
Paxx,NM_153557,chr2,-,25459487,25461094,chr2-894
Lcn12,NM_029958,chr2,-,25490844,25493911,chr2-895
Fbxw5,NM_013908,chr2,+,25500749,25505470,chr2-896
C8g,NM_001271777,chr2,-,25498649,25501719,chr2-896
Traf2,NM_001290413,chr2,-,25517981,25546940,chr2-897
Edf1,NM_021519,chr2,+,25557846,25562084,chr2-898
Phpt1,NM_029293,chr2,-,25573430,25574871,chr2-898
Mamdc4,NM_001081199,chr2,-,25563114,25571316,chr2-898
Ajm1,NM_001005424,chr2,-,25575415,25580099,chr2-899
Tmem141,NM_001109993,chr2,-,25620065,25622005,chr2-900
Ccdc183,NM_029859,chr2,-,25608628,25617678,chr2-900
Rabl6,NM_001024616,chr2,-,25583016,25608481,chr2-900
Fcna,NM_007995,chr2,-,25624666,25627974,chr2-901
Lcn5,NM_007947,chr2,+,25657951,25661645,chr2-902
Lcn8,NM_033145,chr2,+,25653117,25656216,chr2-902
Lcn6,NM_001276448,chr2,+,25676785,25681607,chr2-903
Lcn10,NM_178036,chr2,+,25682725,25686080,chr2-903
Bmyc,NM_023326,chr2,+,25706878,25707719,chr2-904
Obp2a,NM_153558,chr2,+,25700073,25703326,chr2-904
Obp2b,NM_001099301,chr2,+,25737008,25740097,chr2-905
Lcn3,NM_010694,chr2,+,25765532,25768098,chr2-906
Gm13539,NR_045340,chr2,+,25784616,25787022,chr2-907
Lcn11,NM_001100455,chr2,+,25777016,25780279,chr2-907
Lcn9,NM_029959,chr2,+,25823152,25825537,chr2-908
Glt6d1,NM_001039095,chr2,-,25793966,25815836,chr2-908
Sohlh1,NM_001001714,chr2,-,25842996,25847248,chr2-909
Kcnt1,NM_001145403,chr2,+,25863794,25918273,chr2-910
Camsap1,NM_001372499,chr2,-,25926837,25983282,chr2-915
Ubac1,NM_001362681,chr2,-,25996957,26021760,chr2-916
Nacc2,NM_026495,chr2,-,26055535,26122811,chr2-920
Tmem250-ps,NM_001256521,chr2,-,26136807,26140506,chr2-921
Lhx3,NM_010711,chr2,-,26200211,26208249,chr2-924
Qsox2,NM_001302956,chr2,-,26209123,26237399,chr2-925
Ccdc187,NM_177841,chr2,-,26271646,26294557,chr2-927
Gpsm1,NM_001199146,chr2,+,26315532,26348237,chr2-928
Card9,NM_001037747,chr2,-,26352170,26359559,chr2-930
Dnlz,NM_026828,chr2,-,26348117,26352110,chr2-930
Pmpca,NM_173180,chr2,+,26389347,26397121,chr2-931
Snapc4,NM_172339,chr2,-,26362764,26380653,chr2-931
Entr1,NM_001085407,chr2,-,26382799,26389316,chr2-931
Inpp5e,NR_110957,chr2,-,26396248,26409219,chr2-932
0610009E02Rik,NR_152208,chr2,+,26445923,26457995,chr2-933
Sec16a,NM_153125,chr2,-,26409430,26445216,chr2-933
Mir6996,NR_105962,chr2,-,26470058,26470119,chr2-934
Gm35978,NR_132655,chr2,+,26503926,26505346,chr2-936
Notch1,NM_008714,chr2,-,26457901,26503822,chr2-936
Mir126a,NR_029541,chr2,+,26591356,26591429,chr2-939
Egfl7,NM_001164564,chr2,+,26586635,26592682,chr2-939
Mir126b,NR_106155,chr2,-,26591362,26591420,chr2-939
Agpat2,NM_026212,chr2,-,26593056,26604417,chr2-940
Dipk1b,NM_019833,chr2,+,26628456,26636497,chr2-941
Snhg7,NR_024068,chr2,-,26637175,26640244,chr2-941
Snora43,NR_028572,chr2,-,26637846,26637985,chr2-941
Snora17,NR_028571,chr2,-,26639189,26639321,chr2-941
Lcn4,NM_010695,chr2,-,26667673,26671282,chr2-942
Gm39773,NM_001359164,chr2,+,26731719,26736753,chr2-945
Gm39774,NM_001359165,chr2,-,26782154,26787263,chr2-947
Abo,NM_001290444,chr2,-,26842502,26864995,chr2-950
Rpl7a,NM_013721,chr2,+,26910806,26913311,chr2-952
Surf2,NM_013678,chr2,+,26916407,26920170,chr2-952
Surf6,NM_009298,chr2,-,26890417,26902887,chr2-952
Surf1,NM_013677,chr2,-,26913377,26916530,chr2-952
Med22,NM_001033908,chr2,-,26905266,26910642,chr2-952
Stkld1,NM_198628,chr2,+,26934068,26953496,chr2-953
Surf4,NM_011512,chr2,-,26920040,26933511,chr2-953
Adamts13,NM_001001322,chr2,+,26973415,27009625,chr2-954
Rexo4,NR_156410,chr2,-,26953563,26964386,chr2-954
Cacfd1,NM_001243240,chr2,+,27009925,27017435,chr2-956
Slc2a6,NM_172659,chr2,-,27021364,27027998,chr2-957
Mymk,NM_025376,chr2,-,27061635,27072161,chr2-958
Adamtsl2,NM_029981,chr2,+,27079378,27108981,chr2-959
Fam163b,NM_175427,chr2,-,27110378,27142477,chr2-961
Dbh,NM_138942,chr2,+,27165506,27183204,chr2-962
Dbhos,NR_040524,chr2,-,27144897,27162703,chr2-962
Sardh,NM_138665,chr2,-,27188392,27247303,chr2-965
Brd3os,NM_001360792,chr2,+,27442435,27444221,chr2-973
Vav2,NR_133905,chr2,-,27262103,27427608,chr2-973
Mir7578,NR_106102,chr2,-,27450548,27450630,chr2-974
Brd3,NM_001113574,chr2,-,27445580,27475673,chr2-975
Wdr5,NM_080848,chr2,+,27515146,27536538,chr2-976
Rxra,NM_011305,chr2,+,27677200,27763319,chr2-983
Col5a1,NM_015734,chr2,+,27886424,28039510,chr2-991
Fcnb,NM_010190,chr2,-,28076478,28084878,chr2-999
Olfm1,NM_001038613,chr2,+,28193092,28230736,chr2-1003
Ppp1r26,NM_001368159,chr2,+,28447069,28455508,chr2-1013
Mrps2,NM_001166031,chr2,+,28468065,28471177,chr2-1014
1700007K13Rik,NM_027040,chr2,-,28462000,28466324,chr2-1014
Gbgt1,NM_139197,chr2,+,28496890,28505415,chr2-1015
Ralgds,NM_009058,chr2,+,28513166,28553082,chr2-1016
Cel,NM_009885,chr2,-,28555819,28563403,chr2-1018
Gtf3c5,NM_001290484,chr2,-,28566244,28583279,chr2-1019
Gfi1b,NM_001160406,chr2,-,28609449,28621982,chr2-1020
Tsc1,NM_001289575,chr2,+,28641232,28691172,chr2-1021
Spaca9,NM_027283,chr2,-,28692079,28699651,chr2-1023
Ak8,NM_001033874,chr2,+,28700160,28813165,chr2-1024
Mir3088,NR_037271,chr2,+,28733277,28733351,chr2-1025
Ddx31,NR_156412,chr2,+,28840405,28905575,chr2-1029
Gtf3c4,NM_172977,chr2,-,28822299,28840360,chr2-1029
Barhl1,NM_001355434,chr2,-,28907679,28916668,chr2-1032
Ttf1,NM_009442,chr2,+,29060262,29087650,chr2-1038
Cfap77,NM_001166705,chr2,-,28955480,29055066,chr2-1038
Setx,NM_198033,chr2,+,29124991,29182471,chr2-1040
Ntng2,NM_133500,chr2,-,29194725,29248099,chr2-1045
6530402F18Rik,NR_029460,chr2,-,29245115,29252993,chr2-1046
Med27,NM_026896,chr2,+,29346809,29524790,chr2-1049
Mir133c,NR_105753,chr2,-,29475214,29475294,chr2-1055
Rapgef1,NM_001362702,chr2,+,29619719,29740363,chr2-1060
Gm13547,NM_001177392,chr2,+,29761527,29764089,chr2-1066
Gm13420,NM_001370924,chr2,-,29740980,29751657,chr2-1066
Coq4,NR_145504,chr2,+,29787492,29797935,chr2-1067
Trub2,NR_110962,chr2,-,29774683,29787671,chr2-1067
Slc27a4,NM_011989,chr2,+,29802633,29817522,chr2-1068
Urm1,NM_026615,chr2,+,29827388,29844996,chr2-1069
Mir219b,NR_106110,chr2,+,29845646,29845711,chr2-1069
Mir219a-2,NR_029838,chr2,-,29845630,29845727,chr2-1069
Cercam,NM_207298,chr2,+,29869493,29882840,chr2-1070
Odf2,NM_013615,chr2,+,29890062,29922538,chr2-1071
Gle1,NM_028923,chr2,+,29935408,29959432,chr2-1073
Sptan1,NM_001309460,chr2,+,29965559,30031450,chr2-1074
Mir6997,NR_105963,chr2,+,29995949,29996020,chr2-1075
Wdr34,NM_001008498,chr2,-,30031557,30048879,chr2-1077
Set,NM_001204875,chr2,+,30066473,30072577,chr2-1078
Pkn3,NM_153805,chr2,+,30078697,30091019,chr2-1079
Zdhhc12,NM_025428,chr2,-,30090943,30093635,chr2-1079
Zer1,NM_001290503,chr2,-,30097282,30124611,chr2-1080
Tbc1d13,NM_146252,chr2,+,30133745,30152014,chr2-1081
Endog,NM_007931,chr2,+,30171523,30174069,chr2-1082
Spout1,NM_172660,chr2,-,30173446,30178459,chr2-1083
Kyat1,NM_172404,chr2,-,30185123,30205847,chr2-1084
Lrrc8a,NM_177725,chr2,+,30237768,30263790,chr2-1085
1700084E18Rik,NR_028299,chr2,-,30237197,30237631,chr2-1085
Phyhd1,NM_001281829,chr2,+,30266720,30282149,chr2-1086
Nup188,NM_198304,chr2,+,30286415,30344266,chr2-1087
Dolk,NM_177648,chr2,-,30284228,30286354,chr2-1087
Miga2,NM_175392,chr2,+,30364334,30385519,chr2-1090
Sh3glb2,NM_001346806,chr2,-,30344776,30359316,chr2-1090
Dolpp1,NM_001290509,chr2,+,30392253,30400529,chr2-1091
Ptpa,NM_138748,chr2,+,30416049,30447807,chr2-1092
Crat,NM_007760,chr2,-,30400475,30415748,chr2-1092
Ier5l,NM_030244,chr2,-,30472640,30474199,chr2-1094
Cstad,NM_030137,chr2,+,30595043,30608945,chr2-1099
Gm14486,NR_136917,chr2,-,30658163,30678011,chr2-1103
Mir3089,NR_037272,chr2,+,30721209,30721293,chr2-1104
Ntmt1,NM_001356434,chr2,+,30807967,30823033,chr2-1108
1700001O22Rik,NR_028487,chr2,-,30795562,30803664,chr2-1108
Prrx2,NM_009116,chr2,+,30845366,30881247,chr2-1109
Asb6,NM_133346,chr2,-,30823097,30828300,chr2-1109
Ptges,NM_022415,chr2,-,30889470,30903297,chr2-1112
Tor1b,NM_133673,chr2,+,30953000,30959015,chr2-1114
Tor1a,NM_144884,chr2,-,30960560,30967918,chr2-1114
Usp20,NM_028846,chr2,+,30982278,31022655,chr2-1115
BC005624,NM_144885,chr2,-,30972832,30981941,chr2-1115
Fnbp1,NM_001355105,chr2,-,31026205,31142008,chr2-1121
Gpr107,NM_178760,chr2,+,31152315,31216567,chr2-1122
D330023K18Rik,NR_040334,chr2,-,31151048,31152291,chr2-1122
Ncs1,NM_019681,chr2,+,31245922,31295471,chr2-1125
Hmcn2,NM_001370902,chr2,+,31314331,31460738,chr2-1128
Ass1,NM_007494,chr2,+,31470269,31520670,chr2-1134
Gm5424,NR_002687,chr2,+,31470307,31520629,chr2-1134
Fubp3,NM_001290548,chr2,+,31572650,31617526,chr2-1138
Mir6998,NR_105964,chr2,+,31612420,31612484,chr2-1140
Prdm12,NM_001123362,chr2,+,31640036,31655795,chr2-1141
Exosc2,NM_144886,chr2,+,31670714,31681352,chr2-1142
Abl1,NM_001112703,chr2,+,31688536,31804362,chr2-1143
Gm13427,NR_153862,chr2,-,31676365,31688469,chr2-1143
Qrfp,NM_183424,chr2,-,31806167,31810580,chr2-1148
Fibcd1,NM_178887,chr2,-,31813289,31846005,chr2-1149
Lamc3,NM_011836,chr2,+,31887280,31949083,chr2-1151
Aif1l,NM_145144,chr2,+,31950302,31973442,chr2-1154
Nup214,NM_172268,chr2,+,31974449,32053975,chr2-1154
Mir7674,NR_106135,chr2,+,32050945,32051008,chr2-1158
Plpp7,NM_145521,chr2,+,32095527,32110815,chr2-1159
Fam78a,NR_151493,chr2,-,32050054,32084669,chr2-1159
Prrc2b,NM_001159634,chr2,+,32151147,32234537,chr2-1162
Pomt1,NM_145145,chr2,+,32236639,32255006,chr2-1165
Uck1,NM_011675,chr2,-,32255001,32260105,chr2-1166
Golga2,NM_001080968,chr2,+,32288325,32307913,chr2-1167
Swi5,NM_175190,chr2,-,32278804,32288069,chr2-1167
Mir199b,NR_029811,chr2,+,32318459,32318569,chr2-1168
Gm23363,NR_128563,chr2,+,32318264,32318343,chr2-1168
Ciz1,NM_001252538,chr2,+,32363009,32378313,chr2-1170
Dnm1,NM_001301737,chr2,-,32308470,32353329,chr2-1170
Ptges2,NM_133783,chr2,+,32395889,32402740,chr2-1171
Lcn2,NM_008491,chr2,-,32384636,32387739,chr2-1171
1110008P14Rik,NM_198001,chr2,-,32379100,32381915,chr2-1171
Naif1,NM_194335,chr2,+,32450456,32455476,chr2-1174
Slc25a25,NM_001164357,chr2,-,32414486,32451470,chr2-1174
Fam102a,NM_153560,chr2,+,32535358,32569750,chr2-1177
Dpm2,NM_010073,chr2,+,32570857,32573571,chr2-1178
St6galnac4,NM_011373,chr2,+,32587077,32599696,chr2-1179
Pip5kl1,NM_198191,chr2,+,32575717,32583783,chr2-1179
St6galnac6,NM_001025311,chr2,+,32599708,32620809,chr2-1179
Ak1,NM_001198790,chr2,+,32621757,32635058,chr2-1180
Eng,NM_007932,chr2,+,32646594,32682669,chr2-1181
Mir1954,NR_035479,chr2,+,32652328,32652414,chr2-1182
Mir8093,NR_106168,chr2,-,32687629,32687766,chr2-1183
Fpgs,NM_010236,chr2,-,32682608,32694175,chr2-1183
Sh2d3c,NR_045535,chr2,+,32721054,32755007,chr2-1184
Mir2861,NR_037217,chr2,-,32712806,32712888,chr2-1184
Mir3960,NR_039536,chr2,-,32712899,32712972,chr2-1184
