gene,gene_ID,chrom,strand,gene_start,gene_end,name
Zbtb8b,NM_153541,chr4,-,129425764,129440818,chr4-5040
Bsdc1,NM_133889,chr4,+,129461678,129488432,chr4-5041
Tssk3,NM_080442,chr4,-,129489007,129490770,chr4-5042
Hdac1,NM_008228,chr4,-,129516103,129542646,chr4-5044
Lck,NM_001162433,chr4,-,129548343,129573641,chr4-5045
Fam167b,NM_182783,chr4,-,129576814,129578580,chr4-5046
Tmem234,NM_029748,chr4,+,129600679,129608529,chr4-5047
Eif3i,NM_018799,chr4,-,129591973,129600648,chr4-5047
Txlna,NM_001199695,chr4,-,129626076,129641065,chr4-5048
Kpna6,NM_008468,chr4,-,129643978,129672767,chr4-5049
Tmem39b,NM_199305,chr4,-,129676351,129696845,chr4-5050
Khdrbs1,NM_011317,chr4,-,129713814,129742303,chr4-5052
Ptp4a2,NM_001164745,chr4,+,129820707,129850003,chr4-5055
1700003M07Rik,NR_040647,chr4,+,129960373,129965138,chr4-5061
Adgrb2,NM_173071,chr4,+,129985077,130022633,chr4-5062
Col16a1,NM_028266,chr4,+,130047839,130099277,chr4-5064
Pef1,NM_026441,chr4,+,130107555,130128134,chr4-5067
Hcrtr1,NM_198959,chr4,-,130130216,130139162,chr4-5068
Tinagl1,NM_023476,chr4,-,130165599,130175122,chr4-5070
Serinc2,NM_172702,chr4,-,130253496,130275586,chr4-5074
Fabp3,NM_010174,chr4,+,130308737,130315463,chr4-5075
Snrnp40,NM_025645,chr4,+,130360131,130390030,chr4-5077
Zcchc17,NM_153160,chr4,-,130315382,130359992,chr4-5077
Nkain1,NM_025998,chr4,-,130530130,130574036,chr4-5081
Pum1,NM_001159605,chr4,+,130663320,130781566,chr4-5084
Sdc3,NM_011520,chr4,+,130792536,130826318,chr4-5089
Laptm5,NM_010686,chr4,+,130913315,130936148,chr4-5094
Matn1,NM_010769,chr4,+,130944384,130955476,chr4-5095
A930031H19Rik,NR_130167,chr4,-,131000831,131010474,chr4-5098
Mecr,NM_025297,chr4,+,131843470,131867787,chr4-5131
Ptpru,NM_001083119,chr4,-,131768456,131838278,chr4-5131
Srsf4,NM_001369310,chr4,+,131873636,131901700,chr4-5132
Gm12992,NR_102393,chr4,-,131899477,131920029,chr4-5134
Epb41,NM_001128607,chr4,-,131923425,132075313,chr4-5141
Oprd1,NM_013622,chr4,-,132110725,132144486,chr4-5143
Ythdf2,NM_145393,chr4,-,132184915,132212256,chr4-5146
Taf12,NM_025579,chr4,+,132274374,132293330,chr4-5148
Gmeb1,NM_001122992,chr4,-,132221024,132261549,chr4-5148
Snhg12,NR_029468,chr4,+,132308677,132311024,chr4-5150
Trnau1ap,NM_027925,chr4,-,132311762,132329538,chr4-5151
Rcc1,NM_133878,chr4,-,132331918,132345750,chr4-5151
Phactr4,NM_001161797,chr4,-,132355924,132422446,chr4-5154
Med18,NM_026039,chr4,-,132458728,132463921,chr4-5156
Sesn2,NM_144907,chr4,-,132492806,132510456,chr4-5158
Dnajc8,NM_172400,chr4,+,132535558,132553742,chr4-5159
Atpif1,NM_007512,chr4,-,132530554,132535414,chr4-5159
Ptafr,NM_001081211,chr4,+,132564066,132582686,chr4-5160
Eya3,NM_010166,chr4,+,132639045,132724765,chr4-5163
Xkr8,NM_201368,chr4,-,132724903,132732546,chr4-5167
Rpa2,NM_011284,chr4,+,132768359,132778746,chr4-5168
Smpdl3b,NM_133888,chr4,-,132732965,132757171,chr4-5168
Themis2,NM_001033308,chr4,-,132782356,132796364,chr4-5169
Ppp1r8,NM_146154,chr4,-,132826923,132843169,chr4-5171
Stx12,NM_133887,chr4,-,132854063,132884458,chr4-5173
Fam76a,NM_001163792,chr4,-,132899212,132922551,chr4-5174
Fgr,NM_010208,chr4,+,132974094,133001882,chr4-5176
Ahdc1,NM_146155,chr4,+,133011505,133078110,chr4-5178
Wasf2,NM_153423,chr4,+,133130632,133198330,chr4-5183
Cd164l2,NM_027152,chr4,+,133220808,133224554,chr4-5186
Map3k6,NM_016693,chr4,+,133240817,133252928,chr4-5187
Sytl1,NM_031393,chr4,-,133253089,133263087,chr4-5188
Tmem222,NR_110978,chr4,-,133266044,133277790,chr4-5189
Wdtc1,NM_199306,chr4,-,133292465,133339315,chr4-5191
Slc9a1,NM_016981,chr4,+,133369734,133423702,chr4-5192
Tent5b,NM_175307,chr4,+,133480132,133487940,chr4-5197
Trnp1,NM_001081156,chr4,-,133491099,133498550,chr4-5197
Kdf1,NM_001083916,chr4,+,133518962,133530790,chr4-5198
Nudc,NM_010948,chr4,-,133532541,133546027,chr4-5199
Nr0b2,NM_011850,chr4,+,133553375,133556686,chr4-5200
Gpatch3,NM_172876,chr4,+,133574744,133584242,chr4-5200
Gpn2,NM_001290742,chr4,+,133584372,133591735,chr4-5201
Zdhhc18,NM_001017968,chr4,-,133606991,133633429,chr4-5203
Pigv,NM_001356466,chr4,-,133661424,133673166,chr4-5204
Arid1a,NM_001363070,chr4,-,133679007,133756769,chr4-5208
Rps6ka1,NM_001285505,chr4,-,133847290,133887797,chr4-5213
Dhdds,NM_026144,chr4,-,133969028,134000882,chr4-5218
Lin28a,NM_145833,chr4,-,134003329,134018816,chr4-5218
Crybg2,NM_001162970,chr4,+,134068451,134092504,chr4-5220
Cd52,NM_013706,chr4,-,134093537,134095073,chr4-5221
Ubxn11,NM_026257,chr4,+,134102582,134126780,chr4-5222
Cep85,NM_144527,chr4,-,134129857,134187085,chr4-5225
Zpld2,NM_001080712,chr4,-,134190803,134203004,chr4-5226
Catsper4,NM_177866,chr4,-,134211967,134227383,chr4-5227
Cnksr1,NM_001081047,chr4,-,134228041,134238399,chr4-5227
Grrp1,NM_001099296,chr4,-,134251109,134254106,chr4-5228
Pdik1l,NM_146156,chr4,-,134275004,134287846,chr4-5229
Trim63,NM_001039048,chr4,+,134315119,134329629,chr4-5230
Slc30a2,NM_001346578,chr4,+,134343465,134354484,chr4-5231
Extl1,NM_019578,chr4,-,134356372,134372547,chr4-5232
Pafah2,NM_001285875,chr4,+,134396319,134427412,chr4-5233
Stmn1,NM_019641,chr4,+,134468319,134473843,chr4-5236
Paqr7,NM_001285845,chr4,+,134496760,134510237,chr4-5237
Aunip,NM_001081099,chr4,+,134510998,134523922,chr4-5238
Mtfr1l,NM_029759,chr4,-,134525554,134535387,chr4-5239
Selenon,NM_029100,chr4,-,134537891,134552166,chr4-5240
Man1c1,NM_207237,chr4,-,134561689,134704290,chr4-5246
Ldlrap1,NM_145554,chr4,-,134745411,134768004,chr4-5248
Rhd,NM_011270,chr4,+,134864535,134896172,chr4-5252
Maco1,NM_001355499,chr4,-,134802760,134853345,chr4-5252
Rsrp1,NM_023665,chr4,+,134923624,134927370,chr4-5254
Tmem50a,NM_027935,chr4,-,134897848,134914916,chr4-5254
Syf2,NM_026780,chr4,+,134930979,134937537,chr4-5255
Runx3,NM_019732,chr4,+,135120644,135177990,chr4-5262
Clic4,NM_013885,chr4,-,135213969,135272760,chr4-5268
Srrm1,NM_001369071,chr4,-,135320484,135353146,chr4-5272
Ncmap,NM_001243306,chr4,-,135369576,135398227,chr4-5273
Rcan3,NM_022980,chr4,-,135412308,135433805,chr4-5275
Stpg1,NM_030189,chr4,+,135495986,135537803,chr4-5277
Nipal3,NM_001361484,chr4,-,135448891,135494969,chr4-5277
Grhl3,NM_001013756,chr4,-,135541887,135573632,chr4-5280
1700029M20Rik,NR_015613,chr4,+,135626654,135630198,chr4-5283
Ifnlr1,NM_174851,chr4,+,135686456,135708180,chr4-5285
Il22ra1,NM_178257,chr4,+,135728158,135755383,chr4-5287
Myom3,NM_001085509,chr4,+,135759714,135815567,chr4-5288
Srsf10,NM_010178,chr4,+,135856070,135869899,chr4-5292
Cnr2,NM_009924,chr4,+,135895188,135920219,chr4-5293
Fuca1,NM_024243,chr4,+,135920725,135940300,chr4-5294
Hmgcl,NM_008254,chr4,+,135946447,135962668,chr4-5295
Gale,NM_001356493,chr4,+,135963724,135968178,chr4-5296
Lypla2,NM_011942,chr4,-,135968224,135972594,chr4-5296
Pithd1,NM_025411,chr4,-,135975601,135987244,chr4-5297
Eloa,NM_013736,chr4,-,136003369,136021649,chr4-5298
Rpl11,NM_025919,chr4,-,136049353,136053393,chr4-5300
E2f2,NM_177733,chr4,+,136172273,136196056,chr4-5304
Asap3,NM_001008232,chr4,+,136206364,136246573,chr4-5306
Tcea3,NM_011542,chr4,+,136247956,136274899,chr4-5307
Zfp46,NM_001356308,chr4,+,136284675,136293942,chr4-5309
Hnrnpr,NM_028871,chr4,+,136310941,136345979,chr4-5310
Htr1d,NM_001285484,chr4,+,136424611,136444401,chr4-5314
Luzp1,NM_024452,chr4,+,136469760,136549318,chr4-5316
Lactbl1,NM_001243262,chr4,+,136622620,136638110,chr4-5322
Tex46,NM_026300,chr4,+,136610436,136613213,chr4-5322
Kdm1a,NM_133872,chr4,-,136550532,136602723,chr4-5322
Ephb2,NM_001290753,chr4,-,136647540,136836012,chr4-5331
C1qa,NM_007572,chr4,-,136895915,136898844,chr4-5333
C1qc,NM_007574,chr4,-,136889801,136892914,chr4-5333
C1qb,NM_009777,chr4,-,136880125,136886200,chr4-5333
Epha8,NM_007939,chr4,-,136929418,136956816,chr4-5336
Zbtb40,NM_198248,chr4,-,136979731,137048695,chr4-5339
Gm13003,NR_040443,chr4,-,137159081,137165066,chr4-5344
Wnt4,NM_009523,chr4,+,137277634,137299501,chr4-5349
Cdc42,NM_001243769,chr4,-,137321762,137357759,chr4-5352
Cela3a,NM_001126318,chr4,-,137401553,137409791,chr4-5354
Cela3b,NM_026419,chr4,-,137421007,137430520,chr4-5355
1700013G24Rik,NM_027063,chr4,+,137453295,137455461,chr4-5356
Hspg2,NM_008305,chr4,+,137468802,137570630,chr4-5356
Usp48,NM_130879,chr4,+,137594171,137658537,chr4-5361
Ldlrad2,NM_001033979,chr4,-,137570875,137575180,chr4-5361
Rap1gap,NR_138591,chr4,+,137664725,137729861,chr4-5364
Alpl,NM_007431,chr4,-,137741730,137796384,chr4-5369
Ece1,NM_199307,chr4,+,137862236,137965229,chr4-5372
Eif4g3,NM_172703,chr4,+,137993455,138207079,chr4-5377
Hp1bp3,NM_001122896,chr4,+,138216611,138244682,chr4-5386
Kif17,NM_010623,chr4,+,138262250,138301973,chr4-5388
Ddost,NM_007838,chr4,+,138304737,138312619,chr4-5390
Pink1,NM_026880,chr4,-,138313409,138326296,chr4-5391
Cda,NM_028176,chr4,-,138338527,138367955,chr4-5392
Mul1,NM_026689,chr4,+,138434671,138442265,chr4-5395
Camk2n1,NM_025451,chr4,+,138455147,138460126,chr4-5396
Vwa5b1,NM_029401,chr4,-,138568968,138623992,chr4-5402
Pla2g2c,NM_008868,chr4,+,138725324,138744575,chr4-5407
Ubxn10,NM_001285929,chr4,-,138718525,138738438,chr4-5407
Pla2g2f,NM_001360875,chr4,-,138750532,138757598,chr4-5408
Pla2g2d,NM_011109,chr4,+,138775734,138782052,chr4-5409
Pla2g5,NM_001122954,chr4,-,138799246,138863469,chr4-5412
Gm13030,NM_001308487,chr4,-,138870991,138873964,chr4-5412
Pla2g2e,NM_012044,chr4,+,138877941,138882814,chr4-5413
Otud3,NM_028453,chr4,-,138895378,138913947,chr4-5414
Tmco4,NM_001305423,chr4,+,138972282,139059171,chr4-5416
Htr6,NM_021358,chr4,-,139061408,139074789,chr4-5420
Nbl1,NM_008675,chr4,-,139082291,139092970,chr4-5421
Capzb,NM_001271405,chr4,+,139194110,139291820,chr4-5425
Gm16287,NR_033543,chr4,-,139175406,139180655,chr4-5425
Akr7a5,NM_025337,chr4,+,139310743,139318786,chr4-5430
Pqlc2,NM_145384,chr4,-,139298529,139310708,chr4-5430
Mrto4,NM_023536,chr4,-,139347439,139352576,chr4-5432
Ubr4,NM_001160319,chr4,+,139380658,139489532,chr4-5433
Iffo2,NM_183148,chr4,+,139530547,139620382,chr4-5439
Tas1r2,NM_031873,chr4,+,139653537,139670279,chr4-5444
Pax7,NM_011039,chr4,-,139738080,139832968,chr4-5451
4933427I22Rik,NR_045159,chr4,-,139926110,139943519,chr4-5455
Igsf21,NM_198610,chr4,-,140026851,140246811,chr4-5467
Arhgef10l,NM_001112722,chr4,-,140514484,140665905,chr4-5484
Rcc2,NM_173867,chr4,+,140701472,140723220,chr4-5486
Padi6,NM_153106,chr4,-,140727354,140742643,chr4-5487
Padi4,NM_011061,chr4,-,140745507,140774203,chr4-5488
Gm13032,NR_045944,chr4,+,140810992,140817511,chr4-5490
Padi3,NM_011060,chr4,-,140785368,140810648,chr4-5490
Padi1,NM_011059,chr4,-,140812980,140845778,chr4-5491
4930515B02Rik,NR_040654,chr4,+,140872692,140878057,chr4-5492
Padi2,NM_008812,chr4,+,140906359,140952586,chr4-5494
Sdhb,NM_023374,chr4,+,140961270,140979198,chr4-5496
Gm13031,NR_045911,chr4,-,140947665,140957902,chr4-5496
Atp13a2,NM_001164366,chr4,+,140986872,141007701,chr4-5497
Mfap2,NR_161285,chr4,+,141010680,141015974,chr4-5498
Crocc,NM_001145958,chr4,-,141016636,141060545,chr4-5500
Spata21,NM_177867,chr4,+,141088344,141112759,chr4-5501
Necap2,NM_025383,chr4,-,141066511,141078357,chr4-5501
Fbxo42,NM_172518,chr4,+,141147921,141204062,chr4-5503
Szrd1,NR_102344,chr4,-,141112977,141139796,chr4-5503
Arhgef19,NM_172520,chr4,+,141242883,141257562,chr4-5507
Epha2,NM_010139,chr4,+,141301220,141329384,chr4-5510
Fam131c,NM_001085513,chr4,+,141368191,141384174,chr4-5512
Clcnka,NM_024412,chr4,-,141384610,141398706,chr4-5513
Hspb7,NM_013868,chr4,+,141420778,141425310,chr4-5514
Clcnkb,NM_019701,chr4,-,141404356,141415988,chr4-5514
Zbtb17,NM_009541,chr4,+,141444672,141467937,chr4-5515
Srarp,NM_001033374,chr4,-,141432671,141436105,chr4-5515
Spen,NM_019763,chr4,-,141467889,141538597,chr4-5519
Fblim1,NM_133754,chr4,-,141576061,141606052,chr4-5522
Tmem82,NR_151462,chr4,-,141614232,141618633,chr4-5522
Slc25a34,NM_001013780,chr4,-,141618824,141623834,chr4-5522
Plekhm2,NM_001033150,chr4,-,141625734,141664146,chr4-5524
Ddi2,NM_001017966,chr4,-,141683562,141723419,chr4-5526
Agmat,NM_001081408,chr4,+,141746674,141759263,chr4-5527
Casp9,NM_001277932,chr4,+,141793611,141815978,chr4-5529
Dnajc16,NM_172338,chr4,-,141761997,141790644,chr4-5529
Ctrc,NM_001033875,chr4,-,141838239,141846359,chr4-5531
Efhd2,NM_025994,chr4,-,141858141,141874920,chr4-5532
4930455G09Rik,NR_131014,chr4,+,142017897,142028995,chr4-5538
Fhad1,NM_177868,chr4,-,141890622,142011651,chr4-5538
Tmem51os1,NR_027137,chr4,+,142084297,142088101,chr4-5541
Tmem51,NM_145402,chr4,-,142030992,142084304,chr4-5541
Kazn,NM_001109685,chr4,-,142139239,142239401,chr4-5547
Prdm2,NM_001256380,chr4,-,143127468,143212709,chr4-5586
Pdpn,NM_001290822,chr4,-,143267408,143299564,chr4-5589
Lrrc38,NM_001162983,chr4,+,143349749,143371028,chr4-5591
Pramel1,NM_031377,chr4,+,143394440,143399819,chr4-5593
Pramef8,NM_172877,chr4,+,143412425,143421091,chr4-5594
Oog4,NM_173773,chr4,-,143437163,143450324,chr4-5596
Gm13089,NM_001356572,chr4,-,143696486,143702711,chr4-5606
Gm13103,NM_177571,chr4,+,143846496,143853637,chr4-5611
Pramef20,NM_001115077,chr4,-,144372759,144377933,chr4-5633
Pramef12,NM_029948,chr4,-,144391673,144408464,chr4-5634
1700012P22Rik,NM_027056,chr4,-,144418190,144438772,chr4-5635
Aadacl3,NM_001085503,chr4,-,144453770,144463756,chr4-5636
Aadacl4fm2,NM_001085542,chr4,-,144554999,144565134,chr4-5640
Aadacl4,NM_001081248,chr4,+,144613706,144623398,chr4-5642
Aadacl4fm4,NM_001085504,chr4,-,144669936,144686368,chr4-5645
AAdacl4fm3,NM_001085536,chr4,-,144703146,144721492,chr4-5646
Aadacl4fm5,NM_001126316,chr4,-,144777203,144786583,chr4-5649
Dhrs3,NM_001357275,chr4,+,144893136,144928209,chr4-5653
Vps13d,NM_001276465,chr4,-,144972621,145195005,chr4-5665
Tnfrsf1b,NM_011610,chr4,-,145212367,145246870,chr4-5667
Tnfrsf8,NM_009401,chr4,-,145267131,145315164,chr4-5670
Zfp992,NM_001085522,chr4,+,146449029,146469440,chr4-5704
Zfp981,NM_001243139,chr4,+,146514919,146539395,chr4-5707
1700095A21Rik,NR_045468,chr4,-,146519038,146546873,chr4-5708
4933438K21Rik,NR_045446,chr4,-,147063365,147068436,chr4-5726
Zfp984,NM_001127189,chr4,-,147753973,147809788,chr4-5756
Zfp933,NM_198619,chr4,-,147822985,147848418,chr4-5757
Miip,NM_001025365,chr4,-,147860777,147868719,chr4-5758
Mfn2,NM_133201,chr4,-,147873585,147904909,chr4-5760
2510039O18Rik,NM_029841,chr4,+,147940894,147947314,chr4-5761
Plod1,NM_011122,chr4,-,147909752,147936776,chr4-5761
Nppb,NM_001287348,chr4,+,147985787,147987205,chr4-5763
Nppa,NM_008725,chr4,+,148000721,148002074,chr4-5764
Mthfr,NM_010840,chr4,+,148039076,148059562,chr4-5765
Clcn6,NM_011929,chr4,-,148004258,148038813,chr4-5765
Agtrap,NM_009642,chr4,-,148077060,148088064,chr4-5767
Mad2l2,NM_001305420,chr4,+,148130919,148145704,chr4-5769
Draxin,NM_027426,chr4,-,148098436,148130698,chr4-5769
Fbxo2,NM_176848,chr4,+,148160667,148166417,chr4-5770
Fbxo44,NR_104374,chr4,-,148152798,148160094,chr4-5770
Fbxo6,NM_001163707,chr4,-,148145715,148152135,chr4-5770
Disp3,NM_001083342,chr4,-,148236856,148287965,chr4-5775
Mtor,NM_020009,chr4,+,148448581,148557685,chr4-5781
Ubiad1,NM_027873,chr4,-,148434494,148444760,chr4-5781
Exosc10,NM_016699,chr4,+,148558418,148582400,chr4-5786
Srm,NM_009272,chr4,+,148591512,148594619,chr4-5787
Masp2,NM_010767,chr4,+,148602543,148604413,chr4-5788
Gm572,NM_001085505,chr4,+,148643316,148671572,chr4-5789
Tardbp,NR_131120,chr4,-,148612381,148626996,chr4-5789
Casz1,NM_001159344,chr4,+,148804391,148954892,chr4-5796
Pex14,NM_019781,chr4,-,148960534,149099843,chr4-5807
Dffa,NM_010044,chr4,+,149104141,149118128,chr4-5808
Cenps,NM_027263,chr4,-,149128348,149137600,chr4-5809
Cort,NM_007745,chr4,-,149125033,149126763,chr4-5809
Pgd,NM_001081274,chr4,-,149149990,149166705,chr4-5810
Kif1b,NM_001290995,chr4,-,149176318,149307733,chr4-5816
Ube4b,NM_022022,chr4,-,149328415,149426631,chr4-5821
Rbp7,NM_022020,chr4,-,149449701,149454968,chr4-5822
Lzic,NM_001356322,chr4,+,149485228,149496667,chr4-5823
Nmnat1,NM_133435,chr4,-,149467568,149485210,chr4-5823
Ctnnbip1,NM_023465,chr4,+,149518240,149566437,chr4-5824
Clstn1,NM_001290989,chr4,+,149586467,149648899,chr4-5827
Pik3cd,NM_001029837,chr4,-,149649167,149701629,chr4-5832
Tmem201,NM_177672,chr4,-,149724862,149738068,chr4-5833
Slc25a33,NM_027460,chr4,-,149744035,149774267,chr4-5834
Spsb1,NM_029035,chr4,-,149896283,149955006,chr4-5842
H6pd,NM_173371,chr4,-,149979473,150009023,chr4-5844
Gpr157,NM_177366,chr4,+,150087502,150105927,chr4-5847
Slc2a5,NM_019741,chr4,+,150119343,150144168,chr4-5848
Slc2a7,NM_001085529,chr4,+,150148886,150169042,chr4-5849
Car6,NM_009802,chr4,-,150187015,150201135,chr4-5852
Eno1,NM_023119,chr4,+,150237196,150248873,chr4-5853
Rere,NM_001085492,chr4,+,150281915,150621966,chr4-5855
Slc45a1,NM_173774,chr4,-,150629395,150652174,chr4-5870
Errfi1,NM_133753,chr4,+,150855069,150868889,chr4-5878
1700045H11Rik,NR_040649,chr4,-,150828224,150854949,chr4-5878
Park7,NM_020569,chr4,-,150897132,150909921,chr4-5880
Camta1,NM_001081557,chr4,-,151059522,151861768,chr4-5918
Dnajc11,NM_172704,chr4,+,151933719,151981959,chr4-5921
Thap3,NM_001145929,chr4,-,151982637,151988986,chr4-5923
Phf13,NM_172705,chr4,-,151989630,151996179,chr4-5923
Klhl21,NM_001033352,chr4,+,152008890,152017677,chr4-5924
Nol9,NM_028727,chr4,+,152039320,152061494,chr4-5925
Zbtb48,NM_133879,chr4,-,152019775,152027671,chr4-5925
Tas1r1,NM_031867,chr4,-,152027913,152038490,chr4-5925
Plekhg5,NM_001285999,chr4,+,152096718,152115404,chr4-5927
Tnfrsf25,NM_001291010,chr4,+,152115933,152120119,chr4-5928
Espn,NM_207687,chr4,-,152120875,152152389,chr4-5930
Acot7,NM_001146057,chr4,+,152186186,152271851,chr4-5931
Gpr153,NM_178406,chr4,+,152274361,152285337,chr4-5934
Icmt,NR_161303,chr4,+,152297213,152307122,chr4-5935
Hes3,NM_008237,chr4,-,152285971,152291662,chr4-5935
Rpl22,NM_001277113,chr4,+,152324435,152334082,chr4-5936
Rnf207,NM_001033489,chr4,-,152307022,152318625,chr4-5936
Chd5,NM_001369243,chr4,+,152338653,152390185,chr4-5937
Nphp4,NM_001355739,chr4,+,152477737,152563184,chr4-5943
Kcnab2,NM_001355173,chr4,-,152390743,152477549,chr4-5943
Gm833,NR_033138,chr4,+,152697539,152700922,chr4-5951
Ajap1,NM_001099299,chr4,-,153373220,153482830,chr4-5983
A430005L14Rik,NM_001163019,chr4,+,153957236,153961924,chr4-6002
BC039966,NR_040670,chr4,-,153948454,153950476,chr4-6002
Cep104,NM_177673,chr4,+,153975560,154007225,chr4-6003
Dffb,NM_007859,chr4,-,153964448,153975081,chr4-6003
Lrrc47,NM_201226,chr4,+,154011802,154021512,chr4-6004
Ccdc27,NM_001033455,chr4,-,154026643,154042677,chr4-6005
Wrap73,NM_021499,chr4,+,154142371,154156818,chr4-6009
Trp73,NM_011642,chr4,-,154056251,154139875,chr4-6009
Megf6,NM_001162977,chr4,+,154170712,154275721,chr4-6010
Arhgef16,NM_001112744,chr4,-,154278469,154299895,chr4-6015
Prdm16,NM_001291026,chr4,-,154316124,154636873,chr4-6029
Ttc34,NM_172878,chr4,+,154837415,154867125,chr4-6037
Mmel1,NM_013783,chr4,+,154869584,154895530,chr4-6038
Tnfrsf14,NM_178931,chr4,-,154922209,154928077,chr4-6041
Pank4,NM_001305804,chr4,+,154964122,154980938,chr4-6042
Plch2,NM_001356470,chr4,-,154983114,155019428,chr4-6044
Pex10,NM_001042407,chr4,+,155067029,155072406,chr4-6046
Morn1,NM_001356327,chr4,+,155086603,155140725,chr4-6047
Rer1,NM_001362981,chr4,-,155074108,155086353,chr4-6047
Ski,NM_011385,chr4,-,155154074,155222535,chr4-6052
Faap20,NM_001347262,chr4,+,155249965,155256687,chr4-6053
Prkcz,NM_008860,chr4,-,155260117,155361428,chr4-6058
Gabrd,NM_008072,chr4,-,155384978,155398069,chr4-6059
Cfap74,NM_177674,chr4,+,155409189,155443110,chr4-6060
Tmem52,NM_001253858,chr4,+,155469113,155470858,chr4-6062
Gnb1,NM_008142,chr4,+,155491360,155559269,chr4-6063
Nadk,NM_001159637,chr4,+,155563814,155591001,chr4-6066
Cdk11b,NM_001355569,chr4,+,155624853,155649934,chr4-6068
Slc35e2,NM_177186,chr4,+,155601415,155623340,chr4-6068
Mib2,NM_001256108,chr4,-,155654471,155669254,chr4-6070
Ssu72,NM_026899,chr4,+,155704814,155733873,chr4-6072
Atad3aos,NR_027972,chr4,+,155761191,155763560,chr4-6074
Vwa1,NM_147776,chr4,-,155768494,155774561,chr4-6074
Atad3a,NM_179203,chr4,-,155740639,155761098,chr4-6074
Ankrd65,NM_001370822,chr4,+,155791171,155793328,chr4-6075
Tmem88b,NM_001033394,chr4,-,155781590,155785874,chr4-6075
Mrpl20,NM_025570,chr4,+,155802877,155808831,chr4-6076
Ccnl2,NM_207678,chr4,+,155812488,155824543,chr4-6076
Dvl1,NM_010091,chr4,+,155847401,155859303,chr4-6077
Mxra8,NM_024263,chr4,+,155839679,155844102,chr4-6077
Ints11,NM_028020,chr4,+,155869566,155889103,chr4-6078
Cptp,NM_024472,chr4,-,155864722,155869440,chr4-6078
Acap3,NM_207223,chr4,+,155891874,155907251,chr4-6079
Pusl1,NM_001033490,chr4,-,155888859,155891762,chr4-6079
Ube2j2,NM_001284312,chr4,+,155944157,155959604,chr4-6081
C1qtnf12,NM_026125,chr4,+,155962311,155966629,chr4-6082
Sdf4,NM_001302469,chr4,+,155993152,156002699,chr4-6083
Tnfrsf4,NM_011659,chr4,+,156013694,156016589,chr4-6084
Gm10560,NR_040563,chr4,-,156021644,156023824,chr4-6084
Tnfrsf18,NM_009400,chr4,+,156026321,156028894,chr4-6085
Ttll10,NM_029264,chr4,-,156034836,156050817,chr4-6086
9430015G10Rik,NM_177205,chr4,+,156109997,156127263,chr4-6088
Agrn,NM_021604,chr4,-,156165289,156197488,chr4-6091
Perm1,NM_172417,chr4,+,156215926,156221307,chr4-6092
Noc2l,NM_021303,chr4,+,156236009,156247616,chr4-6093
Plekhn1,NM_001008233,chr4,-,156221455,156228542,chr4-6093
Samd11,NM_001355709,chr4,-,156246965,156255342,chr4-6094
Cdk6,NM_009873,chr5,+,3343892,3531005,chr5-14
Fam133b,NM_001042501,chr5,+,3543832,3570546,chr5-22
1700109H08Rik,NM_029843,chr5,+,3571715,3584341,chr5-23
Pex1,NM_001293806,chr5,+,3596065,3637230,chr5-24
Rbm48,NM_172991,chr5,-,3583977,3596547,chr5-24
Gatad1,NM_026033,chr5,-,3639960,3647936,chr5-26
Tmbim7,NM_029141,chr5,+,3657003,3679544,chr5-27
Krit1,NM_001170552,chr5,+,3803164,3844515,chr5-33
Ankib1,NM_001003909,chr5,-,3689998,3803124,chr5-33
Lrrd1,NM_172879,chr5,+,3845172,3866596,chr5-34
Akap9,NM_194462,chr5,+,3928185,4080204,chr5-38
Cyp51,NM_020010,chr5,-,4080673,4104697,chr5-45
Mterf1b,NM_001042670,chr5,+,4192366,4197651,chr5-48
Cdk14,NM_011074,chr5,-,4803383,5380251,chr5-96
1700015F17Rik,NM_001200025,chr5,-,5437826,5479143,chr5-100
Cldn12,NM_022890,chr5,-,5505014,5514976,chr5-101
Gm8773,NR_033499,chr5,+,5573798,5576203,chr5-103
Gtpbp10,NM_001357031,chr5,-,5537453,5559541,chr5-103
Cfap69,NM_172447,chr5,-,5580981,5664232,chr5-107
Steap2,NM_028734,chr5,-,5664828,5694568,chr5-108
Steap1,NM_027399,chr5,-,5736321,5749317,chr5-110
Zfp804b,NM_001163223,chr5,-,6769029,7344378,chr5-174
Steap4,NM_054098,chr5,+,7960471,7982213,chr5-199
Sri,NM_025618,chr5,+,8046077,8069314,chr5-202
Adam22,NM_001310439,chr5,-,8072346,8368160,chr5-215
Slc25a40,NM_001289596,chr5,+,8422837,8454839,chr5-217
Dbf4,NM_013726,chr5,-,8396968,8422716,chr5-217
Abcb1a,NM_011076,chr5,+,8567090,8748575,chr5-223
Rundc3b,NM_198620,chr5,-,8490335,8622952,chr5-225
Abcb1b,NM_011075,chr5,+,8798146,8866314,chr5-232
Abcb4,NM_008830,chr5,+,8893720,8959226,chr5-236
Crot,NM_023733,chr5,-,8966047,8997146,chr5-240
Tmem243,NM_001081029,chr5,+,9100736,9118983,chr5-245
Dmtf1,NM_011806,chr5,-,9118867,9161776,chr5-247
9330182L06Rik,NM_001359886,chr5,+,9266117,9463985,chr5-251
Grm3,NM_181850,chr5,-,9485235,9725352,chr5-270
1700003C15Rik,NR_045478,chr5,-,11749832,11769308,chr5-351
