200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,MLI1_pol_ass,MLI1_spk_ass,log2FC_M2P
chr5-g387,chr5,77400000,77600000,0.4430649999999999,"Igfbp7, 1700017L05Rik",2.0,"58806, 3370",58806.0,3370.0,31088.0,31088.0,5,0,0,0,0,1.9124887263086727
chr5-g405,chr5,81000000,81200000,0.37438,Adgrl3,1.0,804382,804382.0,804382.0,804382.0,804382.0,5,0,0,0,0,7.497654684424987
chr5-g406,chr5,81200000,81400000,0.3686799999999999,Adgrl3,1.0,804382,804382.0,804382.0,804382.0,804382.0,5,0,0,0,0,7.497654684424987
chr5-g407,chr5,81400000,81600000,0.371535,Adgrl3,1.0,804382,804382.0,804382.0,804382.0,804382.0,5,0,0,0,0,7.497654684424987
chr5-g408,chr5,81600000,81800000,0.37416,Adgrl3,1.0,804382,804382.0,804382.0,804382.0,804382.0,5,0,0,0,0,7.497654684424987
chr5-g409,chr5,81800000,82000000,0.372115,Adgrl3,1.0,804382,804382.0,804382.0,804382.0,804382.0,5,0,0,0,0,7.497654684424987
chr5-g420,chr5,84000000,84200000,0.354575,Epha5,1.0,362618,362618.0,362618.0,362618.0,362618.0,5,0,0,0,0,-4.671930766324042
chr5-g421,chr5,84200000,84400000,0.35364,Epha5,1.0,362618,362618.0,362618.0,362618.0,362618.0,5,0,0,0,0,-4.671930766324042
chr5-g422,chr5,84400000,84600000,0.363175,Epha5,1.0,362618,362618.0,362618.0,362618.0,362618.0,5,0,0,0,0,-4.671930766324042
chr5-g434,chr5,86800000,87000000,0.3825,"Ythdc1, Ugt2b34, Ugt2b1",3.0,"32394, 17168, 9865",32394.0,9865.0,19809.0,17168.0,5,0,0,0,0,2.409928407513177
chr5-g442,chr5,88400000,88600000,0.40823,"Ambn, Enam, Jchain, Utp3, Rufy3",5.0,"12539, 18075, 8089, 1629, 77665",77665.0,1629.0,23599.4,12539.0,5,0,0,0,0,2.3040326935773927
chr5-g457,chr5,91400000,91600000,0.420395,"Btc, Parm1",2.0,"45734, 106297",106297.0,45734.0,76015.5,76015.5,5,0,0,0,0,10.057658745282875
chr5-g458,chr5,91600000,91800000,0.42492,"Parm1, 1700063O14Rik",2.0,"106297, 1059",106297.0,1059.0,53678.0,53678.0,5,0,0,0,0,10.057658745282875
chr5-g463,chr5,92600000,92800000,0.4395699999999999,"Stbd1, Ccdc158, Shroom3, Mir1961",4.0,"3529, 23218, 282325, 112",282325.0,112.0,77296.0,13373.5,5,0,0,0,0,4.402874712658537
chr5-g464,chr5,92800000,93000000,0.4591849999999999,Shroom3,1.0,282325,282325.0,282325.0,282325.0,282325.0,5,0,0,0,0,4.402874712658537
chr5-g466,chr5,93200000,93400000,0.4198849999999999,"Ccni, 2010109A12Rik, Ccng2",3.0,"24563, 6957, 8659",24563.0,6957.0,13393.0,8659.0,5,0,0,0,0,2.5496150437824947
chr5-g480,chr5,96000000,96200000,0.390195,Cnot6l,1.0,91658,91658.0,91658.0,91658.0,91658.0,5,0,0,0,0,2.676228725019338
chr5-g481,chr5,96200000,96400000,0.416655,"Mrpl1, Fras1",2.0,"56613, 410774",410774.0,56613.0,233693.5,233693.5,5,0,0,0,0,-3.6552090857486026
chr5-g482,chr5,96400000,96600000,0.4215299999999999,Fras1,1.0,410774,410774.0,410774.0,410774.0,410774.0,5,0,0,0,0,-3.6552090857486026
chr5-g483,chr5,96600000,96800000,0.43315,"Fras1, Anxa3",2.0,"410774, 52584",410774.0,52584.0,231679.0,231679.0,5,0,0,0,0,-3.6552090857486026
chr5-g485,chr5,97000000,97200000,0.4179549999999999,"Bmp2k, Paqr3",2.0,"93360, 29722",93360.0,29722.0,61541.0,61541.0,5,0,0,0,0,2.395501972076284
chr5-g489,chr5,97800000,98000000,0.385525,Antxr2,1.0,146330,146330.0,146330.0,146330.0,146330.0,5,0,0,0,0,5.646013854485055
chr5-g490,chr5,98000000,98200000,0.4199499999999999,"Antxr2, Prdm8, A730035I17Rik",3.0,"146330, 6580, 2867",146330.0,2867.0,51925.66666666666,6580.0,5,0,0,0,0,7.800386467917584
chr5-g499,chr5,99800000,100000000,0.4332599999999999,Hnrnpd,1.0,23004,23004.0,23004.0,23004.0,23004.0,5,0,0,0,0,2.9118909255062597
chr5-g500,chr5,100000000,100200000,0.454815,"Enoph1, Hnrnpdl, Tmem150cos, Tmem150c",4.0,"28772, 5644, 17312, 81936",81936.0,5644.0,33416.0,23042.0,5,0,0,0,0,2.992330986919901
chr5-g502,chr5,100400000,100600000,0.43538,"Sec31a, 5430416N02Rik, Lin54, Cops4, Plac8",5.0,"54586, 8694, 58605, 29494, 18480",58605.0,8694.0,33971.8,29494.0,5,0,0,0,0,2.473909343778381
chr5-g514,chr5,102800000,103000000,0.415845,"Arhgap24, Mapk10",2.0,"416547, 302786",416547.0,302786.0,359666.5,359666.5,5,0,0,0,0,2.172703430612595
chr5-g515,chr5,103000000,103200000,0.414225,Mapk10,1.0,302786,302786.0,302786.0,302786.0,302786.0,5,0,0,0,0,2.172703430612595
chr5-g516,chr5,103200000,103400000,0.425885,"Mapk10, 4930429D17Rik, 1700021F02Rik",3.0,"302786, 68655, 1702",302786.0,1702.0,124381.0,68655.0,5,0,0,0,0,2.172703430612595
chr5-g517,chr5,103400000,103600000,0.433205,Ptpn13,1.0,173170,173170.0,173170.0,173170.0,173170.0,5,0,0,0,0,-2.612082382539653
chr5-g518,chr5,103600000,103800000,0.44875,"Slc10a6, 1700016H13Rik, Aff1",3.0,"23693, 7146, 101161",101161.0,7146.0,44000.0,23693.0,5,0,0,0,0,-2.5226806649304327
chr5-g519,chr5,103800000,104000000,0.44543,"Aff1, Klhl8, Hsd17b13, Hsd17b11",4.0,"101161, 49210, 21947, 32032",101161.0,21947.0,51087.5,40621.0,5,0,0,0,0,-2.365904400469175
chr5-g520,chr5,104000000,104200000,0.4375,"Hsd17b11, Nudt9, Mir5619, Gm17660, Sparcl1, Dspp, Dmp1",7.0,"32032, 18515, 61, 7549, 34980, 9425, 16528",34980.0,61.0,17012.85714285714,16528.0,5,0,0,0,0,6.2661714549058365
chr5-g522,chr5,104400000,104600000,0.4103,"Spp1, Pkd2, BC005561, D930016D06Rik, Zfp33b",5.0,"5943, 46363, 14032, 28477, 12949",46363.0,5943.0,21552.8,14032.0,5,0,0,0,0,2.3190200601024475
chr5-g529,chr5,105800000,106000000,0.44074,"Lrrc8d, Zfp326",2.0,"115247, 39253",115247.0,39253.0,77250.0,77250.0,5,0,0,0,0,2.2187367394748048
chr5-g534,chr5,106800000,107000000,0.413375,"Hfm1, Cdc7",2.0,"24002, 20118",24002.0,20118.0,22060.0,22060.0,5,0,0,0,0,2.7104834998897407
chr5-g541,chr5,108200000,108400000,0.4157099999999999,"Ccdc18, Dr1, Pigg, 9330198I05Rik, Pde6b",5.0,"100036, 11625, 29604, 8971, 43370",100036.0,8971.0,38721.2,29604.0,5,1,0,0,0,2.4817064779457056
chr5-g542,chr5,108400000,108600000,0.453115,"Pde6b, Mfsd7a, Atp5k, Pcgf3, Cplx1, Gak",6.0,"43370, 8047, 1154, 41768, 31474, 60671",60671.0,1154.0,31080.666666666668,36621.0,5,0,0,0,0,2.077958243187396
chr5-g543,chr5,108600000,108800000,0.4530349999999999,"Gak, Tmem175, Dgkq, Idua, Slc26a1, Fgfrl1, Rnf212, 1700047L14Rik, Tmed11, Vmn2r8",10.0,"60671, 17961, 13787, 25116, 5485, 12722, 45726, 5076, 18129, 11562",60671.0,5076.0,21623.5,15874.0,5,0,0,0,0,2.463979299534253
chr5-g551,chr5,110200000,110400000,0.460155,"Golga3, Ankle2, Pgam5, Pxmp2, Pole, Lrcol1, P2rx2",7.0,"49613, 25648, 10765, 11883, 51135, 11365, 3338",51135.0,3338.0,23392.42857142857,11883.0,5,0,0,0,0,2.443789924376436
chr5-g561,chr5,112200000,112400000,0.52154,"1700028D13Rik, Miat, Cryba4, Crybb1, Tpst2, Hps4, Tfip11, Srrd, Gm6583, Asphd2",10.0,"3240, 15721, 6027, 13766, 38612, 35330, 11705, 5650, 2261, 11017",38612.0,2261.0,14332.9,11361.0,5,0,0,0,0,2.466669055363611
chr5-g562,chr5,112400000,112600000,0.494085,"Sez6l, Gm6588, 1700034G24Rik",3.0,"158048, 2313, 7061",158048.0,2313.0,55807.333333333336,7061.0,5,0,0,0,0,-4.2613879256279175
chr5-g568,chr5,113600000,113800000,0.51009,"Cmklr1, 1700069L16Rik, Ficd, Sart3, Iscu, Tmem119",6.0,"38036, 32349, 4826, 29957, 5488, 6668",38036.0,4826.0,19554.0,18312.5,5,0,0,0,0,2.259994201186673
chr5-g570,chr5,114000000,114200000,0.4974399999999999,"Dao, Svop, Usp30, Alkbh2, Ung, Acacb",6.0,"21942, 64468, 22592, 4293, 8166, 85241",85241.0,4293.0,34450.333333333336,22267.0,5,0,0,0,0,3.2106020440646343
chr5-g572,chr5,114400000,114600000,0.517735,"Ube3b, Mir7027, Mvk, Mmab, Fam222a",5.0,"40550, 72, 16322, 12994, 44968",44968.0,72.0,22981.2,16322.0,5,0,0,0,0,3.2931845395046238
chr5-g573,chr5,114600000,114800000,0.515215,"Fam222a, Trpv4, Gltp, Mir7028, Tchp, Git2, 4930515G01Rik, Ankrd13a",8.0,"44968, 36268, 21436, 64, 14549, 46082, 1251, 30681",46082.0,64.0,24412.375,26058.5,5,0,0,0,0,3.2225170636073948
chr5-g574,chr5,114800000,115000000,0.483245,"Ankrd13a, 1500011B03Rik, 2610524H06Rik, Mir6240, 4930519G04Rik, Gm9936, Oasl2, Oasl1, 2210016L21Rik, Hnf1a",10.0,"30681, 1177, 1532, 117, 30166, 4405, 15312, 14672, 6339, 22083",30681.0,117.0,12648.4,10505.5,5,0,0,0,0,3.7030729462247214
chr5-g575,chr5,115000000,115200000,0.478715,"Sppl3, Acads, Rpl37rt, Unc119b, Mlec, Cabp1",6.0,"87267, 9048, 7347, 12410, 15196, 25691",87267.0,7347.0,26159.83333333333,13803.0,5,0,0,0,0,6.526550144070902
chr5-g577,chr5,115400000,115600000,0.5077,"Msi1, Pla2g1b, Sirt4, Pxn, Rplp0, Gcn1, Mir7029",7.0,"24518, 8581, 6475, 49312, 4263, 57392, 61",57392.0,61.0,21514.571428571428,8581.0,5,0,0,0,0,3.028970973100733
chr5-g579,chr5,115800000,116000000,0.48961,Cit,1.0,160686,160686.0,160686.0,160686.0,160686.0,5,0,0,0,0,5.556393263164065
chr5-g580,chr5,116000000,116200000,0.477965,"Cit, Prkab1, Tmem233, C330018A13Rik, Ccdc60",5.0,"160686, 10839, 44513, 5497, 163405",163405.0,5497.0,76988.0,44513.0,5,0,0,0,0,5.556393263164065
chr5-g582,chr5,116400000,116600000,0.4789699999999999,"Hspb8, Srrm4os, Srrm4",3.0,"14374, 26766, 152545",152545.0,14374.0,64561.66666666666,26766.0,5,0,0,0,0,6.179708310913168
chr5-g589,chr5,117800000,118000000,0.494915,"Nos1, Fbxo21",2.0,"92002, 33428",92002.0,33428.0,62715.0,62715.0,5,0,0,0,0,5.41762141242098
chr5-g590,chr5,118000000,118200000,0.512985,"Fbxo21, Tesc, Fbxw8, Hrk, Rnft2",5.0,"33428, 34136, 90478, 19715, 54290",90478.0,19715.0,46409.4,34136.0,5,1,0,0,0,3.218362360909368
chr5-g602,chr5,120400000,120600000,0.51649,"Lhx5, Sdsl, Sds, Plbd2, Slc8b1, Tpcn1, Iqcd",7.0,"9572, 14562, 7359, 19731, 22833, 54457, 18091",54457.0,7359.0,20943.571428571428,18091.0,5,0,0,0,0,2.714840393639495
chr5-g604,chr5,120800000,121000000,0.483195,"Oas1b, Oas1c, Oas1f, Oas1h, Oas1g, Oas1a, Oas1d, Rph3a",8.0,"11523, 12316, 10620, 12084, 11472, 11269, 6830, 69593",69593.0,6830.0,18213.375,11497.5,5,0,0,0,0,5.656745868325628
chr5-g605,chr5,121000000,121200000,0.482925,"Rph3a, Ptpn11",2.0,"69593, 60865",69593.0,60865.0,65229.0,65229.0,5,0,0,0,0,3.7867593435369673
chr5-g609,chr5,121800000,122000000,0.52333,"Atxn2, Mir7031, Sh2b3, Pheta1, Cux2",5.0,"103342, 65, 21379, 5607, 189636",189636.0,65.0,64005.8,21379.0,5,0,0,0,0,2.290135253346746
chr5-g610,chr5,122000000,122200000,0.50318,"Cux2, Myl2, Ccdc63, Ppp1ccb, Ppp1cc",5.0,"189636, 5904, 30011, 16929, 16999",189636.0,5904.0,51895.8,16999.0,5,0,0,0,0,3.7340332962860368
chr5-g611,chr5,122200000,122400000,0.479985,"Hvcn1, Tctn1, Pptc7, Rad9b, Vps29, Gpn3, Fam216a, Arpc3",8.0,"32011, 24966, 39884, 28688, 10657, 10262, 7759, 14304",39884.0,7759.0,21066.375,19635.0,5,0,0,0,0,1.9840352394771
chr5-g612,chr5,122400000,122600000,0.4545999999999999,"Arpc3, Anapc7, Atp2a2, Ift81",4.0,"14304, 22468, 45902, 64341",64341.0,14304.0,36753.75,34185.0,5,0,0,0,0,2.091116071893663
chr5-g613,chr5,122600000,122800000,0.47647,"Ift81, P2rx7, Mir8115, P2rx4, Camkk2, Anapc5",6.0,"64341, 40363, 118, 22195, 48241, 33882",64341.0,118.0,34856.666666666664,37122.5,5,0,0,0,0,2.221640195631485
chr5-g615,chr5,123000000,123200000,0.49314,"Orai1, Morn3, Tmem120b, Rhof, Setd1b, Hpd",6.0,"15379, 9890, 41171, 14450, 26438, 10917",41171.0,9890.0,19707.5,14914.5,5,0,0,0,0,3.510842230256841
chr5-g617,chr5,123400000,123600000,0.461645,"Mlxip, Lrrc43, Il31, B3gnt4, Diablo, Mir7647, Vps33a, Clip1",8.0,"52095, 18881, 1949, 1423, 12835, 59, 44256, 97775",97775.0,59.0,28659.125,15858.0,5,0,0,0,0,2.016717876398765
chr5-g618,chr5,123600000,123800000,0.4399949999999999,"Clip1, Zcchc8, Kntc1, Rsrc2",4.0,"97775, 22743, 71868, 20989",97775.0,20989.0,53343.75,47305.5,5,0,0,0,0,2.0683712077358183
chr5-g620,chr5,124000000,124200000,0.5121,"Hip1r, Vps37b, Abcb9, Arl6ip4, Ogfod2, Pitpnm2",6.0,"29588, 27620, 33942, 2088, 3160, 131072",131072.0,2088.0,37911.66666666666,28604.0,5,0,0,0,0,2.682523555701481
chr5-g622,chr5,124400000,124600000,0.47596,"Sbno1, Kmt5a, Rilpl2, Snrnp35, Rilpl1, Tmed2, Ddx55, Eif2b1, Gtf2h3, Tctn2",10.0,"57256, 22382, 14971, 7968, 38312, 9713, 16797, 8918, 18533, 28990",57256.0,7968.0,22384.0,17665.0,5,0,0,0,0,2.163291195046587
chr5-g625,chr5,125000000,125200000,0.546285,"Rflna, Ncor2",2.0,"9100, 162062",162062.0,9100.0,85581.0,85581.0,5,0,0,0,0,2.8804582810592363
chr5-g626,chr5,125200000,125400000,0.50096,"Scarb1, Ubc",2.0,"57775, 4053",57775.0,4053.0,30914.0,30914.0,5,0,0,0,0,2.0076903631588223
chr5-g637,chr5,127400000,127600000,0.4707750000000001,"Tmem132c, Slc15a4",2.0,"323965, 21727",323965.0,21727.0,172846.0,172846.0,5,0,0,0,0,2.303989754622544
chr5-g638,chr5,127600000,127800000,0.4642799999999999,"Slc15a4, Glt1d1, Tmem132d",3.0,"21727, 75259, 649587",649587.0,21727.0,248857.66666666663,75259.0,5,0,0,0,0,-3.070382677150536
chr5-g639,chr5,127800000,128000000,0.44637,Tmem132d,1.0,649587,649587.0,649587.0,649587.0,649587.0,5,0,0,0,0,-7.579889224769456
chr5-g640,chr5,128000000,128200000,0.4445349999999999,Tmem132d,1.0,649587,649587.0,649587.0,649587.0,649587.0,5,0,0,0,0,-7.579889224769456
chr5-g641,chr5,128200000,128400000,0.454335,Tmem132d,1.0,649587,649587.0,649587.0,649587.0,649587.0,5,0,0,0,0,-7.579889224769456
chr5-g642,chr5,128400000,128600000,0.4751,"Tmem132d, Fzd10os",2.0,"649587, 21558",649587.0,21558.0,335572.5,335572.5,5,0,0,0,0,-7.579889224769456
chr5-g643,chr5,128600000,128800000,0.47948,"Fzd10os, Fzd10, Piwil1, Rimbp2",4.0,"21558, 2988, 19229, 195699",195699.0,2988.0,59868.5,20393.5,5,0,0,0,0,2.60033431518589
chr5-g644,chr5,128800000,129000000,0.48792,"Rimbp2, Stx2",2.0,"195699, 24015",195699.0,24015.0,109857.0,109857.0,5,0,0,0,0,2.627978758015893
chr5-g645,chr5,129000000,129200000,0.48318,"Stx2, Ran, Adgrd1",3.0,"24015, 4166, 107850",107850.0,4166.0,45343.66666666666,24015.0,5,0,0,0,0,2.903182828680033
chr5-g648,chr5,129600000,129800000,0.43673,"Mmp17, Zfp11, Sept14, Mrps17, Nipsnap2, Psph, Snora15, Cct6a",8.0,"24986, 15494, 21594, 3197, 33251, 21696, 116, 59088",59088.0,116.0,22427.75,21645.0,5,0,0,0,0,2.876559997038592
chr5-g649,chr5,129825000,130000000,0.4002,"Cct6a, Sumf2, Phkg1, Zbed5, Chchd2, Nupr1l, Vkorc1l1, Gusb",8.0,"59088, 16962, 15658, 7900, 6310, 5249, 44584, 14034",59088.0,5249.0,21223.125,14846.0,5,0,0,0,0,2.4621663837335688
chr5-g650,chr5,130000000,130200000,0.463505,"Gusb, Asl, Crcp, Tpst1, Kctd7, Rabgef1",6.0,"14034, 13124, 31478, 62408, 10237, 42519",62408.0,10237.0,28966.666666666668,22756.0,5,0,0,0,0,3.018004073645192
chr5-g675,chr5,135000000,135200000,0.49342,"Wbscr25, Abhd11, Stx1a, Abhd11os, Dnajc30, Bud23, Vps37d, Mlxipl, Tbl2, Bcl7b, Baz1b",11.0,"13918, 2877, 27619, 1036, 1160, 12003, 5367, 48312, 14188, 13481, 58807",58807.0,1036.0,18069.81818181818,13481.0,5,0,0,0,0,4.540546386432243
chr5-g676,chr5,135200000,135400000,0.4684,"Baz1b, Fzd9, Fkbp6, Trim50, Nsun5, Mir7033, Pom121",7.0,"58807, 2110, 12680, 14360, 6845, 81, 18407",58807.0,81.0,16184.285714285714,12680.0,5,0,0,0,0,2.507683440325084
chr5-g678,chr5,135600000,135800000,0.48755,"Rhbdd2, Por, Mir7034, Tmem120a, Styxl1, Mdh2",6.0,"13723, 46182, 84, 8683, 31166, 11738",46182.0,84.0,18596.0,12730.5,5,0,0,0,0,2.1119742233827776
chr5-g686,chr5,137200000,137400000,0.4313142857142856,"Ache, Mir8116, Ufsp1, Mir7036, Srrt, Trip6, Slc12a9, Ephb4, Zan",9.0,"6213, 97, 996, 65, 11971, 4343, 22303, 24414, 98428",98428.0,65.0,18758.88888888889,6213.0,5,0,0,0,0,4.0911097108826455
chr5-g687,chr5,137400000,137600000,0.494975,"Zan, Epo, Gigyf1, Pop7, Mir6418, Gnb2, Tfr2, Actl6b, Mospd3",9.0,"98428, 2797, 9056, 991, 115, 5180, 18242, 16035, 4413",98428.0,115.0,17250.777777777777,5180.0,5,0,0,0,0,3.0957149303422047
chr5-g688,chr5,137600000,137800000,0.49368,"Mospd3, Pcolce, Fbxo24, Lrch4, Gm20605, Sap25, Irs3, Agfg2, Tsc22d4, Nyap1, Zcwpw1, Ppp1r35, Mepce",13.0,"4413, 6298, 12574, 11977, 13774, 1430, 2683, 34273, 13779, 10287, 35291, 1204, 4796",35291.0,1204.0,11752.23076923077,10287.0,5,0,0,0,0,-1.9642598350907727
chr5-g690,chr5,138000000,138200000,0.45137,"Smok3a, Smok3b, Smok3c, Zkscan1, Zscan21, Zfp113, Ap4m1, Cops6, Mcm7, Mir25, Mir106b, Mir93, Mblac1, Cnpy4, Taf6",15.0,"13384, 13410, 13345, 22739, 17361, 16043, 6665, 2883, 7301, 84, 82, 88, 1308, 6360, 8830",22739.0,82.0,8658.866666666667,7301.0,5,0,0,0,0,2.138517484248504
chr5-g692,chr5,138400000,138600000,0.39505,"Zfp157, 1700123K08Rik",2.0,"19219, 2855",19219.0,2855.0,11037.0,11037.0,5,0,1,0,0,2.172331309496616
chr5-g693,chr5,138600000,138800000,0.408955,"A430033K04Rik, Zfp68, Fam20c",3.0,"26047, 16092, 54983",54983.0,16092.0,32374.0,26047.0,5,0,0,0,0,2.5028887325242
chr5-g696,chr5,139200000,139400000,0.51341,"Sun1, Get4, Adap1, Cox19, Cyp2w1, Mir339, 3110082I17Rik, Gpr146",8.0,"49203, 16554, 53589, 7345, 6985, 96, 100796, 18719",100796.0,96.0,31660.875,17636.5,5,0,0,0,0,2.6520971447384425
chr5-g697,chr5,139400000,139600000,0.50157,"3110082I17Rik, C130050O18Rik, Gper1, Zfand2a, 4930500L23Rik, Uncx",6.0,"100796, 9706, 4622, 13276, 17589, 4281",100796.0,4281.0,25045.0,11491.0,5,0,0,0,0,2.380867587773732
chr5-g701,chr5,140200000,140400000,0.48912,"Mad1l1, Nudt1, Mrm2, Snx8",4.0,"312864, 16516, 4225, 49016",312864.0,4225.0,95655.25,32766.0,5,0,0,0,0,2.219535522387869
chr5-g703,chr5,140600000,140800000,0.51908,"Lfng, Ttyh3, Iqce, Brat1, Amz1, Gna12",6.0,"8205, 28455, 38874, 14368, 29186, 70488",70488.0,8205.0,31596.0,28820.5,5,0,0,0,0,2.651550920814433
chr5-g713,chr5,142600000,142800000,0.504505,"Mmd2, Wipi2, Slc29a4, Tnrc18",4.0,"45272, 39787, 20390, 62873",62873.0,20390.0,42080.5,42529.5,5,0,0,0,0,2.213597073174405
chr5-g714,chr5,142800000,143000000,0.506145,"Tnrc18, Fbxl18, Actb, Fscn1, Rnf216",5.0,"62873, 23450, 3640, 12835, 122128",122128.0,3640.0,44985.2,23450.0,5,0,0,0,0,2.161519079656233
chr5-g715,chr5,143000000,143200000,0.45175,"Rnf216, Rbakdn, Rbak, Spdye4b",4.0,"122128, 973, 8590, 24052",122128.0,973.0,38935.75,16321.0,5,0,0,0,0,3.039849712235709
chr5-g716,chr5,143200000,143400000,0.50003,"Spdye4b, Spdye4a, Zfp12, 4930448H16Rik, Zfp316, Zfp853, E130309D02Rik, Zdhhc4, 0610040B10Rik, Grid2ip",10.0,"24052, 10575, 13672, 7757, 20328, 6127, 14289, 12750, 3397, 34450",34450.0,3397.0,14739.7,13211.0,5,0,0,0,0,-3.065991083843486
chr5-g717,chr5,143400000,143600000,0.465825,"Kdelr2, Daglb, Rac1, Fam220a",4.0,"18085, 39950, 22551, 15812",39950.0,15812.0,24099.5,20318.0,5,0,0,0,0,2.651886116753299
chr5-g721,chr5,144200000,144400000,0.472455,"Tecpr1, Bri3, Baiap2l1, Gm15708, Dmrt1i",5.0,"29174, 20137, 93588, 3454, 2481",93588.0,2481.0,29766.8,20137.0,5,0,0,0,0,2.690596707812034
chr5-g723,chr5,144600000,144800000,0.4785899999999999,"Tmem130, Trrap",2.0,"25664, 90985",90985.0,25664.0,58324.5,58324.5,5,0,0,0,0,3.203704070467914
chr5-g725,chr5,145000000,145200000,0.4740399999999999,"Kpna7, 1700018F24Rik, Gm4871, Arpc1a, Arpc1b, Bud31, Pdap1, Ptcd1, Cpsf4, Atp5j2, Zkscan14",11.0,"25893, 2689, 3165, 24888, 13931, 7703, 11256, 19727, 14829, 7887, 6937",25893.0,2689.0,12627.727272727272,11256.0,5,0,0,0,0,2.984006048655303
chr5-g726,chr5,145200000,145400000,0.4329,"Zkscan14, Zkscan5, Zfp655, Zscan25, Cyp3a57",5.0,"6937, 17192, 6581, 8127, 45658",45658.0,6581.0,16899.0,8127.0,5,0,0,0,0,2.996035658788645
chr5-g731,chr5,146200000,146400000,0.44264,"Rnf6, Cdk8, Wasf3",3.0,"12264, 71625, 86120",86120.0,12264.0,56669.66666666666,71625.0,5,0,0,0,0,2.115633611962406
chr5-g734,chr5,146800000,147000000,0.4681749999999999,"Rpl21, Rasl11a, Gtf3a, Mtif3",4.0,"4143, 2656, 6958, 12283",12283.0,2656.0,6510.0,5550.5,5,0,0,0,0,2.737484750393844
chr5-g735,chr5,147000000,147200000,0.471725,"Lnx2, Polr1d, Gsx1",3.0,"59918, 34016, 2251",59918.0,2251.0,32061.666666666668,34016.0,5,0,0,0,0,2.303664608743942
chr5-g739,chr5,147800000,148000000,0.4640999999999999,"Pomp, Slc46a3, Mtus2",3.0,"15157, 18918, 358746",358746.0,15157.0,130940.33333333331,18918.0,5,0,0,0,0,2.157716806829958
chr5-g741,chr5,148200000,148400000,0.47283,"Mtus2, Slc7a1",2.0,"358746, 72495",358746.0,72495.0,215620.5,215620.5,5,0,0,0,0,2.425012069405275
chr5-g748,chr5,149600000,149800000,0.45232,"Wdr95, Hsph1, B3glct",3.0,"83216, 19492, 84370",84370.0,19492.0,62359.333333333336,83216.0,5,0,0,0,0,-2.138687318291775
chr5-g752,chr5,150400000,150600000,0.440445,"Fry, Gm5, Brca2, Zar1l, N4bp2l1, N4bp2l2",6.0,"237824, 2473, 47526, 11105, 22883, 65681",237824.0,2473.0,64582.0,35204.5,5,0,0,0,0,2.077964323696002
chr6-g17,chr6,3400000,3600000,0.3940499999999999,"Hepacam2, Vps50",2.0,"37410, 105139",105139.0,37410.0,71274.5,71274.5,6,0,0,0,0,2.4910203552884678
chr6-g18,chr6,3600000,3800000,0.39304,"Vps50, Calcr, Mir653, Mir489",4.0,"105139, 78994, 85, 107",105139.0,85.0,46081.25,39550.5,6,0,0,0,0,2.4910203552884678
chr6-g23,chr6,4600000,4800000,0.4075649999999999,"Casd1, Sgce, Peg10",3.0,"42471, 72855, 13211",72855.0,13211.0,42845.66666666666,42471.0,6,0,0,0,0,3.0148363016214548
chr6-g24,chr6,4800000,5000000,0.409565,"Gm20714, Ppp1r9a",2.0,"9274, 262351",262351.0,9274.0,135812.5,135812.5,6,0,0,0,0,2.1384737889738443
chr6-g25,chr6,5000000,5200000,0.417825,"Ppp1r9a, Pon1",2.0,"262351, 25857",262351.0,25857.0,144104.0,144104.0,6,0,0,0,0,2.1384737889738443
chr6-g38,chr6,7600000,7800000,0.42117,Asns,1.0,18045,18045.0,18045.0,18045.0,18045.0,6,0,0,0,0,3.853449671241182
chr6-g41,chr6,8200000,8400000,0.391785,"Mios, Umad1, Rpa3",3.0,"27047, 169478, 3206",169478.0,3206.0,66577.0,27047.0,6,0,0,0,0,1.8615822250503784
chr6-g44,chr6,8800000,9000000,0.4034999999999999,Nxph1,1.0,298560,298560.0,298560.0,298560.0,298560.0,6,0,0,0,0,2.749397305641702
chr6-g45,chr6,9000000,9200000,0.380015,Nxph1,1.0,298560,298560.0,298560.0,298560.0,298560.0,6,0,0,0,0,2.749397305641702
chr6-g46,chr6,9200000,9400000,0.37566,Nxph1,1.0,298560,298560.0,298560.0,298560.0,298560.0,6,0,0,0,0,2.749397305641702
chr6-g65,chr6,13000000,13200000,0.3859549999999999,"Tmem106b, Vwde",2.0,"19511, 68526",68526.0,19511.0,44018.5,44018.5,6,0,0,0,0,2.1053247847508443
chr6-g73,chr6,14600000,14800000,0.3795549999999999,Ppp1r3a,1.0,41453,41453.0,41453.0,41453.0,41453.0,6,0,0,0,0,2.0111668266120373
chr6-g74,chr6,14800000,15000000,0.378295,Foxp2,1.0,540629,540629.0,540629.0,540629.0,540629.0,6,0,0,0,0,-3.3566211727821917
chr6-g75,chr6,15000000,15200000,0.360965,Foxp2,1.0,540629,540629.0,540629.0,540629.0,540629.0,6,0,0,0,0,-3.3566211727821917
chr6-g76,chr6,15200000,15400000,0.3639349999999999,Foxp2,1.0,540629,540629.0,540629.0,540629.0,540629.0,6,0,0,0,0,-3.3566211727821917
chr6-g77,chr6,15400000,15600000,0.38927,Foxp2,1.0,540629,540629.0,540629.0,540629.0,540629.0,6,0,0,0,0,-3.3566211727821917
