fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g750,chrX-g751,chrX-g752,chrX-g753,chrX-g754,chrX-g755,chrX-g756,chrX-g757,chrX-g758,chrX-g759,chrX-g760,chrX-g761,chrX-g762,chrX-g763,chrX-g764,chrX-g765,chrX-g766,chrX-g767,chrX-g768,chrX-g769,chrX-g770,chrX-g771,chrX-g772,chrX-g773,chrX-g774,chrX-g775,chrX-g776,chrX-g777,chrX-g778,chrX-g779,chrX-g780,chrX-g781,chrX-g782,chrX-g783,chrX-g784,chrX-g785,chrX-g786,chrX-g787,chrX-g788,chrX-g789,chrX-g790,chrX-g791,chrX-g792,chrX-g793,chrX-g794,chrX-g795,chrX-g796,chrX-g797,chrX-g798,chrX-g799,chrX-g800,chrX-g801,chrX-g802,chrX-g803,chrX-g804
0,310,1,1,,,4.119879999999999,,,0.2737199999999999,-0.12046466666666666,0.87303,,,,0.720335,,1.33,0.6158600000000001,0.1887599999999999,,,,7.6836,0.23239,,0.8431799999999999,0.427565,0.31735,,,0.8914,0.97866,,0.38393999999999995,0.57912,3.842055,1.045248,,,,1.1233,,0.36097500000000005,0.26108999999999993,,0.3678699999999999,0.4168533333333333,-0.14189,,0.54008,,3.19795,,,,,,0.07624999999999998
0,407,1,1,,0.48618,,1.6104,1.1294,,1.49233,,0.837295,0.6386433333333333,-0.086241,-0.000672,,1.61335,,0.3553733333333334,0.93763,,,,,,,1.7195,2.7523,1.5101,,1.5366,1.0880899999999998,1.487925,1.4481,,,1.2356,,,1.49235,2.1169,,1.9201800000000002,0.63962,2.380485,2.3569050000000002,,1.395,-0.062636,,,,-0.35475,0.42569499999999993,-0.20721499999999998,,,
0,27,2,1,2.7739499999999997,,0.37992975,0.4369399999999999,0.2152845,0.08849,,,0.115857,0.02463633333333337,0.33879000000000004,,0.06903133333333333,-0.062932,0.17788150000000003,0.13592,-0.22834333333333334,-0.19429,-0.27273,-0.1164463333333333,,0.1651099999999999,,4.3355999999999995,3.2248858333333335,6.228689666666667,-0.14868,0.11676949999999994,,-0.11705533333333333,,8.3072,8.8418,7.0357,4.00264,,-0.16874499999999998,3.3906,,2.3343,8.2507,5.342038666666667,-0.13636399999999999,-0.18152,-0.09394849999999999,,,,4.1751,,,,2.98285,,2.8323
0,750,1,1,,,1.5985,,,,,,,,,,,,,,,,,,,,,,,,,1.7384,,,,,0.36061,,1.4431,1.4017,,0.80605,,,0.2570199999999999,,,,,,,,,,,,,,
0,99,2,1,,1.0602266666666667,1.3690309999999999,5.4387,1.3918,-0.14744849999999998,3.9977380000000005,0.97728,0.11829,0.3466035,0.599225,-0.29529,,-0.3458199999999999,-0.08070233333333333,-0.18253925,3.536455,2.2545,,2.5600125,3.1032,2.73175,1.6890666666666665,,1.845992,-0.2803199999999999,0.94546,,,1.3179,2.2386,2.7614959999999997,,2.983435,3.07770125,0.6511725,5.682666666666667,2.95255,4.9372,0.7470933333333333,3.3085975,0.04624000000000006,-0.30839,6.4924,1.193608,,-0.065107,0.45795,-0.023934428571428575,-0.15774249999999998,0.09209,0.040499857142857136,-0.16086083333333331,,-0.23728
0,215,1,1,2.015875,3.8488,1.6231,,3.49815,0.12214249999999996,,1.273575,1.415,1.3604666666666665,,3.0368,,1.5861459999999998,3.5309,,,,1.865065,0.89015,,,2.1047,,2.6974,1.6879925,1.4345333333333332,1.2864499999999999,1.6909,2.7952,1.73885,1.7587,1.3425574999999998,1.588,1.0725099999999999,1.588,1.23266,1.6699,,0.5772633333333334,4.445,,2.0439,,1.7494,1.0667,0.2004605,0.10226500000000001,1.030455,0.776775,,,,0.67156,0.7159800000000001
1,98,1,1,,0.748215,,,1.032,0.9384399999999999,,,,0.66801,-0.086687,0.17036400000000004,,-0.1483799999999999,-0.20185,,3.2439999999999998,,,2.9293333333333336,,3.3084333333333333,,0.95796,1.25,1.4953666666666667,,,1.9502000000000002,1.42375,1.2942,0.92714,0.8243,0.45003,,0.669555,0.7064,0.37291949999999996,,,,2.510532,,,0.20738,,,,0.95385,1.311175,,,,,
0,158,2,1,0.5489999999999999,,,,,,0.19565,,,0.27553,0.19974,,0.253,,-0.09796466666666664,0.1301,0.39025,,,0.39639,,,,,,,4.6633,,1.0376,1.84463,-0.25296,-0.2836893333333333,,0.011285999999999997,0.12242099999999995,,-0.318515,,,0.38205,1.270055,0.988385,2.2857233333333333,0.2980685,4.0631,0.1055099999999999,0.54593,0.41209999999999997,,1.3770824999999998,0.23866499999999996,,0.47423,,0.55105
2,117,1,1,,,5.0286,3.4524449999999995,2.0286066666666667,2.43948,1.8106,1.2235619999999998,2.1988,0.4250899999999999,0.096626,0.54752,,0.66398,0.3902566666666667,,0.978985,1.4284,0.190685,3.0035499999999997,,-0.48267,,,0.28773,5.4596,3.33799,0.99842,2.2346500000000002,1.306,,1.12533,2.06595,0.036905,4.56825,,-0.48714999999999997,2.4646,1.4649999999999999,3.3922666666666665,1.309,2.0248749999999998,3.8352,,0.18322,,-0.1333,0.6207010000000001,-0.25871500000000003,,0.7694866666666668,0.9596,0.8103075000000001,0.69084775,
1,144,1,1,,,2.3955,0.805565,0.44346,,,0.50461,,3.3305,,,,3.4496,,,,,,0.6140399999999999,7.8976,,2.5806,-0.38049,0.93268,1.5732,1.8371,2.7962,0.6373800000000001,,1.5635,5.2187,1.7244,3.167436666666667,1.7985,6.030895,0.274485,,,,-0.01196499999999999,0.548065,,0.44668,0.50783,0.46116,,,,,4.9398,1.9819,1.438,1.5378,
2,230,2,1,,,,,,-0.4313299999999999,,-0.14708,2.5608999999999997,-0.19698,0.54618,2.37025,0.5399449999999999,-0.268265,0.5123325,-0.3841,,,-0.26113,-0.27183,,0.011536,,1.555335,-0.268976,4.869675,7.943465,-0.27123,-0.19564,5.6600909999999995,,-0.002721,1.4954800000000004,4.72712,-0.06598499999999999,2.5814125,1.473355,,0.23014666666666672,5.6004,-0.21895499999999993,7.8174,,0.14638766666666667,0.061436,8.940100000000001,2.000425,7.3522,7.3522,6.4433,5.721575,,,,
1,1034,2,1,,0.8759600000000001,1.7237,1.64,,0.25234,0.5466,,,0.45481,0.3846199999999999,,,,,,,,,,,,,,2.6298666666666666,1.8343,,1.3673,2.7954,2.0989,1.9328500000000002,,1.6076,,,,,,1.1648,,,,,,,,,,0.16325,,0.030966,0.271235,0.31983,,0.44672
3,353,2,1,,0.7384999999999999,0.95146,0.47078,,0.4423899999999999,,,-0.139686,,-0.242105,0.085437,-0.022055,,,,,-0.4074,,-0.19039250000000002,,,0.28217,0.31056,2.5577532,7.764,7.0947,0.01648,0.08645,,,-0.10926,0.08239349999999995,0.19699,2.649686666666667,-0.488525,,0.3146166666666666,,5.5482499999999995,,0.15642,0.061099,,3.0627475,,,0.028649,,,,0.10572050000000001,0.02864999999999999,8.125,3.6318708
2,63,1,1,,,,1.0138,,,,,,,,,,0.774405,0.96408,,,,2.3882,4.117,,,3.5387,2.5499,2.2949,1.9342,1.8409,1.7072,1.29681,2.2264999999999997,1.67305,1.9964,,,,1.3434,,,4.5586,3.3832,2.7986,,2.8546,0.16806,1.2315,,0.88323,0.44791,0.6863066666666667,0.650025,0.712205,0.58473,0.839685,,0.88945
1,53,1,3,,,-0.074552,,-0.2319099999999999,,,,,,,,,,,,,,,10.2439,,,,,2.223335,4.321065,-0.56977,-0.56977,,-0.625305,,,,,,,,,,,,,,,,,,,,,,,,,7.5018
0,613,1,1,,,0.8898633333333333,0.24503,,,,,2.9227,,,0.78468,,,,,0.82126,,,,,3.3709,,0.9859063333333333,,3.3406819999999997,,,0.8429949999999999,4.2192,,0.43025,0.24046,0.54001,0.23817499999999997,0.7297933333333333,0.43882675,,1.6612066666666667,1.3838,1.30946,0.70465,,1.173405,0.8144,,,,,,5.5912,2.9821,4.0431,,0.110122
3,62,2,1,,,,,,,,,,,,,,,,,3.83865,5.2737,,4.0013,1.3403,,3.202775,2.168066666666667,,,,,,,,,,,,,7.37575,,,,,,,,,,3.6993,3.2797,,4.9621,,,,5.1712,
2,210,2,1,,0.062794,3.1868,1.6258,1.6258,,,,5.9448,,,4.4602,,,,1.751555,4.8511,0.6522,,2.2233,2.8851,0.7480733333333333,3.0521,2.78498275,2.138775,2.0543,7.2121,0.68639,5.29195,0.664662,0.34643024999999994,0.79703,6.770314000000001,0.94388,0.34241,0.50133,0.395715,0.54357,,,,,,0.39873,,0.19958633333333334,,,,,-0.65133,-0.065949,2.9635499999999997,-0.017674999999999996,-0.050862000000000004
1,137,1,1,0.53305,,,3.2558,,3.2917,,2.88475,,,,,,,1.0527,,,,1.543,,3.0335,,,,,,,4.5959,,,2.5138,6.6387,,4.103396666666667,4.7124,6.557,,,,-0.29389,,,-0.2514,5.7039,,,,,,,,,,,
2,555,1,1,,,,,,,,,,,,7.7428,4.3101,,,,,,,,,0.86182,,6.8847,,,,,,,,,,,-0.52062,,,,,,,,,,2.4253,,,,,,,,,,
3,741,2,1,,,,,,,,,0.28397,,,0.85439,2.2616,2.6833,1.6046,3.153833333333333,3.4812,2.7521,3.8713,,,,,,3.984,4.3124,,,,3.3314,0.72122,4.1371,,2.999575,,,2.69885,2.7521,2.73325,,,,,,,,1.4015,1.6734,1.4559,,3.9107,,5.2669,,
2,603,2,1,,,,,,,,,,,,,,,,,,,,,,,,6.1097,,6.7383,,,,-0.2568,,,,,3.0666,,,,,,,,4.1953,,,,,0.072353,,,,,,-0.31626,
2,711,2,1,-0.6832600000000001,-0.47811,,,4.187799999999999,,,2.8782,,,,,,,,,0.44267,2.8925,,,,6.8953,,,,3.267,2.7374850000000004,,,,,1.0843533333333333,0.83745,2.0731,1.6879,1.24418,0.94836,1.3682,1.2275,0.6239600000000001,,,0.398535,,,-0.00818,0.8983,1.3658,,,1.1643,,,,
1,339,2,1,,,,,,,,,,0.6939,,,,,,,,,,,0.6939,8.1253,,0.51618,,9.2617,7.633933333333332,,0.380518,,0.54371,0.5771026666666667,0.54434125,,0.7589750000000001,,0.55623,,-0.2785249999999999,,,,,,,,,,,4.4134,5.3845,,,2.72635,
1,233,1,1,,0.31211,,5.9036,6.0681,,,,,,,0.46031,,,0.0601789999999999,,,1.916596666666667,,,,,0.70336,,,,,,8.4007,,1.7822,0.87526,,,,,5.4723500000000005,,,,,,0.62037,,5.3656,,,,,,,,0.12242,0.36843,
2,569,2,1,0.79364,0.814155,0.57852,0.865025,0.7799666666666667,5.050396666666667,,,,,,,,,,,-0.080526,,,,8.5751,,0.6723899999999999,7.3147,,6.648825,3.2127850000000002,4.833333333333333,5.018784999999999,0.304735,8.5008,0.82167,0.20206599999999997,0.56092,4.439,,0.30473,,,-0.076615,0.2812699999999999,6.3724,,4.10796,5.640700000000001,0.2812699999999999,1.4781,-0.35627,,,,-0.24871,,,0.28811
0,149,2,1,3.6983,,5.5333,33.2626,4.5475,9.8463,,7.4213,,,,,,,,,,,,4.2787,,,,3.99765,5.2848,5.2848,,4.8225,4.8988499999999995,,4.352,2.5475,,,,,,5.0689,,3.7349,4.289899999999999,2.3724,3.470166666666666,3.7186,2.9264,2.1219,2.5231,,3.7471,3.7797,4.2115,3.1096500000000002,1.9446500000000002,,
0,544,1,1,,,-0.38984,0.8667600000000001,,,,,,0.056345000000000006,-0.021051499999999997,,,0.449415,,,,,,,,,,,,,9.9301,4.88699,-0.486965,,,-0.037745,8.7463,,2.29258,3.7219266666666666,0.28172500000000006,5.24848,,1.7773,2.0111,,-0.26843,-0.2745,,1.7773,,,,,,,,0.047242,-0.39893999999999996
2,80,2,1,,,0.28949,0.9192233333333334,-0.063598,,,,,,,,,,,,,,,,,,,6.783833333333334,,4.5369,,,3.9248,3.9531,,,,,,,,,,,,,,,,,,,,,,,,,-0.292655
0,190,1,1,0.43987499999999996,0.36159,,0.24905,,0.7546533333333333,,1.7242,,0.5361006666666667,-0.35928866666666665,0.45945,0.189116,-0.088551,-0.008634000000000005,,-0.10812,,0.457,9.7338,0.868,,1.8074,,7.647,4.68685,5.6581,3.725433333333333,5.4587,,1.9395,,0.941365,1.0074,-0.32341,0.00686,0.96706,,,4.7847,,,5.4159,5.9296,2.85325,2.7175000000000002,1.3132566666666667,1.03108,0.10227,,,1.478779,1.0355750000000001,,
3,718,2,2,,,4.4416,,,,,,,4.0771,,,,,5.1991,,,,,,,0.28931,,,,5.76735,7.236,7.0954,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,84,1,1,,0.16077,0.18291,1.94394,1.6307150000000001,0.99463,,,5.0775,2.2196,3.446,3.4305,-0.14473,,,,8.4026,,,6.297275,-0.13809,8.179,,7.837,4.529147142857143,7.754,4.7919,8.00855,3.5821175,2.573765,4.71389,7.3997,0.33344,1.2544,-0.14473,,,0.30244499999999996,4.07025,3.37295,2.2815465,3.6895,2.89365,,3.0817965,,0.10210399999999999,0.662725,0.39543,5.0443,-0.18236,0.07886,,2.0483733333333336,4.85505
2,852,2,2,,,,,,,,,,,5.7356,,6.3089,,,,,,,,,,,,,,,,5.5484,5.3339,,,,,,,,,,,,5.1038,,,,,,,,,,,,,
2,648,2,2,,,2.0181,-0.81717,,,,,,,,,,,,,1.281,0.193683,,5.0334,,,5.9728,,,,,,,,5.579933333333333,,,,,,,,,,,0.043287,0.12711,0.2454599999999999,,,,,0.93086,,1.35,1.1873,,,
0,116,1,2,,,,,,,,,,,,,,,6.01265,,,,,8.1609,0.33127,,,,4.8072,,,6.7536,7.52805,,,,4.6192,,,5.0813,,,,,,,3.4510499999999995,4.2633,2.7335,2.547,,,1.4908,,,3.9505,,1.2124,2.6101
2,730,2,2,,,,,,,,,,,,,3.5472,,,,,,,,,,,,,,,,5.7856,5.9571,3.1784,,,,,,2.8696,2.8696,,,,,,,,,2.6924,,,4.2847,,,4.2847,5.1767,
2,584,2,2,,7.9102,,,8.9339,,,,,0.9449233333333334,-0.080429,2.9540333333333333,0.97633,,,,,,,,,,,,,5.3995,,7.3933,,,,,,,,,,,,,,,,,,,,-0.39618,,,,,,,
0,885,1,2,,,,,,,6.8058,5.8388,,,,,,1.1428,,,,,,8.105599999999999,,,,9.1512,,7.2644,,,,,,,,,,7.1439,7.987725,7.4399999999999995,,,8.0349,,,,,,,,,,,,,,
2,181,2,3,,,,,,,,,,,,,,,,1.1136,,,,,,,,,,5.4831,,11.8351,8.2802,7.5878,,9.3567,,9.5858,,,,,1.67937,4.7942,3.406,2.4415,4.7977,,,,,,,,,6.1204,,,
3,157,2,2,,,,6.0948,3.9569,,,4.3801000000000005,,,,,,-0.44276,,-0.2132099999999999,,,,,,,,7.339,,,,9.8824,8.5571,7.99935,,6.715599999999999,,3.66695,7.4048,,10.4769,3.1596,2.0272,,2.2858,3.6111,4.8239,4.1666,1.7364,,,,,3.2913,,,,2.57735,3.2407
