fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g548,chrX-g549,chrX-g550,chrX-g551,chrX-g552,chrX-g553,chrX-g554,chrX-g555,chrX-g556,chrX-g557,chrX-g558,chrX-g559,chrX-g560,chrX-g561,chrX-g562,chrX-g563,chrX-g564,chrX-g565,chrX-g566,chrX-g567,chrX-g568,chrX-g569,chrX-g570,chrX-g571,chrX-g572,chrX-g573,chrX-g574,chrX-g575,chrX-g576,chrX-g577,chrX-g578,chrX-g579,chrX-g580,chrX-g581,chrX-g582,chrX-g583,chrX-g584,chrX-g585,chrX-g586,chrX-g587,chrX-g588,chrX-g589,chrX-g590,chrX-g591,chrX-g592,chrX-g593,chrX-g594,chrX-g595,chrX-g596,chrX-g597,chrX-g598,chrX-g599,chrX-g600,chrX-g601,chrX-g602,chrX-g603,chrX-g604,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639
2,591,2,1,,3.7274,,0.72251,0.8075899999999999,0.049623333333333276,-0.10413499999999998,-1.0526,-1.0526,0.31064649999999994,-0.1592299999999999,-0.99456,0.40926,,0.28164,-0.1708299999999999,-0.47634333333333334,0.6471035,,0.8617299999999999,1.5346,1.4882,,-0.12442,-0.35065999999999997,0.22363,0.003198,0.061206333333333335,0.46728,,0.2178325,0.14242,,,,,1.3142,,-0.008400000000000074,1.436,-0.66971,,1.024175,1.0938,,0.94294,1.4534,-1.0758,,-0.99456,,,,,-0.8321299999999999,0.0264009999999999,,,0.31645,,,,0.5601133333333334,,-0.7045100000000001,-0.7045100000000001,,,0.014799,,,0.52528,,,0.74571,,1.0474,
2,641,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.46437,,,,,,,,-0.36726,-0.1082299999999999,0.57344,0.1099,0.57344,0.4916399999999999,0.3553,1.5141,0.94153,0.53254,,,0.478,0.23942000000000002,,0.205338,0.1917,0.709765,1.016515,0.355305,0.4189146666666667,,,,,,,,,,-0.067329,,,0.011062500000000058,0.65523,,,,,0.53254,2.6593,1.5005,2.6866,2.6866,
2,584,2,1,-0.22812,,,,-0.15113,,,0.04137,,,,,-0.35645,-0.27946,,,,,,-0.13829,,,,,,,,,-0.39495,-0.54895,,,,-0.61953,-0.7286100000000001,-0.67728,-0.600285,,-0.69011,,-0.22812,-0.33079,-0.18962499999999996,0.76002,,,,,,,,,,,,,,,,,,,,,,,-0.22812,,,,2.3513,,1.9792,2.454,,3.455,,2.8133
2,43,2,1,,,,,0.38549,0.30513,,,,,,,,0.3386099999999999,,,,-0.22392649999999997,,,0.8074,1.219245,2.2338,2.195866666666667,-0.002928,-0.07436333333333334,0.827485,,,,0.61319,-0.38465,,,,,,-0.24402,,-0.5029633333333333,,0.23146,,0.19965,-0.0109636,-0.29089499999999996,,0.12096599999999999,,-0.08329,-0.0498055,0.0037699999999999956,0.4122766666666666,0.6466666666666666,,,0.13770449999999995,,-0.002928,0.070738,-0.076593,,,,,,,,,-0.4851,,,-0.09891533333333334,1.7383,,,0.050647,-0.016321999999999996
0,544,1,1,,,,1.2062,1.3149225,0.57589,,,,,1.9453,0.84759,1.282345,,1.01063,2.4996,,,0.46721,,,0.4563375,0.43461000000000005,,,,,1.2389,0.99975,,,,0.4527053333333333,,,,,,,,,,,,,,,,0.15203,1.6301,,-0.39863333333333334,-0.89133,,,,,-0.42399,,,,,,,,,,,1.8909,0.57589,,,0.532415,0.097685,,,,
1,137,1,2,,,1.50495,2.2075,,-0.014672,,,,2.2974,,0.7410399999999999,,1.7173,,1.6111,,1.5641475,1.762275,1.4968,1.31429,,,1.5131,,,4.1642,4.5114,,,,,,,2.8734,2.4118,3.866,,,3.866,2.07412,2.80395,2.8638333333333335,3.20425,3.7843,2.6051333333333333,3.4494,1.74185,,0.075197,0.93306,0.2059099999999999,1.2571333333333332,-0.0636915,1.04739,1.5458,1.3824,1.8439999999999999,1.4232,1.210815,1.6628766666666668,1.9216,,,,2.0932,,,,,-0.5212,0.2712699999999999,0.39382,1.4436499999999999,1.7092,1.5185333333333333,0.76964,
0,215,1,1,-0.45371,-0.22686999999999996,0.52567,,-0.28088,0.4482575,0.5544749999999999,1.40422,,,-0.19446,-0.75616,-0.52572175,,-0.5977205,-0.52932,,-0.69855,-1.008205,-0.4177,-0.42491666666666666,-0.52572,-0.612135,-0.1968633333333333,0.493285,0.62649,1.6491,,,1.4978,0.48966499999999996,-0.26647,-1.0681966666666665,0.36724,,1.1378,-1.0298,1.000965,0.2712433333333333,0.46206166666666665,,,1.1018,,3.58985,2.9705500000000002,,1.7499,2.57805,1.1018,-1.3251,3.2766,,,-0.22326,,0.21602,0.08399033333333333,-0.3961,-0.7813699999999999,,-0.28808,-1.1306,,,,2.091955,,,0.2016099999999999,-1.1594,0.63369,0.8353299999999999,,0.34203,0.460855,1.96955,
1,843,2,1,,,-0.9091799999999999,,,,-0.78713,,,,,,,,1.0065,0.49705,-0.155655,,,-0.74468,-0.8720399999999999,-0.30954,-0.57487,-0.6385466666666667,,,,,,,,,,-0.22464,,-0.53242,,-0.53242,-0.79774,-0.62263,,,,,-0.054831,,-0.0017649999999999,,-0.8879549999999999,,,,,-0.8295799999999999,-0.7659100000000001,,0.061913,,,,-0.25648,,,,,,,,,,,,,-1.3072,,,-1.1002,-0.81897
1,208,2,1,2.0643000000000002,2.10098,3.712391428571429,,,2.443625,,2.89108,,3.201033333333333,3.00605,7.0076,1.6949945000000002,5.1916,1.82595,0.38536650000000006,2.3847,0.7360566666666667,1.3152000000000001,0.7651519999999999,0.18893333333333331,2.31485,,-0.18431149999999996,0.3955566666666667,,1.7735500000000002,1.2366000000000001,,0.9485,1.4287,1.385025,1.4068550000000002,1.5974700000000002,1.8303,1.7022333333333333,,1.3501233333333333,2.30615,1.9306975,3.2709,2.5026,0.9223000000000001,,1.8914,0.86702,0.03613999999999995,,,-0.71034,0.5381600000000001,-0.09045733333333333,0.290204,0.5185150000000001,,2.9566,,0.4770399999999999,0.4421199999999999,0.13072666666666666,0.4421199999999999,,0.787005,-0.25634,-0.099188,-0.88495,1.01834,,1.5116,0.46396,-0.850035,1.6033,,1.2889950000000001,0.586175,1.0969,-0.8762200000000001,
1,81,1,1,-0.4111705,1.19901,1.65795,,,0.57284,0.07759133333333333,0.479493,,0.11390666666666664,-0.15058,1.50887,,0.52876,1.213605,,0.024438,1.02593,-0.71065,,-1.2552,-0.71065,,-0.67953,0.8062,0.3970430000000001,1.5685,,0.8956550000000001,2.6420000000000003,2.7291,2.5292000000000003,0.5598866666666665,0.8275975000000001,3.0776,,1.17955,2.64195,,2.3249725,2.1986,0.0011049999999999671,1.1096,,1.44014,-0.7858533333333333,0.6817150000000001,,,,2.2141,3.1865,1.7785,0.71285,,2.0975,,1.9497,1.7163,,1.8874499999999999,,0.2928,1.2885,1.712375,2.2141,1.4441,2.7509,0.203345,1.1458333333333333,1.49075,,1.1251066666666667,1.2340666666666666,1.1796,1.370926,2.0702499999999997,1.5763
0,646,2,1,,-0.001173,,,,,1.3419,,,,,,,,,,,,-0.3129699999999999,0.30263,,,-0.21703,0.8142849999999999,,,,,,,,,,,,,,,,,,-0.005169999999999952,,,0.35059,,0.14273000000000002,,,,,,,,,,,,,,,,-0.34495,-0.28898,-0.44888,,,,,,,,,,,,,0.22268
1,826,1,1,0.95125,0.37001,1.2562,0.5796399999999999,,0.68445,0.324754,1.2133,,,0.6653899999999999,,,,,,1.723,,0.83691,0.6685800000000001,,1.10845,,0.5987,-0.001593,,1.2371,0.96075,0.22391266666666665,0.96078,,0.327135,,0.269969,,,,0.046049,1.4563,0.755935,0.7225775,0.756862,0.007936,,0.77974,,1.3419,0.76068,0.28426,0.355725,0.91313,0.93693,0.5796399999999999,1.1418,,,,,,1.30063,1.7421,1.6182,,,,0.91313,,,,1.5611,1.3324,,,,,,,
1,612,2,1,,,1.1193,0.14636,0.14636,,-0.091069,,,-0.03605399999999995,,,,,,,,0.059498,0.7718,,0.19848,-0.04039625000000002,,,1.0845,0.49383,0.6270233333333334,,,,,0.5864866666666667,0.7718,,1.5015,,,0.33747,,,-0.37483,-0.2011,,,-0.27059,0.11162,-0.079487,,,-0.0707985,-0.13161,,-0.11423,-0.2184699999999999,,,,1.0324,,,,,0.37221,0.37221,,,,,,,,,,,,,1.3799,
2,569,2,1,0.12594333333333338,,-0.1986099999999999,-0.314235,-0.47855,-0.034294999999999964,-0.4176899999999999,-0.1986099999999999,,,-0.29598,,1.2985,0.99417,-0.0038689999999999,1.98,2.686,0.19087149999999994,-0.33858,-0.30815,0.27607,0.13407,0.0326445,-0.0525545,0.54991,0.2791225000000001,,1.7049860000000003,0.27607000000000004,2.6738,0.023516250000000002,0.12190333333333335,-0.25338200000000005,,-0.47855,,0.19087,-0.25947,1.10372,0.6533766666666666,0.20304200000000003,,1.9679,0.39778,0.83595,0.14219,0.6777199999999999,1.2376,2.4000000000000004,,1.5784,,0.10567,1.6636,-0.3122103333333333,0.67772,-0.33249,2.4912,1.22542,2.0531,,5.1202,,,,,,,1.1646,,-0.0403829999999999,,0.5730516,1.2011,1.012435,0.9860733333333332,1.7123,0.86029
2,260,1,1,,1.1609866666666668,0.032077333333333305,0.37303,0.48195,,0.005560000000000009,0.5435066666666667,0.013134999999999952,0.4791,,0.45067999999999997,0.87117,0.104046,,0.86551,,0.2972606666666667,-0.252043,0.5083231428571429,0.466315,0.41375,1.9224,2.0474825,1.4053499999999999,0.6382099999999999,1.8429,,2.4509499999999997,1.6383,,2.2748,1.7330366666666663,1.79363,,1.2633,1.15531,2.6498,0.7329066666666667,0.46773499999999996,1.7633,,1.20363,2.2861,2.19525,1.8656,-0.03800500000000004,,1.8543,0.61548,1.3428,-0.37895,0.96779,,0.50752,-0.37327,,1.627,0.45069000000000004,0.69503,-0.032323,0.6723,,,0.7291300000000001,-0.055053,0.11055042857142854,,2.0475,-1.0665,1.1951,,1.2973766666666666,0.85414,,0.21200000000000008,,1.2405499999999998
3,353,2,1,,,,0.5718150000000001,1.8596,2.9673,,,,0.30155,0.017976,,,,0.16477,2.4468,0.8453799999999999,1.0989,0.36495,0.10472000000000005,0.77865,0.90545,0.6585466666666666,,,0.001295000000000001,,,,-0.4224199999999999,,,,1.3925450000000001,,1.6016000000000001,,1.8997,,,-0.79608,,0.97883,-0.7627200000000001,-0.80943,0.2281625,0.16210199999999997,,0.61851,2.4201,1.379175,,1.025555,1.0989,,0.084702,0.011305000000000037,-0.35569,,,-0.1688599999999999,-0.8628100000000001,-0.54252,-0.5358499999999999,0.17367,-0.329,0.4183323333333333,,0.058012,-0.20889000000000005,-0.7427,,0.458366,-0.5959033333333333,-0.5758825000000001,0.228165,0.39164,-0.28896
2,244,2,2,,,1.0731,,1.24854,1.7067,2.0610999999999997,1.6690999999999998,2.95775,,2.9739,,,2.4155,2.65175,,3.0813,0.5576800000000001,1.282565,1.250305,,1.6888266666666667,2.3779,2.4423,,,0.063705,,1.9967,0.67581,,0.7831849999999999,,,,,,,,,,,,,,,,,1.9108,,,,,,,,2.7967,,,,,,,,,,,,,,0.37513,,,,,,,0.77246
2,603,2,1,,,-0.3242839999999999,,,,,-0.57395,,-0.84386,,,,-1.5186,,,,,,-0.445745,-0.25006,-0.22307,,-0.492975,,0.70812,-0.7763800000000001,,,0.19529,-0.1286,0.45170499999999997,0.66764,,-0.9720599999999999,,,,,,0.1278099999999999,,-0.78988,,,,,,-0.93833,,,,,,,,,,,-0.26355,,,,,,-1.1543,,,,,,,,,-0.92484,,,-0.83037
2,198,2,1,,,0.1259305,,0.74408,-0.14085,0.54399275,0.20401,1.5281500000000001,1.44355,0.922995,,-0.55728,0.56189,1.2841,,,,,,,,,,,,0.47079,,0.5814,,0.50983,,1.7071,,1.303655,,,0.71154,0.6594899999999999,,0.93278,,,1.0239,,0.48381,0.26908,0.19751,1.2711,-0.407625,1.9348,,,,,,,,,,,,,0.02833,,0.34066,0.2625699999999999,,,,,,2.5595,,2.8197,,,
2,636,2,1,,,0.66719,,-0.034703,-0.26111999999999996,0.7917176666666667,-0.29508,,0.016242,0.616245,0.09737166666666668,0.3275546666666667,-0.068665,0.39549,,0.331335,0.18848,0.058694,-0.39130750000000003,-0.299608,1.4257,0.6332199999999999,0.65587,0.8558633333333333,0.27096,0.61058,-0.074324,1.2559,1.00301,,,0.11247,,0.92192,0.31624,0.6526242857142857,0.82568,,0.20303,,,,0.95021,-0.12527,0.800774,,0.2483199999999999,,,0.12756100000000004,0.8143485,0.28228,,,-0.046024,,,1.2445,-0.71395,,,1.6181,1.471,,,0.46341,,,0.48605,-0.29507999999999995,,1.7143650000000001,0.6973766666666666,1.3012,,0.5596399999999999,3.4974
2,172,2,1,,,1.1978,1.1978,0.9324749999999999,0.65699,0.034592,0.46313,,-0.18988,,,,0.86105,,0.49033666666666664,0.9358733333333333,-0.036831,-0.194981,0.95288,-0.087847,0.172334,-0.41638400000000003,-0.44291400000000003,-1.74076,0.33049,0.6773990000000001,,0.463129,-0.179676,,0.7760433333333333,,0.054999,0.16723,,,,2.3303,2.3711,0.340691,0.29817666666666665,0.01009979999999997,1.4886,0.31007999999999997,0.18764,,0.7003397499999999,1.4596466666666668,1.3712,0.3576966666666666,0.366195,0.28457,0.2998775,,0.554951,0.10261466666666659,1.0549,1.42225,0.03459199999999995,0.54475,0.6876,0.626375,1.8814,1.8202,,0.57536,,0.84065,0.3815,0.224077,0.16723,-0.053836333333333326,0.327935,-0.143965,0.19019000000000003,-0.12866,0.49713
1,468,1,1,,-0.35234,-0.59939,-0.5891,-0.24940333333333334,-0.64057,,-0.2674175,-0.61998,,0.72849,-0.084707,,,,,,0.180362,-0.13823400000000002,,0.158907,-0.60968,0.45056,-0.398665,-0.115585,1.165965,0.8082725,1.5073666666666667,1.4413175,0.97041,0.76967,-0.053827999999999994,-1.4229,0.059404,0.72849,,-0.2116686666666667,,,0.13146,0.831405,,0.48144,,-1.4126,0.60497,,,0.42998,,0.30130450000000003,0.76967,2.1387,,1.39245,0.6821699999999999,0.80055,,,,,,1.3976,,,-0.13618,,,,-1.0729,,,,-0.2185233333333333,,1.2638,,1.5623
2,230,2,1,,-0.89449,-0.98235,-0.57721,-0.450305,,,-1.0116,,,,,,,-0.79686,,,,,,1.263,-0.41613500000000003,-0.6992400000000001,0.8920349999999999,2.6785,0.8187749999999999,,0.6089,,,,,,,-0.504,,,,0.03293,0.2672199999999999,,,,,,,,,-0.1916,,-0.6309100000000001,,-0.49423,,-0.15255,,0.18913,,,,-0.55769,,,-0.36732,-0.52352,,,,0.49176,0.111025,,,0.0622159999999999,-0.045170000000000016,0.07197666666666665,0.19238,-0.035406,
0,164,1,1,,-1.0389,,,,,,,,0.38432,,,0.22525000000000006,-1.2816,-1.2984,,-0.78772,,0.77779,1.0624,,0.52664,-0.5847,0.63547,0.5936100000000001,0.9577800000000001,,0.606167,,,-1.1477,,,,-0.0007666666666666563,0.39269,,,0.87825,0.057822,,,,,0.58105,0.066194,,-0.042638,-0.14727999999999997,-0.976105,,,,-0.1012375,-0.448665,0.20014,,,,-1.02633,,-0.16403,,,,-1.13095,,,,,,,0.20640750000000002,0.987055,0.90336,1.774,,0.83639
0,620,2,2,,,,,,,-0.85209,-1.0215,,,-0.8803200000000001,,,,,,,-0.9897,,,,,,,,,,,,,,,-0.7462300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.80269,,,,,,,,,
1,189,2,2,,-0.98653,0.2688775,0.16899233333333333,0.42008166666666663,0.33073854545454545,1.5081,-0.022696250000000025,0.098796,0.42277,-0.12799,,,,,0.35798,,-0.1846799999999999,0.07652249999999997,-0.39122075,-0.5572600000000001,-0.022699999999999998,,-0.10369,1.1112,0.1494175,0.4227733333333333,1.115265,0.07990000000000001,-0.10369125000000001,0.27159333333333335,0.790496,,-0.3790699999999999,0.7872496666666667,-0.25353000000000003,-0.68685,-0.18738333333333332,,0.13119,0.8898366666666666,1.0059266666666666,0.8034349999999999,0.69004,1.39065,1.2813325,0.5064666666666667,1.2084000000000001,0.082597,0.15009333333333327,-0.6490533333333333,0.69006,1.0383,0.5888150000000001,,1.32182,1.5486,0.43898,1.4109,0.9492480000000001,-0.19818466666666668,1.4109,0.236485,,,,1.6134,,1.9212,1.629603333333333,0.600975,,0.6252666666666666,1.12745,1.1209600000000002,1.877436,1.05048,0.17170666666666667
2,199,2,1,,1.95659,4.009320000000001,0.59939,3.14412,1.4518900000000001,-3.2686,-3.2686,0.31099,0.4297399999999999,0.57394,2.2365,0.8369,0.3406805,,-0.3676,0.5089133333333333,-0.033400000000000075,-0.41283983333333335,,-0.23188499999999995,-3.2686,0.03615299999999997,-0.713686,-0.7980867500000001,-0.26580999999999994,-0.100405,0.1243799999999999,0.294025,0.33644,-0.2912599999999999,-0.2234,0.55698,,,,-0.24036,0.217685,,-0.48635,0.13569333333333336,,-1.843545,-0.3442725,0.6615966666666667,-0.20643333333333333,,0.29403,1.2836333333333334,,,2.4316,,0.38733,0.255855,,,,,,,0.4976,0.38733,1.4222,2.228,,1.8209,,,-0.3336699999999999,,,0.82842,,,,,0.62484
1,84,1,1,1.18293,,,-0.145445,-0.05587249999999999,0.1790466666666667,0.04215250000000001,0.09622999999999998,-0.4936,0.23651,1.58181,,0.8381700000000001,3.7653,1.9806249999999999,,0.19595,,-0.2209433333333334,-0.25361,-0.70314,0.18243,-0.49022499999999997,1.5074,,2.3119,-0.70992,-0.7640066666666666,2.0009,2.0009,,-0.5476800000000001,,0.28383,0.6826800000000001,1.53222,,,0.22299,3.549,-1.1155,0.7807000000000001,4.9889,,,,2.82906,2.1091,,1.57504,1.0511249999999999,,,0.189205,,,,,,1.875875,,4.5563,,,,,,,,,,,,-0.3110699999999999,1.0477,,,
0,310,1,1,1.5856666666666666,0.91981,1.3855,-0.90906,-0.8753200000000001,,2.6272,2.364,,,,,,,,,,0.8320799999999999,,,-1.422,1.5406499999999999,3.0726,2.661,1.4934,,,1.5091666666666665,0.50815,0.616125,,0.06950400000000001,,,,,,-0.0857309999999999,,,-1.14865,-1.18575,-0.911772,,,-0.90231,,,,,0.022247999999999997,0.973795,-0.16670000000000007,,,,,,,,,,,,,,,,,0.75785,1.0885500000000001,,2.39775,,2.09745,,,
2,31,1,1,,-0.34042525,-0.8719100000000001,-0.58462,-0.002384333333333332,-0.48502666666666666,0.041664999999999994,,0.17382,-0.400755,,5.1381,3.92575,9.4015,,,,0.7751966666666666,5.73281,2.47213,3.216758,1.7482,2.8054,,2.3572,,,2.6215,1.7252,,1.9473333333333336,,2.7249,,,1.7252,1.2655,1.5873,,-0.27435,-0.090485,1.0442974999999999,1.2022940000000002,-0.033027,-0.5041800000000001,,,0.5300600000000001,0.14509425000000004,0.208295,,0.73690775,-0.1307035,0.07039500000000001,0.66796,-0.6076,-0.14794,-0.45821,-0.45821,0.0589049999999999,,-0.22838,1.0127,1.2693166666666666,1.73665,,4.4372,,,-0.4697,,,0.5109033333333334,0.6105,-0.06175499999999995,0.8862899999999999,2.0316033333333334,0.2427699999999999
0,750,1,1,,,0.07489700000000005,,,-0.27771,0.7309,,,0.6489,,,0.4603,,0.5095000000000001,,1.0343,,,,,,,,-0.023506,,,,0.6407,,,0.784197,,,,,,,,,0.5505,,,,,0.5505,,,,,,,,,,,,,,,,,,,,,,,0.042095,,,,,,,,,
2,117,1,1,,,,,0.21586,,-0.66056,,,-0.9005299999999999,-0.9501,-0.75794,-0.9683649999999999,-0.96313,-0.780545,-0.7788066666666666,-0.931835,-0.8066300000000001,0.4558399999999999,-0.70229,-0.6214324999999999,-0.551005,-0.55622,-0.6675113333333332,-1.2135,-0.6223033333333333,0.4627933333333334,0.98795,0.17413,1.1166333333333334,-0.5405825,-0.05366166666666672,-1.0257,0.4558399999999999,,-0.29538,0.9392533333333333,1.0923,1.5722,,1.450516666666667,0.1976025,0.7531950000000001,0.1219599999999999,-0.22756500000000002,,0.2784655,0.80536,0.416705,0.742745,1.09752,,0.7740849999999999,-0.11279549999999999,,0.27846666666666664,,0.35150000000000003,0.852325,2.51125,,1.03664,2.7617,0.98795,,,0.06457999999999997,0.069793,,,,,0.163695,0.5706100000000001,-0.71273,0.6932,1.1758,1.1236000000000002
2,516,2,1,-0.46538,,-0.3034,-0.6111550000000001,-0.70294,-0.3034,-0.5013733333333333,-0.5895600000000001,0.085345,-0.8433200000000001,,-0.14682,0.009754999999999944,,-0.32139666666666666,-1.005305,,-1.0161,,0.59287,0.6252676666666667,0.6792600000000001,,,,1.338,-0.065834,,,0.9276133333333334,1.2570000000000001,,0.11774,-1.1133,,0.20413,0.24731999999999993,0.020553,,,-0.029839,-0.47617,,,-0.05503666666666671,0.54968,,0.598265,0.4416899999999999,0.65766,,0.46329,0.2743149999999999,0.50648,,0.64686,,,0.11774,-0.9945,,,0.31211,,-0.45458,,,,0.72245,-0.473475,-0.27640500000000007,0.2473199999999999,,,-0.39194579999999996,0.03494999999999996,-0.31635800000000003,
1,233,1,1,,,-0.26425,0.026369999999999998,-0.26834299999999994,-0.27653,,-0.27925833333333333,-0.50575,,-0.36658,,,,,-1.349,,,,,-1.16065,,-1.3366500000000001,,0.48482,,,,,,0.5503100000000001,,-0.26016,,,0.53394,-0.2356,,0.27197,,,,,,,,0.65673,,,-1.0706,-0.3665703333333334,0.5134830000000001,-1.17295,,-1.2671,-0.62855,,-0.33384,,-1.2098,-0.15373,,-0.38295,,,0.014091999999999952,0.28834,,,-0.26016,,,-0.16192,-0.1701,,,-0.06368,
0,27,2,1,,0.22091,-0.13234,-0.1595099999999999,0.22634,,,,,,-0.083428,,,0.8132900000000001,-0.42581,-0.70297,,0.5241480000000001,0.37850999999999996,0.44642000000000004,,,1.59855,0.928765,0.737195,0.951875,0.992615,0.41294000000000003,0.29699,0.27526999999999996,-0.31711500000000004,,,0.91653,0.14482,,-0.20842,,,,,,0.4980699999999999,0.12309,0.38395,0.18287,,,0.11222,-0.34429,-0.20479966666666663,,,,,-0.35243499999999994,-0.32255,-0.85514,,,,0.20732,-0.7111,-0.6540600000000001,-0.5888399999999999,-0.73014,-0.87687,,,-0.82796,0.2046,-0.072559,-0.29538,0.019829,-0.4638466666666667,0.08504350000000005,0.05062433333333333,0.465465
0,55,2,1,-0.28038,,-0.37964,0.76766,-0.169446,-0.11690000000000003,0.316336,0.6830005,,-0.15777,0.42805333333333334,-0.39716,0.700515,1.045,-0.259945,-0.06581125,0.025176000000000014,0.8044446000000001,1.8128000000000002,1.6522,1.6522,0.39398999999999995,0.7978310000000001,0.5954166666666666,-0.011802,,0.19839,,0.5020100000000001,-0.3667972,-0.2132385,-0.5431299999999999,-0.59568,,,,0.2538595,,-0.3212566666666667,0.36479750000000005,0.6187653333333333,0.072858,-0.15192999999999998,0.1409783333333333,0.3375438333333333,0.11956499999999998,0.07578,1.39825,1.0158325000000001,1.1112033333333333,0.690304,-0.25119,0.4124733333333333,0.866913,-0.51394,-0.6599,-0.575245,,-0.82339,-0.35629,-0.432195,-0.46430699999999997,-0.765,,-0.005964,,,,,,,,-0.72705,-0.21226466666666666,-0.7319166666666667,-0.6891,-0.68326,
0,89,2,1,,1.0197,1.0258383333333334,1.6463400000000001,,0.6336233333333333,1.0549166666666665,-0.69905,-0.6038600000000001,-0.59328,1.2616225,-0.52453,0.30309499999999995,-0.43198500000000006,0.549025,-0.19401000000000002,,0.6623371428571428,0.43619333333333327,0.28459,1.3079,0.96414,0.968905,2.0668,0.46968,,-0.15963500000000003,-0.42669999999999997,-0.76251,-0.11733500000000002,0.33218,0.39034499999999994,1.2858533333333335,1.4745,1.98215,0.5992500000000001,0.306804,2.1197,1.100295,1.9504666666666666,0.5490130000000001,0.7949375,-0.3235733333333333,2.8124000000000002,1.29465,0.5208100000000001,0.60322625,,1.2964466666666665,2.54405,0.31632,0.6900366666666667,3.0081,2.6511,3.4946,,,,,0.3255695,0.12594,,-0.50338,-0.8101,-0.532465,-0.6382300000000001,-0.5827,,-0.15435,0.884833,-0.3870325,-0.67261,0.43532499999999996,0.25638333333333324,1.001171,0.41679666666666665,-0.01156,-0.82068
0,352,1,1,1.3192,0.6641100000000001,,1.1227,0.8024,0.59132,1.6516466666666665,0.45302,,1.3338,0.95382,1.5376,0.791475,,0.94072,0.8606475,0.27104000000000006,1.3483399999999999,1.2427925000000002,1.410215,0.79875,2.6513,2.3747000000000003,2.109,1.42478,,,0.9079575,0.72962,,2.8042,,,,,1.9452,-0.18389899999999995,2.49845,1.65045,3.0298,3.2518,,,1.9816,,,,-0.91545,,,,-1.1193,-0.98824,,,2.957,,,2.1272,2.6318999999999995,,,,3.4666,,,2.6513,2.7969,,1.8797,-0.5624100000000001,,0.19642999999999997,-0.522375,-0.39135,-0.6825150000000001,-0.3768,1.2573750000000001
0,250,1,1,,,,0.35231,2.3237,0.98568,1.532,,,,,,,0.45919499999999996,-0.09105,,0.25730499999999995,1.0411,0.502735,0.2771,0.2335533333333333,0.787755,0.7600450000000001,,,0.8431799999999999,0.593785,1.04901,,,1.8249,,,,,,,,,,,,,-0.1623,,,0.3048099999999999,-0.08313499999999996,,,0.93026,-0.019795,,,0.3285599999999999,,,,,-0.0593809999999999,,0.37606,-0.27314,-0.51066,1.0174,0.003956,0.28106,2.102,,,,,0.23355,,0.1068799999999999,,2.00305,2.8937
2,648,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0656,,,,,,,,,,,,,-1.0787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,1,1,-0.67658,,,,,-0.4707,-0.49555000000000005,-0.445855,,,-0.09796666666666663,-0.48135,,-0.10861500000000004,,,-0.18316,-0.4056199999999999,0.9764633333333332,0.49131,0.3794755000000001,,-0.20446,,-0.4565,,,0.14342,-0.034069999999999996,,0.26056499999999994,0.404694,0.17182,0.7043130000000001,0.07715866666666664,3.4874,-0.097966,,,1.7940999999999998,-1.2481,,,,-0.61624,-0.47425,-0.31096,,,0.3670615,0.2144199999999999,1.5171999999999999,1.346845,1.109,,-0.016319999999999946,,,-0.67304,-0.47188333333333327,-0.5949399999999999,0.051127,,,-0.61624,-0.50265,-0.49555000000000005,,,,-0.70854,,,,,,-0.84343,
0,250,1,2,,,,,,,,-0.3285599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64525,,,,0.85901,,-0.87485,-0.45128,,-0.6056699999999999,-0.78776,,-0.6215,,,,,,-0.66109,,,,,,,,,,,,,,,,,,,,,,,,
0,149,2,1,,,0.30204,,-0.3648599999999999,0.30204,,,0.30204,,,0.7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.371595,-0.62758,-0.49959,,,-0.27729,
2,584,2,2,,,,,,,,,,,,,,,,,-0.21529,,-0.43345,,-0.34362,,,-0.2666199999999999,,,0.002871,,,,0.0542029999999999,,,,-0.42062,-0.40779,,,,,,,,,,,,,,,,,,,,,,,-0.074128,,,-0.022796,,,,,,,0.4391899999999999,,,,0.72794,0.96535,,,,1.9792
