fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g65,chr17-g66,chr17-g67,chr17-g68,chr17-g69,chr17-g70,chr17-g71,chr17-g72,chr17-g73,chr17-g74,chr17-g75,chr17-g76,chr17-g77,chr17-g78,chr17-g79,chr17-g80,chr17-g81,chr17-g82,chr17-g83,chr17-g84,chr17-g85,chr17-g86,chr17-g87,chr17-g88,chr17-g89,chr17-g90,chr17-g91,chr17-g92,chr17-g93,chr17-g94,chr17-g95,chr17-g96,chr17-g97,chr17-g98,chr17-g99,chr17-g100,chr17-g101,chr17-g102,chr17-g103,chr17-g104,chr17-g105,chr17-g106,chr17-g107,chr17-g108,chr17-g109,chr17-g110,chr17-g111,chr17-g112,chr17-g113,chr17-g114,chr17-g115,chr17-g116,chr17-g117,chr17-g118,chr17-g119,chr17-g120,chr17-g121,chr17-g122,chr17-g123,chr17-g124,chr17-g125,chr17-g126,chr17-g127,chr17-g128,chr17-g129,chr17-g130,chr17-g131
1,53,1,1,,-1.0196433333333335,-1.117645,-1.2065000000000001,,-0.881735,-0.8099433333333333,-0.7450025,-0.9808966666666666,,,,-0.37238,-0.8270649999999999,,-1.14835,,,,0.1882599999999999,0.63951,0.116473,-0.139916,0.24295999999999995,-0.20145,-1.0629,0.47542,-0.97405,-0.47265666666666667,-0.96721,-0.37238000000000004,-0.62535,0.35235,-0.69372,-0.74158,,0.83095,,-0.92619,,,,,-0.6048399999999999,-0.5159549999999999,0.22245,0.22245,-0.4202399999999999,,-1.1381,,-1.1381,-1.0629,-1.0424,-0.8304449999999999,,1.1318,,-0.06813000000000001,,,,0.18143,,,-0.051035,-0.1399175
1,208,2,1,-0.6463133333333334,-0.27377599999999996,0.13872750000000003,0.77389,1.32393,-0.9489866666666668,0.41883333333333334,-0.14282666666666666,0.7433099999999999,-0.39894333333333326,0.64731,-0.73653,0.1802,-0.28253,-0.260707,0.049235,,-0.35238,-0.064265,-1.0421,,,,,,,-1.1556,,,,,,,-0.42514666666666673,-0.24761,-1.077,,-0.260705,0.66039,,-0.2912599999999999,,,0.049235,-0.6033875,-0.55319,-0.9024133333333334,-0.6346893333333333,-0.93734,0.917965,,,-0.5226275,0.62983625,,-0.98099,-0.57065,,,-0.35238,-0.8718600000000001,-0.56192,-0.36984,-0.6579550000000001,-0.5488199999999999,-0.8121966666666666,-0.7278
2,181,2,3,,-1.0124,,,,-0.5333,-0.35603999999999997,-0.480605,0.10867,,,,,0.051181,,-0.48220333333333326,-0.69619,,,,,,,,,,,,,0.2651866666666667,,1.1339,-0.39916,1.1147,0.33384,0.15658,-0.10213,,1.5747,,0.8943700000000001,-0.65307,,,,,,,0.0128539999999999,-0.86866,,,-0.45665,-0.75847,-0.2937599999999999,-0.63391,-0.7441,,-0.57163,,,1.023745,0.11346,,,0.65004,
2,569,2,1,0.14218000000000003,-0.5911420000000001,,,-0.91671,0.19087,0.48298,-0.8436899999999999,1.0794,0.31258,-0.6611199999999999,,-0.60026,-0.97757,1.042855,0.54992,-0.06958599999999997,-0.6611199999999999,0.10322599999999997,-0.08907666666666669,-0.95323,-0.0728333333333333,0.6655550000000001,0.38358500000000006,-0.90454,-0.31221000000000004,-1.0181533333333332,,-0.02821499999999999,,,1.01448,0.7061333333333333,-1.1115,0.58847,0.093501,0.093501,0.4951566666666667,2.8929,1.5845,0.14219,-0.5150633333333334,-0.42379,-0.1620903333333333,-0.5150633333333333,-0.4217466666666667,,-0.44812,2.0774,-0.3244,-0.35075,-0.95323,-0.721975,-0.86803,0.27607,-0.8923700000000001,-0.92889,-1.3305,,,-1.0993,-0.977565,,,-0.11341,0.008302,-0.40552
1,36,1,1,,-0.6559333333333333,,,-1.0385,,-0.9972,,-1.08805,,,-0.7247399999999999,,-0.8651,-1.0963,-0.8403299999999999,-0.94766,,,,-0.192195,-0.0064269999999999,0.406395,-0.09724949999999999,-0.32842499999999997,-0.8073,,,,,,,,,,-0.8073,-0.79079,-1.154085,-0.96417,,,,,,-1.4265,,,,-1.3853,,,,-0.6008899999999999,,,,,,,,,,,,,,
2,199,2,2,,,,,,,,-0.26581,,-0.32519,,,-0.79172,,,0.472155,0.2622175,-0.4439399999999999,-0.24884499999999998,0.005625,,,-0.0181276,0.33643999999999996,0.35340499999999997,,,-0.67297,,,-0.67297,-0.67297,,,0.1074099999999999,-0.53725,,,-0.15554,-0.50756,,,,,0.005625,-0.7238600000000001,,-0.8086800000000001,,,,,-0.52877,,-0.35064,,,-0.95288,,0.16679,-0.30822,-0.46939,,,,,0.05228000000000002
1,6,1,2,1.0554,0.661786,0.72983,0.30912,,,,,,,,-0.3494,,-0.78841,,-0.32988833333333334,-0.6713399999999999,-0.2177,,,0.40424,-0.803045,,-0.4811,-0.8396333333333335,-0.7811,-0.40793500000000005,,0.011566666666666633,-0.7079300000000001,,,-0.6347725,-0.13233333333333333,0.43351,,-0.16647499999999998,-0.788425,0.20668,,,0.22131499999999998,,,,2.3432,,,,,,-0.16648,0.539605,,0.4457,,,,,,,,,,,,
0,352,1,1,-1.2212,,,,,,,,,,,,,,-0.19482,-0.35496,,,,,-1.243,,,,-0.56605,-1.0756,-0.50418,,,,,,,,1.2828,,,,,,,-0.6242800000000001,-0.4787,0.1764099999999999,0.36567,-0.0419579999999999,-0.38043699999999997,-0.39863066666666663,,-1.1411,,-1.1047,-1.1557,,-0.66068,-1.09745,-1.2721,,,,,,,,,,0.41662
0,89,2,1,0.29517,-0.43312,-0.35530333333333336,-0.5016166666666667,-0.5439200000000001,-0.5527336666666667,-0.74135,-1.0375050000000001,-0.8999950000000001,-0.9647775,-1.04014,-0.73871,-0.99651,-1.1049324999999999,-1.08576875,-0.7290183333333333,-0.8859016666666667,-0.684946,-0.5721425,-0.20723166666666668,-0.9611857142857143,-0.66732,-0.716235,-0.6765725,-0.4848675,-0.06797000000000002,-0.46438100000000004,-0.13671999999999998,-0.71314,-0.711738,-1.2913,-0.1411,-0.18078666666666668,1.1572,0.6719679999999999,,-0.184314,-0.12529999999999997,-0.8154043333333334,0.162955,,,-1.0058,,,-0.9872799999999999,-0.9330674999999999,-1.0276685714285716,-1.138,-0.68847,-0.6276550000000001,-1.0851,-0.8537250000000001,-0.92116,-1.1644,,,-1.1168,-0.88413,,-0.536871,-0.32754,-1.1433,-0.9511366666666666,-0.93174,-0.69905,-0.4117093333333333
0,250,1,1,,-0.48691,,-0.32065,,,-0.53441,-1.0807,0.011874999999999997,-0.24939,-1.532,-0.7429035,,,-0.92235,,,-0.73234,-0.6346933333333333,,-0.21376449999999997,-1.3895,,,-0.50274,0.17022,-0.7719333333333332,,,,,-0.17814,,-0.34439949999999997,,-1.4211,-0.22300299999999998,-1.4132,-1.627,-0.3444,-1.532,-0.003961,-0.6215,,-0.2177199999999999,,,,-1.5557,-1.4528,,,,,-1.1915,,,-0.38398,,,,,-0.70067,-1.0886,-0.3285599999999999,,
1,144,1,1,,-0.8148599999999999,-0.777535,,-0.43233,,,,,,,,-0.22708,,,,-0.2364099999999999,,1.03244,,0.78987,,1.9188,,0.090134,,,,-0.63759,,-0.9548,,,-0.0031644999999999868,,,-0.1244514999999999,-0.62826,0.3607,1.5363,,,0.55196,0.76188,-1.1041,,-0.8521799999999999,,,,1.86745,-0.20842,,,,,-0.16177,,,,,0.24874,-0.007829000000000003,0.64059,0.38869,,0.49132
2,198,2,1,,,,,,-0.10181,-0.062765,,,,,-0.06493266666666668,0.19751,0.05652666666666667,0.088519,-0.05625649999999999,-0.6288600000000001,0.093398,-0.13217333333333334,-0.18118739999999994,-0.11156374999999999,-0.07577899999999997,-0.053004249999999996,-0.043243333333333335,-0.07252449999999994,-0.12458,-0.40763,,,,,,,,-0.34256,-0.12133,-0.34256,,,,,0.2886,0.2886,0.54887,0.63346,,-0.31653,0.002303,-0.23194,,,0.60093,,,,,,,0.87421,-0.075779,,,0.86771,0.59442,,0.24305499999999997,0.53586
2,770,2,1,-0.30616666666666664,-0.87965,-0.4399766666666666,,,,-0.86818,,-0.67319,-0.2947,,,,-0.53556,-0.5585,-0.04237000000000002,-0.736275,-0.62732,,-0.868175,0.85225,-0.7075999999999999,-0.95993,-0.9140550000000001,-0.87965,,-0.34058,,,-0.87965,,,,,-0.529825,-0.650255,-0.59291,,,-0.7993600000000001,,-0.8280350000000001,,-0.4782125,-0.43233,,-0.47821,,,-0.59291,,,,-0.32911,,,,,0.73756,,,-0.59291,,,,,-0.16471033333333332
1,339,2,1,-1.0403,-0.9339166666666667,-0.65725,-0.97648,,-0.5040100000000001,-0.33801,-0.61894,-0.682785,-0.72109,1.9477,-0.12092,0.7516666666666666,-1.1425,0.09616,0.0025199999999999667,,-0.8296349999999999,,,,,-0.6444733333333333,-0.49124,-0.312465,-0.938195,-1.2191,,-0.8136749999999999,,,-0.96372,,-0.5838225,-0.8487899999999999,-1.168,0.045081,,-1.1936,-0.7338600000000001,,,-0.2997,0.13447,,-0.5933999999999999,-0.2997,-0.2997,,,-0.97648,,,,,,-0.69555,-0.81048,-0.3124699999999999,,-0.6649079999999999,-0.67002,-0.291183,-0.4657,-0.3890835,-0.005997,
0,544,1,1,-1.0109,,-1.1087,,0.043344,-1.1087,-0.64679,,-1.0036166666666668,-1.25,-0.57615,,,,-0.57615,0.12485000000000007,0.77152,0.059650000000000036,0.037910000000000055,-0.41853,,-1.0761,,,-0.42399,,,,-0.5218,,,,,,0.13029,-1.3912499999999999,-0.48556333333333335,-0.40225,-0.50007,,,-1.1739,-1.0217,-0.7754126666666666,,,-1.3369,,-0.53267,,,,,,-0.6848299999999999,-1.1087,,,,,,-1.2826,,-1.0435,-0.19575599999999996,-0.17402,
0,407,1,1,,,-0.6883600000000001,0.047189,,-0.064742,,,-0.1207099999999999,,-1.0321,-0.9442,,-0.65638,,,,-0.3712166666666667,,,,-0.836265,0.64682,-0.72434,,,-0.17667,,,-0.8242700000000001,-0.30459,,-1.0561,,,0.22308,0.22308,,0.327014,0.3110233333333333,,,,,-0.30459,,0.55887,,0.19909,-0.75232,,,-0.35256,-0.15269,-0.1806705,,,,0.347005,,,-0.2886,0.043190000000000006,,,,0.37499
0,116,1,1,-0.6973799999999999,-1.05477,-0.90622,-0.4746,-0.4746,1.1684,0.20303,0.19375,,0.39796,-0.61383,,,,-0.33536,0.47454,,,-0.07853999999999998,,,,,-0.62312,,-0.54886,,,-1.0037,-0.7159399999999999,-0.15899,-0.92944,,-0.4869733333333333,-0.9820516666666667,-1.03157,-0.915535,-1.2636,,,,-0.31911249999999997,-0.14042,-0.799485,,-0.8397066666666667,-0.53957,-0.7368275,,,,,,,,-0.68809,,-1.0594,-0.9046833333333333,,,,-1.0037,,,-0.30132233333333336,1.2427
2,591,2,1,,,,-1.1918,,,-1.01776,-0.94817,-0.008404,-1.157,-0.80893,-1.0294,,-0.6813075,-0.76252,-0.11862,-0.6233,-0.12442500000000001,0.50208,-1.3774,,,-0.602418,-0.26364,,,,,,,,,,-1.447,-0.9056033333333334,,-0.10411350000000001,,-1.4934,,-0.40865999999999997,-1.1686,-0.58271,-0.76252,-1.3774,-0.54499025,-0.54209,-1.2382,,,-1.2498,-0.8669433333333333,,-1.1918,,,,-0.98296,-0.21724,-0.79733,0.31645,,,,,,-0.6813100000000001
3,353,2,1,-0.6159225,-0.7782766666666667,-0.697322,,-0.6459475,-0.5592024999999999,-0.51583,,-0.5959,-0.5792225,0.5651450000000001,,,-1.2098,-1.2498,-0.9651083333333333,-0.27562,-1.109685,-1.5523,-0.8138866666666668,-0.9981571428571429,-0.5225025,-0.8094266666666666,-0.69933,-0.9339733333333333,,-1.0096,,,,-0.20889,-1.2365,,-0.363696,-0.7293566666666668,-0.495815,-0.28451333333333334,-0.13326666666666664,-0.018722499999999986,0.044666,,-1.0763120000000002,,,,,-0.535855,-0.61592,-0.5202766666666666,,-0.5202766666666666,-1.2765,,-1.0273999999999999,-1.3232,,,,,-0.8761399999999999,-0.70267,-1.2231,-1.1431,,-0.75605,-0.52918,-0.722685
2,578,2,1,-0.46223499999999995,-0.99149,-1.0205,,-0.45498,-0.44048499999999996,0.20477999999999996,-0.09248,,,,,0.80653,0.15402,-0.33898,0.80653,0.80653,,-0.35348,0.030774999999999997,,-0.7739900000000001,-0.9576633333333332,-0.9238266666666667,-0.38973250000000004,-0.636235,-1.1075,,,,,,,,,,-0.88999,,,-0.91899,,-0.83199,-0.32448,-0.34623000000000004,-0.8609899999999999,-0.57098,0.34253,,-0.83199,-0.75949,,-0.90449,-0.84649,,,-0.35348,,-0.25198,1.103765,-0.39698,,1.836,-0.0634779999999999,-0.54198,-0.1069799999999999,,
2,566,1,1,,1.024745,,,,0.076253,-1.2466,,,,-0.67255,,,-1.3777,-0.33559,0.31337,-0.6850435,,-0.048547,,-0.7973499999999999,-0.70999,0.2509699999999999,,,,-1.1634,,-0.48535,0.13865,-1.1093,,,-0.6975100000000001,,-0.43543000000000004,-0.52279,-0.4603899999999999,-0.21079,,,,,-0.98455,-1.034465,-1.10935,,-1.028245,,,,,,,-0.99703,,-0.39799,-0.11095,,,,,,,,,-1.0345
2,80,2,2,,,-0.15649,,-0.051,,,,0.069562,0.11728666666666664,-0.54832,-0.54832,-0.31473,,-0.29966,,,,,,-0.16026,0.04946666666666666,-0.17155999999999996,,-0.09620999999999996,,-0.5031100000000001,,,,-0.31473,,,-0.50122225,-0.4830133333333333,-0.5558525,-0.307193,-0.34637519999999994,-0.6211566666666667,-0.3549166666666666,,,-0.77437,-0.740465,-0.3925933333333333,-0.41519666666666666,-0.65381,-0.29212,,,,-0.22431,,,,,,,,,,,,,,,
0,352,1,2,,,,,0.1473,,0.15458,-0.4131899999999999,,,,,-0.304,,-1.0392,,0.93344,0.56946,,,-1.13866,,-1.1557,,,,,,,,0.6349899999999999,-0.063796,0.7733000000000001,,1.3483,1.0838866666666667,0.52581,1.443,,-0.5442100000000001,0.3147175,,,1.2828,0.64227,0.6349899999999999,0.2856005,0.50397,,,,-0.19482,0.2783199999999999,,,,-0.8208200000000001,,,,,,,,,2.3456,0.8970199999999999
3,86,2,1,-0.40122499999999994,-0.050966000000000004,,-0.37905,0.0554389999999999,0.50767,-0.126335,-0.43226,0.36579,-0.20171,0.10864,-0.26378,-0.25048000000000004,-0.277084,,-0.130772,-0.5475300000000001,,-0.053183999999999995,-0.37905,-0.46773,,-0.512065,-0.44112333333333326,-0.26378,,,,,,,,-0.47216,-0.47067999999999993,,-0.29925,-0.20171,0.7116100000000001,,,,-0.6229,,-0.18398,,,0.25938,-0.70714,-0.39679,-0.64507,-0.5475300000000001,-0.39679,-0.5674825,-0.2637825,-0.50763,-0.5120600000000001,-0.27708,,-0.35245,-0.5298,,-0.050968,-0.38792,-0.67167,-0.31698499999999996,,
2,210,2,2,,,,,,,,0.8157749999999999,,,,,,,,0.681545,,0.30126,0.23415,-0.18343000000000007,3.9699,,-0.34747,0.608845,0.029080000000000068,0.09430000000000005,-1.00182,-0.81724,-1.2758,,,,,,-0.91791,-0.88435,,,,,,,-0.666245,-0.666245,-0.68302,-0.8656966666666666,-0.35119999999999996,-0.7025975,,,,-0.95147,,,,,,,1.5987,-0.2244373333333333,,-0.19647599999999998,,,,,
2,244,2,3,,-0.9113580000000001,-0.60209,,,,-1.0853,,-1.1282999999999999,-1.0853,-0.4947,-0.7443675,,-0.161805,-0.46248999999999996,-0.5537650000000001,-0.9349875000000001,-0.34436,,,,-0.63431,,-1.079945,-1.4397,-1.4397,-0.5949266666666667,-1.3967,,-0.65578,,,-1.3108,,,-1.0209,,,,-1.133635,,,,,,-1.2679,-1.2786,,-1.2177666666666667,-0.7882266666666666,-1.139,-0.91351,-1.1175,,-0.92425,,,-0.8276,,,-1.386,-0.70948,,,,,
2,30,1,1,,,-1.3954,,-1.1659,,,-1.0566,-0.958145,0.3427,,-1.3954,,,,,,,,,-0.73953,,,,,,,,-1.2205,-1.1112,-0.76139,,-1.2752,,,,,,,,,,,,,,,,,,,,,,,,,,0.3919250000000001,,,1.1408,,0.43018,,,0.003839
1,843,2,1,,,,,,,,,-0.6916100000000001,,-0.40506,,,,,-0.30954,,,-0.52181,-0.8154300000000001,,-0.5536399999999999,,-0.52888,-0.8508100000000001,-0.46874,,,,,,,,-0.4899699999999999,-0.38914499999999996,-0.5076566666666666,,,-0.90389,-0.8295799999999999,,,-1.1161,,-0.95694,,,,,-0.26709,,,,-0.47935,,,,,-0.38384,,,,,,,-1.2966,-1.21695
0,688,2,1,,1.1159,0.98903,,,,,,,,,,-0.31134,0.20669,-0.06289999999999994,-0.49107,-0.43821,,-0.13162,0.005822,0.37056500000000003,,,0.3688016666666667,0.32299,0.14326,0.77759,0.10097,,0.64015,,,0.6613,,,,,,0.6982999999999999,0.037538,,,,,,,,-0.92453,,,,,,,,0.71416,0.71416,-0.765945,,,,,,,,,
0,215,1,1,-0.1728599999999999,,,,,,,,,,,,,,,,-0.8713799999999999,-0.8857849999999999,,0.6697,,,,1.3178,0.25201999999999997,-0.20166,,,,,,,,-0.36009,,,-0.15125,-0.58333,,-0.63374,,-0.965,-0.9073833333333333,-0.77777,-0.93619,,,-0.92179,,-0.313282,,-1.2675,-1.1666,-1.0441966666666667,-0.59053,,,-0.48971,,,,,,,,0.30963,
3,91,2,1,0.359165,-1.0424523333333333,0.070499,0.1907775,0.29822099999999996,0.4919490000000001,0.3880295,0.42651999999999995,0.20520850000000002,0.8402700000000001,-3.4608,-3.4608,-3.4608,0.34954,0.9974466666666667,,-0.6271,-2.4913749999999997,-0.073834,,,-0.24703,2.3252666666666664,0.50831,-0.016101,0.32067199999999996,0.10899,-0.2181699999999999,,-0.4587199999999999,,,,,,,-0.093078,-3.4608,-1.59412,-0.14119,,,-0.266276,-0.530885,-0.31439,-0.13157,0.2028005,0.41208500000000003,0.14106,0.7632899999999999,-0.8532299999999999,0.04804999999999999,0.4072699999999999,-0.01931000000000001,-0.42023,-0.7546,-0.49239625,-0.4587199999999999,,,-0.2133535,,,-0.3240099999999999,1.0904,0.65745,0.903776
1,142,2,1,-0.506582,-0.6601325,,,0.16197,0.16197,,,,-0.23209,-0.39516,,-0.5038600000000001,-0.300035,1.5412,-0.06223333333333334,0.3624099999999999,0.40996999999999995,,-0.565015,-0.38156833333333334,-0.53104,0.3997699999999999,-0.12677999999999998,-0.44951,-0.373075,,-0.30683,-0.29324,-0.43592,-0.5582199999999999,-0.36798,,-0.22756333333333334,-0.42460000000000003,0.019295,-0.313625,-0.32381499999999996,-0.38836000000000004,,,,,,-0.53784,,,,,-0.3476,,,,-0.44951,-0.8503700000000001,-0.2117099999999999,-0.27286,,,,0.69193,,-0.22529833333333335,-0.19133,,,0.42695
2,808,2,1,,-0.63258,,,-0.9978400000000001,-0.57745,,,,-0.77041,,-0.4258399999999999,,0.028982,,-0.5361100000000001,0.59407,-0.15019,,,,,-0.71528,,,,,,,,,-0.5361100000000001,,-1.011625,,-0.4671899999999999,,-1.0047,-0.8565449999999999,-0.96337,-0.8668899999999999,-1.1103666666666667,-1.05295,-1.018475,-0.980605,,,,-1.0047,,,,,,,,,,,,-1.1425,,,,,,
1,94,1,1,-0.57486,0.5442,0.18553,-0.5676899999999999,1.1109,,0.83114,0.35052,,0.063578,,,0.2501,,-0.015315750000000017,1.2854716666666668,-0.25443333333333334,0.838295,1.47818,0.9148333333333333,2.2812285714285716,0.12816,2.3232,-0.6430100000000001,-0.671705,,,,-0.50313,,-0.80442,,-0.5389949999999999,0.199875,,1.4122,0.71398,,1.1324,0.736085,0.33976499999999993,-0.668118,0.373478,-0.14804749999999994,0.2429199999999999,-0.4977475,-0.050173714285714315,0.3587171428571429,,,-0.11934499999999995,-0.16119000000000003,0.533465,0.69485,-0.4600899999999999,-0.65377,-0.8546299999999999,,-0.48878,,-0.3489,,0.016948999999999992,0.21182999999999996,0.2213900000000001,0.012166833333333349,-0.66095
2,210,2,1,-0.59727,-0.0007393333333332771,-1.0186,-0.47051,-0.08462350000000005,,,,0.014176000000000003,0.14466899999999996,,,,,,,,,1.52601,2.355566666666667,,3.2988,,,,0.454119,0.98355,,0.64799,,0.9499850000000001,0.77103,0.4242899999999999,,,,1.375,1.6546,2.5718,-0.14614,,,-0.6271,,0.27888500000000005,,,,,,,-1.0186,1.8783,0.45785,0.1111099999999999,,-0.3251,,-0.263585,,,-0.31950999999999996,-0.35866,-0.42577,,,0.20059149999999995
0,353,1,1,,,,,,,-1.0738,0.1027,0.488884,0.92557,,-0.74903,-0.74903,-1.0233166666666667,,-1.1580666666666668,,-1.0666,,0.96888,-0.601065,,,-0.092186,,-0.846455,-0.30151,,,-0.30151,,-1.2254,-0.62633,-1.3987,-0.88619,-0.92227,,,,-0.89521,,,-0.6118899999999999,,-0.8428700000000001,-1.5214,,,,,,,,-0.14993,,,-1.138835,,,,,0.2711266666666667,,,-0.092184,0.0723924,-0.15233866666666665
1,137,1,1,,,,,0.5735600000000001,,0.058857,,-0.006500000000000006,-0.4966899999999999,,,-0.30062,0.42651000000000006,,-0.684605,,-0.601262,,,-0.7254499999999999,,,,0.40199,,-0.36598,,-0.8316600000000001,,,0.075197,-0.59473,,,,,,-0.59473,,,,,,,,,,,,,,0.32435500000000006,-0.14539,-0.014672,,-0.83983,,,,-0.5402633333333333,,,0.083367,,0.22225,-0.3904843333333334
0,27,2,1,-0.26277,-0.37417649999999997,-0.07437066666666663,,-0.08342999999999999,-0.90948,-0.41494,-0.26096,,-0.90948,,,,,,,,,,,,,,,,-0.9747,-0.2301595,-0.12147000000000004,-0.42581,,-0.326625,-0.42309375,,-0.95839,-0.4095,-0.347005,-0.9747,-0.6450016666666666,-1.0182,0.21004,-0.8334,-0.5671033333333333,-0.73558,-0.5888399999999999,-1.1323,-0.6635675,-0.80351,-1.0268840000000001,,,-0.93666,-0.8795925,,-0.93122,,-0.99644,-0.41086249999999996,,-0.2682,,0.14482,,,,,0.10678349999999999,-0.15950999999999999
2,230,2,1,-0.8586900000000001,-0.99211,-0.7773399999999999,-0.73829,-0.535725,-0.38033999999999996,-0.627,-0.5625666666666667,-0.5698924999999999,-0.5853466666666667,-0.113505,-0.3217666666666667,-0.8147666666666668,-0.55769,-0.6504300000000001,-0.8652,,-0.6065,,-0.1916,-0.084218,0.13055,,,,,,-0.4259,-0.22089,,-0.9530799999999999,,,-0.47959,-0.75781,-1.001855,-0.8749600000000001,-0.96282,-1.1483,-0.60811,-0.97259,0.56009,,,0.41854,0.306271,0.48524999999999996,0.07441999999999997,-0.045169,,,,,,,-0.42915333333333333,0.23794,,,,-0.6845950000000001,0.008525000000000005,-0.08909949999999994,-0.5137566666666666,,,
3,28,2,1,,0.17418,,,0.24363,,0.24363,,,,-0.008925000000000002,-2.5661,-0.14152199999999995,-0.2457,-0.23833333333333337,-0.3688199999999999,,,-0.280426,-0.51405,-0.22991666666666666,-0.46985,,0.051057,-0.1131055,-0.2720066666666667,,,-0.452168,,-0.4887899999999999,-0.413025,,-0.3456733333333333,-0.33093999999999996,-0.20465999999999998,-0.305685,,-0.13205099999999995,-0.13099666666666668,0.1363,,,-0.091008,-1.10125,,-0.8465833333333334,-0.059438,,,,,,,,,,-0.2741099999999999,,-0.40039,0.0100159999999999,,-0.19203,,-0.1162599999999999,-0.296215,
2,711,2,1,,-0.6160800000000001,-0.84215,,,,,0.235,0.2217,,,,,,1.1436966666666666,,1.751,1.6712,1.4096666666666666,1.751,0.56745,,0.30149,,,,,,,-0.7490600000000001,,-0.95518,-0.77566,,,,,,,,,,,,,,,,-0.76236,-0.94853,,,,,,,,,,,-0.6559699999999999,,-0.17724,,,,
2,603,2,1,-0.61444,-1.019285,-0.742645,-0.4659899999999999,-0.31754,-0.34453,,,,,,,,-1.0868,,-1.1003,,,-1.1273,-1.3297,,,,-1.1273,,-1.2352,,,-0.85736,,-0.78988,,-0.978835,-0.99231,,,-1.2352,-1.1408,-0.7763800000000001,-1.1273,-1.032805,-1.215,-1.242,-1.2487,-1.1408,-1.1947,,-1.12725,,,,-0.95183,-1.0868,,,,,-1.1408,,,,-0.5941835,-1.2757,-1.4647,-1.2397033333333334,,
2,516,2,1,-0.59496,-0.44378,,,,,-0.055036,,,,,0.42548500000000006,,,,,,,-0.7202200000000001,-0.978305,-0.6651450000000001,-0.5733600000000001,,-0.50497,-0.37899,,-0.325,-0.492375,-0.53017,,,,-0.271,,,0.31751000000000007,0.6360600000000001,,0.22572000000000003,-0.23861,,-0.49057333333333336,-0.6741466666666667,-0.8181266666666667,-0.6669466666666667,-0.91892,-0.6057575,-0.78933,,-0.71914,-1.0269,,-0.88112,,,,,,,,,-0.41138,,,-0.41138,-0.8109299999999999,-1.0269
2,199,2,1,-0.562695,-0.41425499999999993,-0.62207,,,0.616355,0.06499999999999999,0.17527,0.17527000000000004,0.20920449999999996,,,2.6492999999999998,2.869866666666667,2.8896,,,,1.24574,1.7106,-1.1692,,,,,,,,1.35006,0.5485,0.87931,,,0.43822649999999996,0.36188,,0.8114499999999999,0.8199299999999999,0.81145,1.0631066666666666,,,,,,,,,,1.0659,,,,0.37037,0.3682475,,0.73087,0.4704558,-0.2912599999999999,0.056519,0.9188966666666666,0.7478316666666666,0.93443,,-0.4948399999999999,,-0.087681
1,826,1,1,0.7987949999999999,0.20803,0.21756,,,,,0.3986,,1.22759,,0.084163,1.60873,0.846441,0.5129395,1.48008,,1.5039,,-0.33509,-0.19216,0.022229999999999958,0.5987,-0.43513499999999994,-0.239805,0.32237,-0.45896,,,0.48436,0.8273799999999999,0.47482499999999994,,,0.37001,,,-0.039706,0.8273799999999999,,2.6664,1.5134,1.4276499999999999,3.2857,,1.146595,,1.7421099999999998,-0.24933,,,,,0.37954266666666664,,,,,-0.5510633333333333,,0.25567,,,-0.0015933333333333355,,,0.16039
0,99,2,1,,0.11444000000000004,-0.50176,,,-0.84088,-0.27016999999999997,,,,-0.41905,,-1.043525,-0.65064,-1.0725,-0.81882,-0.907025,0.34603,-0.5327875,-1.0146,0.027593,-0.5872266666666667,0.16821000000000008,-0.6940625,,,-0.49349,-0.9690799999999999,-0.46453999999999995,-0.4728125,-0.9042766666666666,-0.79952,-0.5844699999999999,0.7885400000000001,,,-0.44386,-0.08819499999999991,-0.3652774999999999,-0.44662833333333335,-0.055119999999999995,,,0.1103,,,-0.609285,-0.12956333333333334,0.12685,-0.5706866666666667,-0.253626,,-0.6961299999999999,,-0.12128666666666661,-0.29084775,0.288135,,-1.0973,,-0.7112966666666667,-0.98149,-0.43559,-0.51417,-0.70854,-0.3073875,-0.21227
0,158,2,1,-0.8179850000000001,-0.5462100000000001,-0.35855,-0.97007,-0.56562,,,-0.8374,-0.85034,-0.92152,-0.775925,,-1.20625,-1.2386,,-0.86652,-0.9765199999999999,,,-1.11565,-1.1933,-1.025055,,-1.11565,,-1.1480000000000001,,-1.03799,-1.0725200000000001,-0.8082850000000001,-1.2257,-0.8697600000000001,,,-1.13185,,,,,,,-0.89564,-0.7377462,-0.9305899999999999,-0.8917619999999999,-0.89887,-0.94904,-0.90211,-0.836106,-0.8913566666666667,,-1.0445,-0.7015100000000001,-0.7748466666666666,-0.97329,-0.6562100000000001,,,,,-0.5785600000000001,-0.44267,-0.75651,-0.80505,-0.07382000000000001,,-0.028526
