fov,cellID,rep,dbscan_ldp_nbr_allele,chr5-g519,chr5-g520,chr5-g521,chr5-g522,chr5-g523,chr5-g524,chr5-g525,chr5-g526,chr5-g527,chr5-g528,chr5-g529,chr5-g530,chr5-g531,chr5-g532,chr5-g533,chr5-g534,chr5-g535,chr5-g536,chr5-g537,chr5-g538,chr5-g539,chr5-g540,chr5-g541,chr5-g542,chr5-g543,chr5-g544,chr5-g545,chr5-g546,chr5-g547,chr5-g548,chr5-g549,chr5-g550,chr5-g551,chr5-g552,chr5-g553,chr5-g554,chr5-g555,chr5-g556,chr5-g557,chr5-g558,chr5-g559,chr5-g560,chr5-g561,chr5-g562,chr5-g563,chr5-g564,chr5-g565,chr5-g566,chr5-g567,chr5-g568,chr5-g569,chr5-g570,chr5-g571,chr5-g572,chr5-g573,chr5-g574
1,81,1,1,,,-0.522915,,5.0279,,,4.2894,,-0.093977,-0.13127650000000002,-0.31777,-0.47293333333333326,-0.6406280000000001,,-0.3495966666666666,,-0.30642800000000003,-0.028332,,,,0.21933,1.3362833333333333,4.9518,,,,,,2.6751,3.13905,2.2215,0.18054,,-0.114862,-0.48188,,,0.079088,,1.5000000000001124e-05,,,-0.0343,-0.4520399999999999,-0.54156,-0.2998699999999999,-0.42369500000000004,-0.47293,,-0.1268,-0.78922,-0.5385800000000001,,-0.64898
1,718,1,1,,,-0.088544,0.17307,0.3741899999999999,,,-0.03295,,,,,,,,,,,,0.6570600000000001,,,,3.156566666666667,,2.5091,2.1581,,,3.361523333333333,,,1.0462,,,,,,,,,,0.70612,,,,,,,,,,,,,
1,36,1,2,,,,,,-0.5945,,-0.31349,,,,,-0.2878299999999999,,-0.5065299999999999,,,-0.47964999999999997,-0.5961266666666667,-0.5529599999999999,,,-0.72645,,,,2.7996,,2.9104000000000005,2.5015,2.6298,3.1344,1.7269,,-0.16687,,,0.29496,,,,,,,-0.69713,,,,,0.009064,,,,,,
1,233,1,1,0.20838,0.41585,0.11649,0.20837699999999998,,1.4355,0.88712,1.042745,0.60258,0.35361,,1.4621,0.95233,,,,,,,,0.51959,,0.79524,,0.70039,3.036983333333333,4.8025,0.7374200000000001,2.1349,,3.2909,,0.35065,,,,,-0.6600600000000001,,,,,,,,0.24986999999999998,,0.48106,,,,,,,,0.21134
1,84,1,2,7.1097,,,6.1357,2.0248,,,,,,,,,1.3362600000000002,0.69096,,,,,,-0.30633,,,-0.21336,,,4.242900000000001,,2.7929,1.3916,2.8173,,,0.21389999999999998,,0.30245000000000005,0.13642,0.52161,,,,,0.10542,0.38436,,,,0.30909,0.14306,0.5293599999999999,,,-0.25763,,0.1939799999999999,0.42421
0,158,2,1,0.26222,-0.2386199999999999,0.26938850000000003,0.060448,,0.91465,1.092845,,,0.6893199999999999,1.143035,0.25197499999999995,0.0225525,0.5090600000000001,0.5869,-0.10752,1.394,0.9078333333333334,1.2956666666666665,3.4609,,3.6012000000000004,,,2.0856666666666666,3.8726,,3.9218,,1.902,1.7504,1.959365,-0.11503533333333334,0.14034,0.39844,-0.21814,,,0.53159,0.29397,0.42917,0.8306600000000001,0.36771,,-0.078844,-0.17922,-0.01636599999999995,-0.0965983333333333,0.017431,,,,0.1219,,,
1,94,1,1,0.4401199999999999,,0.14075699999999997,0.5953366666666667,0.55592,,0.2836605,0.52881,0.76042,0.88361,0.19742549999999998,,0.38345,0.1506145,,0.06561099999999997,0.5731725,-0.023089,0.22452999999999995,-0.03910400000000005,-0.10932,5.92835,0.4795399999999999,4.7765,2.9581999999999997,4.342147,6.9803999999999995,5.6167,0.42903,0.42656499999999997,-0.0699019999999999,0.8063983333333334,0.181411,0.16909300000000005,0.12802333333333335,-0.015697,,,-0.21527,0.09764,,,,0.0385075,,0.045899,,,-0.060047,-0.0354079999999999,0.38673,0.41301,,,,-0.057583
0,352,1,1,,,0.78157,,-0.011683,,0.0604309999999999,,-0.11453499999999989,-0.09561749999999994,,,,,,,,,-0.29186,0.33707,,,,,,3.7583,4.3755,,,2.4721,1.602,1.2876,,,,,,,,,,,,-0.26113,,,,,,,,,,,-0.31787,
0,352,1,2,,,,,,,0.42218,0.48286999999999997,-0.1192599999999999,0.27914,,,,,,,,,,,0.93999,1.5677525,1.0227,2.0725,,,,,4.1319,1.5673366666666666,3.5645,3.3209,3.2311,,,-0.016412000000000048,,-0.12163,-0.449095,,-0.274132,-0.20911,-0.42663,-0.48811000000000004,-0.51648,-0.507025,-0.31433,-0.498745,,,,,0.30396,-0.038874,,
3,28,2,1,,,0.48382999999999987,0.6311275,,,,,,,0.24789,-0.433875,0.182705,0.5816,,,,-0.0545419999999999,0.49295500000000003,,,,,,6.243,2.03505,5.7959,5.3996,-0.19141500000000003,,,-0.8066949999999999,-0.71154,-0.096256,,-0.2187933333333333,-0.15622,,,-0.367395,,,-0.010221,,,,,-0.4299699999999999,-0.42605499999999996,,,-0.69329,,,,-0.36218
2,199,2,1,-0.20848,0.28321999999999997,0.5608633333333333,,,2.7893749999999997,5.157045,3.1564484999999998,0.0368029999999999,,0.1185599999999999,0.09641849999999995,0.1901,,,,0.26846,0.26221133333333335,-0.063694,,,,,1.3373249999999999,2.2634974999999997,2.68278,5.898,,,1.5147333333333333,,,1.3382,-0.070507,-0.15908,,0.19123900000000002,,0.27016,0.1262285,0.17307,0.2395,,0.19692,0.27186,,0.21736,0.21224666666666667,-0.12558233333333332,,0.46775,,0.37577,,0.3612885,
2,636,2,1,0.70453,0.65561,,,0.54614,0.45763,,,,0.45763,0.26198,,0.12455866666666666,,0.11990149999999995,0.49956,0.2794505,,,,0.875725,0.79769,0.42968,,,4.8377,1.8994,,,,,,,4.4161,,,,,,,,,,3.5322,3.8722,3.0943,3.78835,,,,,,,,,
0,37,1,1,,0.8628899999999999,,3.9051,4.2812,4.1549,,,,,,,,1.5926,1.1267,1.01725,,0.8236,1.4747,,-0.095987,1.7722,,0.84044,1.4830999999999999,5.3519000000000005,1.4579,,4.171733333333333,,2.6198,3.0463,1.7217,,-0.012728,,,,,,,,-0.13341,-0.004308,-0.09551699999999999,0.13602,,,,,0.62715,,0.57663,,,
1,189,2,1,0.21556,,2.0509333333333335,1.7712999999999999,0.9726133333333333,4.4978,,1.137,0.4846125,0.70718,0.7925999999999999,1.8317,0.7066566666666668,1.8543,1.9196,-0.40071,0.25693000000000005,0.9118916666666667,0.57768,-0.30078,0.9581,0.49227,,,,,3.0197,,,3.8804,,3.1292999999999997,2.627575,4.4333,,1.3358166666666669,0.300455,,2.7795,0.96978025,0.14490750000000002,0.2118,0.57608,,,0.4455199999999999,0.09735733333333334,0.30045,,,-0.048249999999999994,-0.29111,-0.30239,-0.37733999999999995,,
0,5,2,1,,0.71736,1.1157633333333334,,,1.2563275,1.4415333333333333,0.54306,3.9232,,1.45919,,1.5142,0.8425633333333332,0.19446500000000003,0.5629915999999999,0.49326499999999995,-0.0016199999999999479,0.04423860000000003,0.1342915,0.43101500000000004,0.33556699999999995,,0.23804,,,,,3.4563166666666665,,,-0.27655,-0.370965,,-0.5981766666666667,-0.23712733333333333,,0.099018,0.23129500000000003,0.06650966666666668,-0.17695349999999999,0.945605,-0.270327,,0.08864449999999993,-0.26203,-0.15081000000000003,-0.31390250000000003,-0.8430200000000001,0.12080649999999996,,-0.0970685,0.755755,-0.38445,0.0191305,-0.14376
1,98,1,1,0.48499,0.8687239999999999,0.4294745,0.507615,,0.56725,,,0.65259,1.0258,,0.5713600000000001,,0.6412800000000001,0.6412800000000001,0.56314,,,0.2485099999999999,,,0.83252,0.483965,1.908,3.1994,5.5026,0.635105,1.9348,4.9268,,5.2312,,,,2.5928,,,,,,,,,,,,0.15802,-0.18128,0.19504,0.1977806666666667,,,,0.0079069999999999,,-0.17922
2,648,2,1,0.19368,,0.1665599999999999,-0.12559699999999996,0.46242,0.023565000000000003,,,-0.024924666666666664,-0.01835049999999995,-0.03437399999999995,0.10985,-0.02246166666666666,0.014934,-0.1958599999999999,-0.04547,-0.025747,,,,,,3.1917,3.3396,3.1530666666666662,1.7371,4.3184,,,,5.6942,0.55611,0.15916549999999996,0.39092,,,0.075338,,-0.16874,-0.15395,-0.0935485,,,0.0852,,0.6021286666666666,0.9135850000000001,,0.67938,,-0.31174,3.31,-0.2575,1.9047,0.18628,
1,826,1,1,,1.2245,1.5911,1.4868,,,,3.5356,,0.020347,0.415725,0.155135,,,,,,0.092234,,,,,,-0.01919,3.7369,3.2714,4.2725,4.2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,544,1,1,0.8075749999999999,0.64822,0.6826133333333332,0.6011799999999999,2.0262,1.2765133333333332,0.42363,0.26123,0.715,0.80909,0.944923,1.2583,,1.1612,1.4161,0.89105,0.98819,1.06101,,,,,0.64822,0.0502769999999999,0.411473,4.1964,,,,4.1964,,,0.54503,,,,,,,,-0.25021,-0.1166599999999999,0.19901,,,,,,,,,,,,,
0,190,1,1,0.34691,0.16179799999999997,,0.7175450000000001,0.5181600000000001,0.2221450000000001,1.4469666666666665,1.2888,,0.1071599999999999,,-0.099559,,,,,,,,,,,-0.116685,-0.0885505,-0.0004799999999999,3.5952600000000006,3.4281500000000005,4.98165,5.6043,,,,,0.1071599999999999,0.1071599999999999,,,,,,0.06802,,0.021539999999999997,,0.29798,0.29798,,,-0.005372,-0.10445099999999995,-0.28916,0.30532,-0.24023,0.03254549999999995,,
0,688,2,1,,,,,,,,,,,,,,,,,,,,,,,,3.57125,3.3817,4.3447499999999994,,,5.3116,,5.3308,2.0779,3.0409,,,2.5202,,,-0.31723,,-0.38998,,-0.43593,-0.41678499999999996,-0.43593,-0.18704,-0.3082933333333333,0.008249,-0.407215,-0.35552,,,,,,-0.31723
1,84,1,1,0.36001,,1.075,3.86,,,,,,,,,,-0.5011399999999999,0.2736699999999999,-0.05839499999999995,,0.20947,,,,,,,,4.927525,4.6558,6.1102,5.591150000000001,4.15,,5.859,3.6895,,,,,0.4131399999999999,0.76955,,,,,,,,,0.054509,,,,0.29138,,0.1497,0.20726,
0,646,2,1,1.014205,0.21288,,0.9083549999999999,5.03535,,,,0.6295,,,,,,,,,,,,0.44806999999999997,,2.3268834,0.4010349999999999,,,6.8385,,5.0107,5.1233,5.8977,,,0.58582,0.61606,,,0.377515,,,0.88149,0.65974,,,,,-0.047503500000000004,,,,,,,,0.47831,
3,718,2,1,-0.23359000000000002,,,0.16662500000000005,,,1.1898,-0.006085,,0.032031,-0.36819,-0.26099,,,,,,,,3.1623,,-0.0739815,,,1.2375,,6.07585,5.5779499999999995,,,,4.675,2.8121,,,-0.30506,0.08444333333333333,0.322665,0.57757,0.2369099999999999,-0.286,,-0.140683,,-0.089464,-0.05730399999999995,,,-0.29910299999999995,,,-0.3705699999999999,,-0.33007,,-0.24193
0,886,1,1,,0.5343100000000001,,1.9867,,,0.81908,0.96147,,0.6292326666666667,,,,,,,,,,,,,,,,,6.7852,,,7.7961,,,8.4796,6.6712,,,,,,,,,,,,,,,,,,,,,,
