sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0010830";"regulation of myotube differentiation";"19/2535";"63/23328";2.47485873476462e-05;0.00272280291541419;0.00239332830081234;"Actn3/Daxx/Dmpk/Ehd1/Flot1/Flt3l/Gdf15/Hdac5/Mamstr/Mmp14/Myod1/Naca/Nkx2-5/Notch1/Sik1/Thra/Tmem119/Tnfsf14/Trim72";19
"SF3A66";"SF3A66";"GO:0022618";"ribonucleoprotein complex assembly";"37/2535";"172/23328";3.62057949552269e-05;0.00376013819112302;0.0033051401174995;"Bop1/Ddx39b/Denr/Eif3d/Eif4b/Eral1/Gemin4/Gemin7/Hsp90ab1/Khdc4/Lsm2/Lsm4/Luc7l/Mrpl11/Mrps7/Mrto4/Pih1d1/Prmt5/Prpf31/Prpf8/Ptges3/Puf60/Rbm5/Rpl13a/Rpl23a/Rpl3l/Rps15/Rps19/Rps2/Rps28/Ruvbl2/Setx/Sf3a2/Snrpc/Snrpd2/Traf7/Usp4";37
"SF3A66";"SF3A66";"GO:0071826";"ribonucleoprotein complex subunit organization";"38/2535";"179/23328";3.89035333698082e-05;0.00391738799576323;0.0034433618028121;"Bop1/Ddx39b/Denr/Dhx8/Eif3d/Eif4b/Eral1/Gemin4/Gemin7/Hsp90ab1/Khdc4/Lsm2/Lsm4/Luc7l/Mrpl11/Mrps7/Mrto4/Pih1d1/Prmt5/Prpf31/Prpf8/Ptges3/Puf60/Rbm5/Rpl13a/Rpl23a/Rpl3l/Rps15/Rps19/Rps2/Rps28/Ruvbl2/Setx/Sf3a2/Snrpc/Snrpd2/Traf7/Usp4";38
"SF3A66";"SF3A66";"GO:0045618";"positive regulation of keratinocyte differentiation";"8/2535";"15/23328";6.11594705840657e-05;0.00567731898031148;0.00499033114420313;"Alox8/Cyp27b1/Etv4/Med1/Ncoa3/Notch1/Numa1/Vdr";8
"SF3A66";"SF3A66";"GO:0017158";"regulation of calcium ion-dependent exocytosis";"15/2535";"46/23328";6.40336236462656e-05;0.00576399633458278;0.0050665200463975;"Baiap3/Cacna1a/Cacna1h/Cbarp/Doc2a/Gnai2/Hyal3/Notch1/Pou5f1/Syt11/Syt12/Syt3/Syt5/Vamp2/Zp3";15
"SF3A66";"SF3A66";"GO:0050879";"multicellular organismal movement";"17/2535";"57/23328";7.63411411578935e-05;0.00657308289302964;0.0057777025367553;"Actn3/Atp2a1/Cacna1a/Ccdc78/Chrnb1/Chrne/Comp/Dmpk/Gaa/Jsrp1/Myh14/Myh7/Stac2/Stac3/Tcap/Tnni3/Tnnt1";17
"SF3A66";"SF3A66";"GO:0050881";"musculoskeletal movement";"17/2535";"57/23328";7.63411411578935e-05;0.00657308289302964;0.0057777025367553;"Actn3/Atp2a1/Cacna1a/Ccdc78/Chrnb1/Chrne/Comp/Dmpk/Gaa/Jsrp1/Myh14/Myh7/Stac2/Stac3/Tcap/Tnni3/Tnnt1";17
"SF3A66";"SF3A66";"GO:0072348";"sulfur compound transport";"14/2535";"42/23328";8.52132672569281e-05;0.00723217172533443;0.00635703787761835;"Lrrc8a/Nfe2l1/Racgap1/Slc25a10/Slc25a11/Slc25a19/Slc26a10/Slc26a11/Slc26a6/Slc27a1/Slc35b2/Slc44a4/Slc5a6/Slc7a9";14
"SF3A66";"SF3A66";"GO:0016570";"histone modification";"75/2535";"448/23328";9.65005395182569e-05;0.00807478458137978;0.00709768979318121;"Atxn7l3/Aurkb/Baz1b/Baz2a/Brca1/Brd4/Brms1/Cbx8/Cdk2/Daxx/Dmrtc2/Dot1l/Ehmt2/Eya2/Ezh1/Fbl/Hdac10/Hdac5/Hdac7/Hipk4/Hnf1a/Kansl2/Kat5/Kat8/Kdm2a/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Kmt5c/Mapk3/Mbd3/Mcrs1/Men1/Mier2/Mir208b/Mrgbp/Msl1/Myod1/Padi1/Padi2/Padi3/Paf1/Pagr1a/Pax7/Per1/Phf1/Pih1d1/Pink1/Ppp1r1b/Prkd2/Prmt1/Prmt5/Rbm14/Ring1/Rnf40/Rps6ka4/Ruvbl2/Setd1a/Sgf29/Sirt2/Sirt7/Sphk2/Supt6/Taf6/Tcf3/Tgfb1/Trmt112/Trp53/Uhrf1/Vegfa/Wbp2/Zfp335/Zfp541/Znhit1";75
"SF3A66";"SF3A66";"GO:0001906";"cell killing";"40/2535";"200/23328";0.000100237929759742;0.00827102139864756;0.00727018084119997;"Ager/Arrb2/Azgp1/Bad/Cebpg/Coro1a/Elane/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Hsp90ab1/Il23a/Itgam/Nectin2/P2rx7/Pglyrp1/Rps19/Stat5a/Stat5b/Tap1/Tap2/Tusc2/Tyrobp/Unc13d";40
"SF3A66";"SF3A66";"GO:0032543";"mitochondrial translation";"20/2535";"76/23328";0.000130035354945625;0.0104397303207021;0.00917646366835342;"Aars2/Coa3/Gatc/Mpv17l2/Mrpl2/Mrpl52/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Ndufa7/Rpusd3/Sars2/Shmt2/Trub2/Tsfm/Tufm/Uqcc2";20
"SF3A66";"SF3A66";"GO:0043254";"regulation of protein-containing complex assembly";"73/2535";"438/23328";0.000136660398930148;0.0108253257339201;0.00951539984691176;"Ajuba/Alox15/Ankrd27/Apoe/Arhgef2/Arl2/Atat1/Avil/Baiap2/Bak1/Bax/Bbc3/Camsap1/Capn1/Capzb/Ccl24/Cdc42ep1/Cdc42ep2/Cdc42ep5/Cfl1/Cldn7/Clip3/Coro1a/Csf3/Eml2/Gmfg/Grb2/H3f3b/Hip1r/Hsf1/Kank3/Lcat/Mapk15/Mapre3/Med25/Mlst8/Napa/Nphs1/Nr1h2/Numa1/Pfn1/Pih1d1/Pik3r2/Pink1/Plekhg2/Ppp2r5b/Preb/Prkcz/Prrt2/Psmc4/Pycard/Rab3a/Rasip1/Rhoa/Rpl13a/Sirt2/Sost/Ssh1/Ssh2/Ssh3/Stub1/Stx1b/Tgfb1/Thra/Ticam1/Tnf/Traf2/Trp53/Ttbk1/Tubb4a/Vasp/Vegfa/Wnt10b";73
"SF3A66";"SF3A66";"GO:0016569";"covalent chromatin modification";"76/2535";"462/23328";0.000153981424638403;0.0120368900496941;0.010580358000431;"Atxn7l3/Aurkb/Baz1b/Baz2a/Brca1/Brd4/Brms1/Cbx8/Cdk2/Daxx/Dmrtc2/Dot1l/Ehmt2/Eya2/Ezh1/Fbl/Hdac10/Hdac5/Hdac7/Hipk4/Hnf1a/Kansl2/Kat5/Kat8/Kdm2a/Kdm4b/Kdm6b/Kmt2b/Kmt2d/Kmt5c/Mapk3/Mbd3/Mcrs1/Men1/Mier2/Mir208b/Mrgbp/Msl1/Myod1/Padi1/Padi2/Padi3/Paf1/Pagr1a/Pax7/Per1/Phf1/Pih1d1/Pink1/Pou5f1/Ppp1r1b/Prkd2/Prmt1/Prmt5/Rbm14/Ring1/Rnf40/Rps6ka4/Ruvbl2/Setd1a/Sgf29/Sirt2/Sirt7/Sphk2/Supt6/Taf6/Tcf3/Tgfb1/Trmt112/Trp53/Uhrf1/Vegfa/Wbp2/Zfp335/Zfp541/Znhit1";76
"SF3A66";"SF3A66";"GO:0046486";"glycerolipid metabolic process";"62/2535";"360/23328";0.000168925728475573;0.0130336071801737;0.0114564666981178;"Abhd16a/Abhd16b/Abhd4/Abhd8/Agpat1/Agpat2/Ajuba/Alox15/Apobr/Apoc1/Apoc2/Apoe/Apof/Avil/Cdipt/Chkb/Cln3/Ctdnep1/Dgat1/Dgka/Dpm2/Fgf21/G6pc/Gdpd3/Gpaa1/Gpd1/Gpx1/Inpp5e/Inpp5f/Inppl1/Ip6k2/Ip6k3/Itpkc/Lcat/Lipe/Lmf1/Mboat7/Nr1h2/Pdgfa/Pdxp/Pgap3/Pgp/Pigq/Pigs/Pik3r2/Pip4k2c/Pip5k1c/Pip5kl1/Pla2g2d/Pla2g5/Plcb3/Plch2/Pld2/Plin5/Plscr3/Pnpla7/Sik1/Slc27a1/Socs7/Tnxb/Vac14/Zp3";62
"SF3A66";"SF3A66";"GO:0097107";"postsynaptic density assembly";"9/2535";"21/23328";0.000180511884969853;0.0137489885718704;0.0120852828790208;"Lrfn1/Lrfn4/Lrrc4b/Nlgn2/Nptx1/Nrxn2/Ptprs/Shank1/Shank3";9
"SF3A66";"SF3A66";"GO:0035825";"homologous recombination";"15/2535";"50/23328";0.000185038311559537;0.0137758055678381;0.0121088548661921;"Cenpx/Chtf18/Cntd1/Dmc1/Eme2/Fancd2/Gm960/Hdac10/Meiob/Msh5/Mus81/Psmc3ip/Syce3/Tex19.1/Top2a";15
"SF3A66";"SF3A66";"GO:0060078";"regulation of postsynaptic membrane potential";"26/2535";"114/23328";0.000185501505710663;0.0137758055678381;0.0121088548661921;"Baiap2/Cacnb3/Dlg4/Dmpk/Eif4a3/Grik5/Grin1/Grk2/Mapk8ip2/Mpp2/Nlgn2/Npas4/Ntsr1/P2rx4/Prkcz/Sez6/Sh3gl1/Shank1/Shank3/Slc17a7/Slc29a1/Slc8a2/Ssh1/Stx1b/Tbc1d24/Zmynd8";26
"SF3A66";"SF3A66";"GO:0090199";"regulation of release of cytochrome c from mitochondria";"14/2535";"45/23328";0.000196576095267489;0.0143054514045594;0.0125744105489983;"Arrb2/Bad/Bak1/Bax/Bbc3/Bcl2l2/Gpx1/Mmp9/Pdcd5/Pink1/Plscr3/Pycard/Triap1/Trp53";14
"SF3A66";"SF3A66";"GO:0042098";"T cell proliferation";"41/2535";"213/23328";0.000197449421843775;0.0143054514045594;0.0125744105489983;"Ager/Aif1/Bax/Btnl2/Ccdc88b/Ccr7/Coro1a/Crip3/Dhps/Ebi3/Erbb2/Foxj1/H2-Aa/H2-Ab1/H2-T23/Il23a/Il27/Il27ra/Itgad/Itgal/Itgam/Lgals7/Lmbr1l/P2rx7/Pla2g2d/Pla2g2f/Psmb10/Pycard/Rasal3/Scrib/Slc4a1/Spn/Stat5a/Stat5b/Tarm1/Tgfb1/Tnfsf9/Trp53/Zbtb32/Znhit1/Zp3";41
"SF3A66";"SF3A66";"GO:0097106";"postsynaptic density organization";"12/2535";"35/23328";0.000200340676299876;0.0143400476855128;0.0126048204834963;"Cfl1/Lrfn1/Lrfn4/Lrrc4b/Nlgn2/Nptx1/Nrxn2/Ptprs/Shank1/Shank3/Syngap1/Zmynd8";12
"SF3A66";"SF3A66";"GO:0022613";"ribonucleoprotein complex biogenesis";"68/2535";"409/23328";0.000244119583691501;0.0170625229024848;0.0149978607392388;"Bop1/Ddx17/Ddx39b/Ddx49/Denr/Eif3d/Eif4b/Eral1/Ercc2/Exosc4/Exosc5/Fbl/Gemin4/Gemin7/Hsp90ab1/Khdc4/Lsm2/Lsm4/Luc7l/Mpv17l2/Mrm3/Mrpl10/Mrpl11/Mrps2/Mrps7/Mrto4/Ngdn/Nsun5/Pa2g4/Pih1d1/Pop5/Prmt5/Prpf31/Prpf8/Ptges3/Puf60/Rbm5/Rexo4/Rpl13a/Rpl23a/Rpl27/Rpl3l/Rpl7a/Rpl7l1/Rps15/Rps16/Rps19/Rps2/Rps28/Rpusd1/Rpusd3/Rrp1b/Rrp36/Ruvbl2/Sart1/Setx/Sf3a2/Sirt7/Snrpc/Snrpd2/Surf6/Tbl3/Traf7/Trmt112/Tsr3/Usp4/Wdr18/Wdr46";68
"SF3A66";"SF3A66";"GO:0030098";"lymphocyte differentiation";"68/2535";"409/23328";0.000244119583691501;0.0170625229024848;0.0149978607392388;"Ap3d1/Axl/Bad/Bak1/Bax/Btnl1/Btnl6/Ccr7/Cd19/Cd79a/Cebpg/Clcf1/Clptm1/Erbb2/Fancd2/Flt3l/Foxj1/Foxn1/Fut7/Fzd9/Gps2/H2-Aa/H2-Ab1/H2-DMa/H2-Oa/Hdac5/Hdac7/Ikzf3/Il23a/Il27/Jmjd6/Kdelr1/Lgals1/Lmbr1l/Lyl1/Mfng/Mink1/Mir150/Mmp14/Nfkbid/Nrarp/Pglyrp1/Pglyrp2/Pla2g2d/Pou2f2/Prkcz/Psmb11/Rara/Relb/Rhoa/Rnf41/Sart1/Spn/Srf/Stat3/Stat5a/Stat5b/Stat6/Stk11/Syvn1/Tbx21/Tcf3/Tgfb1/Tnfsf9/Trp53/Tusc2/Wnt1/Zbtb7a";68
"SF3A66";"SF3A66";"GO:0017156";"calcium-ion regulated exocytosis";"18/2535";"68/23328";0.000256208370052186;0.0176992317032563;0.0155575241594724;"Baiap3/Cacna1a/Cacna1h/Cbarp/Doc2a/Gnai2/Hyal3/Notch1/Pou5f1/Rab3a/Stx1b/Syt11/Syt12/Syt3/Syt5/Unc13d/Vamp2/Zp3";18
"SF3A66";"SF3A66";"GO:0010923";"negative regulation of phosphatase activity";"20/2535";"80/23328";0.000275576298668498;0.0186034357037768;0.0163523143412746;"Ccdc8/Cd2bp2/Csrnp2/Elfn1/Elfn2/Gnai2/Hpn/Lmtk3/Pcif1/Ppp1r15a/Ppp1r1b/Ppp1r26/Ppp1r27/Ppp1r35/Ppp1r37/Rrp1b/Styxl1/Tnf/Tsks/Wdr81";20
"SF3A66";"SF3A66";"GO:0016311";"dephosphorylation";"63/2535";"374/23328";0.000281822793021363;0.0186034357037768;0.0163523143412746;"2810408A11Rik/Acp4/Ccdc8/Cd2bp2/Cdk5rap3/Csrnp2/Ctdnep1/Dusp1/Dusp3/Elfn1/Elfn2/Eya2/G6pc/Gnai2/Hpn/Hsp90ab1/Inpp5e/Inpp5f/Inppl1/Lmtk3/Nsmf/Nt5c/Pcif1/Pdxp/Pgp/Phpt1/Pink1/Pirb/Plpp2/Plppr3/Pnkp/Ppm1g/Ppm1n/Ppp1r15a/Ppp1r16a/Ppp1r1b/Ppp1r26/Ppp1r27/Ppp1r35/Ppp1r37/Ppp2r5b/Ppp2r5d/Ppp4c/Ppp6r1/Ptbp1/Ptpn23/Ptprh/Ptprs/Rrp1b/Ssh1/Ssh2/Ssh3/Stk11/Styxl1/Sympk/Tgfb1/Thtpa/Timm50/Tnf/Tns2/Tsks/Vrk3/Wdr81";63
"SF3A66";"SF3A66";"GO:0008637";"apoptotic mitochondrial changes";"25/2535";"111/23328";0.000300138857523179;0.019594779698299;0.0172237000829669;"Arrb2/Atp2a1/Bad/Bak1/Bax/Bbc3/Bcl2l2/Eya2/Fis1/Gpx1/Gsk3a/Hip1r/Ier3/Mmp9/Naif1/Nptx1/Pdcd5/Pink1/Plscr3/Pycard/Rhot2/Timm50/Tmem102/Triap1/Trp53";25
"SF3A66";"SF3A66";"GO:0031638";"zymogen activation";"18/2535";"69/23328";0.000311845948324226;0.01992125568811;0.0175106706240689;"Bad/Bak1/Hpn/Klk1/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Mmp14/Pycard/Serpine1/Serpinf2/Tmprss9";18
"SF3A66";"SF3A66";"GO:0050806";"positive regulation of synaptic transmission";"60/2535";"355/23328";0.000354822642902064;0.0221894875945386;0.0195044335893312;"Ager/Apoe/Arrb2/Baiap2/Baiap3/Cacnb3/Cacng2/Cacng8/Crtc1/Dlg4/Flot1/Gfap/Grin1/Grin2d/Grk2/Hap1/Htr6/Itpr3/Kctd13/Kiss1r/Mir106b/Mir126a/Mir150/Mir181c/Mir181d/Mir191/Mir195a/Mir22/Mir23a/Mir24-2/Mir25/Mir324/Mir330/Mir338/Mir425/Mir7b/Mir93/Mpp2/Nlgn2/Ntsr1/Pink1/Pirb/Prkcz/Prrt1/Prrt2/Rab3a/Shank1/Shank3/Shisa7/Slc4a8/Slc8a2/Sphk1/Ssh1/Stx1b/Stx4a/Syt12/Tbc1d24/Tnf/Tyrobp/Vamp2";60
"SF3A66";"SF3A66";"GO:0046902";"regulation of mitochondrial membrane permeability";"15/2535";"53/23328";0.000375246108607695;0.0230020412365074;0.0202186636264165;"Alkbh7/Bad/Bak1/Bax/Bbc3/Bcl2l2/Eya2/Gsk3a/Hip1r/Ier3/Naif1/Rhot2/Stat3/Tmem102/Trp53";15
"SF3A66";"SF3A66";"GO:0043534";"blood vessel endothelial cell migration";"26/2535";"119/23328";0.000381006228343914;0.0230020412365074;0.0202186636264165;"Alox12/Apoe/Atp5b/Card10/Cd40/Csnk2b/Epha2/Ephb4/Gpx1/Hdac5/Hdac7/Hspb1/Jup/Myh9/Notch1/P2rx4/Pik3r2/Prkd2/Rhoa/Sh3bp1/Srf/Stat5a/Tbxa2r/Tgfb1/Tnf/Vegfa";26
"SF3A66";"SF3A66";"GO:0043535";"regulation of blood vessel endothelial cell migration";"22/2535";"94/23328";0.000383302824846698;0.0230020412365074;0.0202186636264165;"Alox12/Apoe/Atp5b/Card10/Cd40/Csnk2b/Epha2/Hdac5/Hdac7/Hspb1/Jup/Notch1/P2rx4/Pik3r2/Prkd2/Rhoa/Sh3bp1/Stat5a/Tbxa2r/Tgfb1/Tnf/Vegfa";22
"SF3A66";"SF3A66";"GO:0055088";"lipid homeostasis";"31/2535";"153/23328";0.000454726725496107;0.0263359351575057;0.0231491374509671;"Abca2/Abhd4/Abhd8/Acox1/Apoc2/Apoc4/Apoe/Asgr2/Atp13a2/Cebpa/Dgat1/Ehd1/Enpp7/G6pc/Gckr/Gpihbp1/Hpn/Lamtor1/Lcat/Lima1/Nfe2l1/Nr1d1/Nr1h2/Ormdl3/Plscr3/Pold1/Rcn3/Soat2/Tlcd1/Tlcd2/Vdr";31
"SF3A66";"SF3A66";"GO:0000280";"nuclear division";"68/2535";"418/23328";0.000456590022087711;0.0263359351575057;0.0231491374509671;"Anapc11/Anapc15/Anapc5/Aurkb/Bag6/Becn1/Catsperz/Ccdc8/Cdc6/Cdca5/Cenpx/Chmp6/Chtf18/Cntd1/Cul7/Cul9/Dctn2/Dmc1/Dmrtc2/Ehmt2/Eif4g3/Eme2/Fancd2/Fbxw5/Fzr1/Gm960/Hsf1/Hspa1a/Hspa1b/Kif18b/Kif22/Kifc1/Kifc2/Kifc5b/Klhdc8b/Kpnb1/Mad2l1bp/Majin/Mapk15/Meiob/Meioc/Misp/Mov10l1/Msh5/Mus81/Nanos2/Nfe2l1/Numa1/Nup62/Pdxp/Psmc3ip/Racgap1/Rhoa/Sh2b1/Sirt2/Sirt7/Spag5/Sphk1/Syce3/Tdrd12/Tex19.1/Tex19.2/Tgfb1/Tnf/Top2a/Tubg1/Tubg2/Ube2s";68
"SF3A66";"SF3A66";"GO:0035418";"protein localization to synapse";"23/2535";"102/23328";0.000504553809266796;0.0280145250547106;0.0246246084384906;"Baiap2/Cacng2/Cacng8/Cnih2/Dag1/Dlg4/Git1/Grin1/Hspb1/Kif17/Kif5a/Mapk8ip3/Nlgn2/Nphs1/Nptx1/Nrxn2/Prkcz/Scrib/Shank1/Stx1b/Stx4a/Tyrobp/Vamp2";23
"SF3A66";"SF3A66";"GO:0007131";"reciprocal meiotic recombination";"14/2535";"49/23328";0.000524144358736693;0.028832792919025;0.0253438612445686;"Cenpx/Chtf18/Cntd1/Dmc1/Eme2/Fancd2/Gm960/Meiob/Msh5/Mus81/Psmc3ip/Syce3/Tex19.1/Top2a";14
"SF3A66";"SF3A66";"GO:0048144";"fibroblast proliferation";"24/2535";"109/23328";0.000557228760521378;0.0300369743559005;0.0264023298894608;"Ager/Bax/C1ql4/Cdc6/Cdk4/Ctc1/Fbrs/Grk2/Ifi30/Lta/Med25/Mmp9/Nupr1/Parp10/Pdgfa/Serpine1/Ski/Sp2/Sphk1/Tgfb1/Trp53/Tsc2/Uts2r/Wnt1";24
"SF3A66";"SF3A66";"GO:1903829";"positive regulation of cellular protein localization";"54/2535";"317/23328";0.000561202517001339;0.0300369743559005;0.0264023298894608;"Abca7/Abhd17a/Akt2/Bbc3/Brca1/Cacnb3/Cacng2/Card10/Cdk5rap3/Cep131/Cfl1/Clip3/Cln3/Cnpy4/Crocc/Dlg4/Entr1/Epha2/Erbb2/Fis1/Gsk3a/Hsp90ab1/Hspa1l/Hyal2/Itgam/Jup/Lrp1/Mark4/Mcrs1/Mepce/Nlgn2/Numa1/Nup62/Nutf2/Oaz1/Ormdl3/Pdcd5/Pik3r2/Rab34/Rer1/Sec16a/Ssh1/Stac2/Stac3/Stk11/Stx4a/Syt11/Tgfb1/Tnf/Tyrobp/Vamp2/Vegfa/Vps28/Wrap53";54
"SF3A66";"SF3A66";"GO:0035303";"regulation of dephosphorylation";"33/2535";"169/23328";0.000606533363658227;0.0321733456561922;0.0282801881307186;"2810408A11Rik/Ccdc8/Cd2bp2/Cdk5rap3/Csrnp2/Elfn1/Elfn2/Gnai2/Hpn/Hsp90ab1/Lmtk3/Nsmf/Pcif1/Pink1/Pirb/Ppp1r15a/Ppp1r16a/Ppp1r1b/Ppp1r26/Ppp1r27/Ppp1r35/Ppp1r37/Ppp2r5d/Ppp6r1/Ptbp1/Rrp1b/Styxl1/Sympk/Tgfb1/Tnf/Tsks/Vrk3/Wdr81";33
"SF3A66";"SF3A66";"GO:0002637";"regulation of immunoglobulin production";"19/2535";"79/23328";0.000652249740942274;0.0331197924011799;0.0291121094450258;"Cd37/Cd40/Clcf1/H2-T23/Il27ra/Kmt5c/Pagr1a/Stat6/Stx4a/Supt6/Tbx21/Tgfb1/Tmbim6/Tnf/Tnfsf13/Tnfsfm13/Traf2/Trex1/Zpbp2";19
"SF3A66";"SF3A66";"GO:0018205";"peptidyl-lysine modification";"60/2535";"364/23328";0.000682861528595433;0.0343803418761481;0.0302201252753073;"Atat1/Bag6/Baz2a/Brca1/Brd4/Cbx4/Dhps/Dmrtc2/Dohh/Dot1l/Eef1akmt3/Ehmt2/Ezh1/Hdac10/Hmg20b/Hnf1a/Jmjd6/Kansl2/Kat5/Kat8/Kdm4b/Kmt2b/Kmt2d/Kmt5c/Mapk3/Mbd3/Mcrs1/Mir208b/Mrgbp/Msl1/Myod1/Pagr1a/Per1/Phf1/Pias4/Pih1d1/Plod3/Por/Rela/Rps6ka4/Ruvbl2/Sae1/Senp1/Senp3/Setd1a/Sgf29/Sirt2/Sirt7/Sphk2/Sumo2/Supt6/Taf6/Tcf3/Tgfb1/Traf7/Trmt112/Trpm4/Ube2i/Wbp2/Zfp335";60
"SF3A66";"SF3A66";"GO:1902115";"regulation of organelle assembly";"38/2535";"206/23328";0.000779221772504667;0.0385672628642837;0.033900405047832;"Arhgap35/Arhgef2/Atxn2l/Becn1/Cntrob/Crocc/Dynll1/Ehmt2/Entr1/Fuz/Hap1/Hspa1a/Hspa1b/Ift140/Lrfn1/Lrfn4/Lrrc4b/Mapk15/Mark4/Nprl2/Nptx1/Numa1/Nup62/Nupr1/Phf23/Pink1/Pip4k2c/Ptprs/Rab1b/Rabep2/Rbm14/Rhoa/Rnf5/Spag5/Styxl1/Tchp/Tnf/Zmynd10";38
"SF3A66";"SF3A66";"GO:0031498";"chromatin disassembly";"7/2535";"16/23328";0.000834031563796383;0.0406146026271665;0.0357000050732861;"Cebpg/Grwd1/Padi2/Smarcc1/Smarcc2/Smarcd1/Smarce1";7
"SF3A66";"SF3A66";"GO:1903039";"positive regulation of leukocyte cell-cell adhesion";"40/2535";"221/23328";0.000847450440341128;0.0408410761731042;0.035899074034102;"Ager/Aif1/Ap3d1/Bad/Btnl2/Capn1/Ccdc88b/Ccr7/Coro1a/Dhps/Efnb3/Elane/Ephb4/Flot2/Fut7/H2-Aa/H2-Ab1/H2-DMa/H2-T23/Il23a/Il27ra/Itgal/Lgals1/Nfkbid/Prkcz/Pycard/Rara/Rasal3/Rela/Rhoa/Sart1/Slc4a1/Spn/Stat5a/Stat5b/Tgfb1/Tnf/Tnfsf14/Tnfsf9/Zp3";40
"SF3A66";"SF3A66";"GO:0048147";"negative regulation of fibroblast proliferation";"11/2535";"35/23328";0.000852431147191537;0.0408410761731042;0.035899074034102;"Bax/C1ql4/Ifi30/Lta/Med25/Mmp9/Nupr1/Parp10/Ski/Trp53/Tsc2";11
"SF3A66";"SF3A66";"GO:0006949";"syncytium formation";"17/2535";"69/23328";0.000919993369566565;0.0427006297546481;0.0375336110725307;"Dyrk1b/Ehd1/Ercc1/Flot1/Flt3l/Gdf15/Myh9/Mymk/Mymx/Myod1/Nphs1/Ntn3/Sbno2/Tcta/Tnfsf14/Tyrobp/Wnt1";17
"SF3A66";"SF3A66";"GO:0045104";"intermediate filament cytoskeleton organization";"14/2535";"52/23328";0.00100510201058357;0.0459331618836692;0.0403749884575312;"BC024139/Eppk1/Evpl/Fam83h/Gfap/Krt10/Krt14/Krt16/Krt17/Krt18/Krt2/Krt25/Plec/Prph";14
"SF3A66";"SF3A66";"GO:0014037";"Schwann cell differentiation";"12/2535";"41/23328";0.00102145532919434;0.0459732281116937;0.0404102064444427;"Akt2/Cntnap1/Dag1/Erbb3/Itgb4/Lamb2/Lgi4/Nab2/Prx/Rela/Sirt2/Ski";12
"SF3A66";"SF3A66";"GO:0042759";"long-chain fatty acid biosynthetic process";"8/2535";"21/23328";0.00106225417303182;0.0474500153532485;0.0417082940436158;"Acsbg2/Acsbg3/Alox12/Alox12b/Alox12e/Alox15/Alox8/Aloxe3";8
"SF3A66";"SF3A66";"GO:0046034";"ATP metabolic process";"44/2535";"253/23328";0.00113033860243522;0.0493110121831067;0.0433440996891171;"Actn3/Ak2/Aldoa/Aldoc/Atp5b/Atp5d/Atp5h/Bad/Cox4i1/Cox6a1/Cox6a2/Cox7a1/Cyc1/Eno3/Fam20c/Galk1/Gapdhs/Gpd1/Ier3/Jmjd8/Khk/Myh6/Myh7/Ndufa7/Nupr1/P2rx7/Pfkm/Pink1/Rhoa/Shmt2/Slc25a23/Slc25a25/Slc2a6/Slc4a1/Sphk2/Stat3/Surf1/Tgfb1/Tnf/Trex1/Trp53/Uqcc2/Uqcrc1/Zbtb7a";44
"SF3A66";"SF3A66";"GO:2000311";"regulation of AMPA receptor activity";"9/2535";"26/23328";0.0011592183675418;0.0495461605868046;0.0435507938006428;"Cacng2/Cacng8/Cnih2/Mapk8ip2/Mink1/Nlgn2/Prrt1/Shank1/Shank3";9
